/tmp/tmp.bQdRokQ351 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k21.mat
  Evaluating with: datasets/N1dataset100k21.mat
Gen 0 Train time: 9.080968582630158 minutes:
 Average MSE:        1.2534979050655048
 Average Error:      3.3063714465482175
 Structure           |Error               |MSE                 |weights&biases
 [17, 15, 0, 0, 0]   |1.0855280694837934  |0.4674637696073935  |337       
 [19, 20, 3, 9, 10]  |3.689335835952548   |0.6962450840301333  |667       
 [14, 5, 18, 3, 16]  |2.307420111904502   |0.9311173761858995  |363       
 [3, 14, 17, 19, 4]  |36.10754723708498   |5.578957373052669   |747       
 [5, 6, 0, 0, 0]     |1.247675548657873   |1.0792671641582356  |58        
 [19, 11, 0, 0, 0]   |1.0785492639561707  |0.5236754608919968  |289       
 [8, 1, 12, 0, 0]    |1.3696884381322265  |1.1497945756565078  |70        
 [16, 13, 5, 1, 4]   |4.134243393038285   |1.6892832650261673  |358       
 [14, 7, 3, 0, 0]    |1.0528322092277957  |0.6797595644637484  |175       
 [13, 0, 0, 0, 0]    |0.8578829130783491  |0.7514221606849028  |53        
 [1, 5, 0, 0, 0]     |5.492375026921105   |5.237586348044057   |19        
 [16, 11, 4, 0, 0]   |1.7699805475721928  |0.8615420245360308  |288       
 [14, 0, 0, 0, 0]    |0.7568708535531741  |0.6563489844078685  |57        
 [7, 14, 6, 3, 5]    |2.653267734429362   |1.350928302575555   |270       
 [15, 9, 12, 12, 13] |3.6299026405990933  |0.7183530103747382  |648       
 [14, 9, 0, 0, 0]    |0.8640207897297694  |0.5413666797619754  |187       
 [11, 18, 15, 0, 0]  |2.672035968170297   |0.6755964941679223  |550       
 [7, 17, 12, 0, 0]   |2.0961612277826385  |0.7986022117301674  |386       
 [10, 0, 0, 0, 0]    |0.9985389892716925  |0.9012594733930006  |41        
 [17, 0, 0, 0, 0]    |0.9841947916008356  |0.8282572846770588  |69        
 [7, 16, 0, 0, 0]    |1.2790845630223597  |0.8446310593915953  |166       
 [5, 8, 18, 0, 0]    |3.735328102637099   |2.02959377084627    |244       
 [17, 0, 0, 0, 0]    |0.906539028250564   |0.7629054333556323  |69        
 [10, 3, 11, 0, 0]   |0.9772552874457914  |0.725780708793534   |119       
 [6, 0, 0, 0, 0]     |0.9130275922029236  |0.8577100468245618  |25        
Gen 1 Train time: 9.191055993239084 minutes:
 Average MSE:        1.2036566246929674
 Average Error:      6.79411868601023
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.675594174326322   |0.5858668597281385  |57        
 [13, 0, 0, 0, 0]    |0.7780261999327663  |0.6814754313326095  |53        
 [14, 9, 0, 0, 0]    |0.9112938190003873  |0.5709863870684735  |187       
 [13, 14, 8, 0, 0]   |2.0872153213018607  |0.8401547275981477  |364       
 [10, 0, 0, 0, 0]    |0.7995874982191158  |0.7216902047081802  |41        
 [16, 5, 6, 6, 7]    |1.9771631813833868  |1.0117313595976085  |268       
 [16, 16, 9, 13, 10] |7.665281420051558   |1.1638124682683182  |754       
 [15, 15, 0, 0, 0]   |1.2878995063994207  |0.6068416480332106  |301       
 [18, 19, 0, 0, 0]   |1.5792316851589083  |0.5322928099298107  |435       
 [12, 13, 6, 6, 7]   |2.6413145161892864  |1.0012775313836437  |388       
 [12, 5, 0, 0, 0]    |0.8718430145381652  |0.6672130288471134  |107       
