/tmp/tmp.BfcN8Vvegs ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k24.mat
  Evaluating with: datasets/N1dataset100k24.mat
Gen 0 Train time: 8.443904368082682 minutes:
 Average MSE:        1.5418469391507896
 Average Error:      3.2985969515504654
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 15, 0, 0]   |1.185484256564704   |0.6925681365984652  |215       
 [15, 3, 15, 3, 0]   |1.5421832335313646  |0.9237619194921256  |205       
 [7, 6, 19, 0, 0]    |1.478145419792567   |0.8485622835174741  |222       
 [5, 5, 7, 0, 0]     |1.6853577881479436  |1.3290679119242121  |95        
 [10, 0, 0, 0, 0]    |0.7946138777863297  |0.7172011235803828  |41        
 [4, 18, 5, 2, 0]    |2.7329336638138972  |1.6086183363221351  |212       
 [7, 17, 16, 12, 10] |9.253908414142947   |1.2840844749226004  |790       
 [14, 11, 5, 0, 0]   |1.1696052922982687  |0.5910624108017994  |273       
 [16, 0, 0, 0, 0]    |0.6909665856360235  |0.5873327155987255  |65        
 [11, 15, 4, 15, 0]  |3.40999519420937    |1.3589480148991195  |368       
 [5, 3, 16, 20, 0]   |4.162877114227949   |1.3247270645696918  |458       
 [16, 16, 3, 2, 0]   |2.4931419395384404  |0.9593912964287596  |382       
 [20, 9, 18, 7, 0]   |3.4123758871820553  |0.8207052805153593  |570       
 [1, 14, 3, 9, 11]   |11.137910069725525  |6.204994988180928   |234       
 [11, 9, 13, 4, 0]   |2.39870156291489    |1.0459521046073896  |332       
 [10, 2, 10, 0, 0]   |1.0734681615182855  |0.8507769223430639  |93        
 [17, 6, 5, 0, 0]    |0.9507854915565944  |0.5766805514390216  |200       
 [7, 16, 20, 4, 0]   |4.416517114514666   |1.0411765817886558  |578       
 [11, 6, 11, 18, 18] |7.764724231572061   |1.164266111939066   |759       
 [2, 0, 0, 0, 0]     |4.202624071110037   |4.109120884986335   |9         
 [3, 18, 0, 0, 0]    |2.407141633623929   |1.874683789230097   |100       
 [7, 10, 15, 0, 0]   |2.4310898856167     |1.2012223572705942  |282       
 [8, 3, 20, 0, 0]    |1.3475335411534581  |0.9215261864141201  |152       
 [4, 18, 0, 0, 0]    |3.766823667266008   |2.7835639909375742  |121       
 [3, 14, 10, 0, 0]   |6.556015691317647   |3.726178040462036   |226       
Gen 1 Train time: 8.3106138586998 minutes:
 Average MSE:        1.195467884831174
 Average Error:      2.9652065100733176
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7046228775858645  |0.5989407834889059  |65        
 [10, 0, 0, 0, 0]    |0.903517324957316   |0.8154949954296871  |41        
 [17, 6, 5, 0, 0]    |1.0825822047492488  |0.656619298839719   |200       
 [1, 11, 15, 12, 13] |20.61189837703999   |4.834938940462351   |580       
 [11, 5, 7, 2, 0]    |1.3322902707873938  |0.9065577623664645  |154       
 [13, 1, 5, 0, 0]    |1.407618709319103   |1.1845931923140212  |69        
