/tmp/tmp.Ri9dX9Z2fY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k26.mat
  Evaluating with: datasets/N1dataset100k26.mat
Gen 0 Train time: 8.674768435955048 minutes:
 Average MSE:        1.38468971916029
 Average Error:      5.150019745315442
 Structure           |Error               |MSE                 |weights&biases
 [12, 7, 14, 0, 0]   |1.344353730581126   |0.7124207506870539  |254       
 [7, 16, 13, 0, 0]   |2.235814972799431   |0.8560776474415407  |384       
 [19, 15, 20, 13, 16]|17.483682174704107  |0.890268655913627   |1191      
 [3, 7, 5, 9, 0]     |4.525442496547607   |3.1810628218588555  |141       
 [14, 19, 12, 20, 20]|27.671831086361678  |1.1623164662036007  |1268      
 [19, 20, 0, 0, 0]   |1.7447377798604562  |0.5281390249747332  |478       
 [14, 19, 16, 2, 0]  |7.677734976572213   |1.3886396220419346  |684       
 [20, 10, 8, 0, 0]   |1.7856860170095477  |0.7134111795723461  |367       
 [18, 18, 14, 13, 19]|16.12212970293646   |0.9256055045794106  |1143      
 [2, 4, 5, 20, 0]    |5.515806954915603   |3.4820387224115783  |184       
 [5, 0, 0, 0, 0]     |2.3914881156501657  |2.2691738322882555  |21        
 [7, 13, 4, 18, 16]  |7.935500334703132   |1.8064189523607932  |592       
 [10, 9, 0, 0, 0]    |0.8847666422948368  |0.625045176306885   |139       
 [12, 14, 20, 0, 0]  |2.299073997039028   |0.5975044376844618  |539       
 [5, 13, 1, 17, 20]  |6.555950216504728   |1.7777936398423364  |522       
 [17, 2, 1, 5, 0]    |1.3096815782695366  |1.0047954994221577  |106       
 [14, 4, 14, 11, 0]  |2.346272133032747   |0.9805199784645037  |349       
 [1, 16, 0, 0, 0]    |7.560397116916311   |6.638750164309198   |52        
 [20, 0, 0, 0, 0]    |0.755782294363048   |0.6172371835932877  |81        
 [9, 0, 0, 0, 0]     |0.8907463678938146  |0.8120482234598562  |37        
 [17, 0, 0, 0, 0]    |0.6325623006041022  |0.5323380472632268  |69        
 [10, 0, 0, 0, 0]    |0.7659366426359092  |0.6913176777382867  |41        
 [7, 13, 5, 20, 0]   |2.2837930285435295  |0.9859374837562104  |336       
 [13, 7, 17, 0, 0]   |1.281634914262298   |0.6191773973719842  |291       
 [16, 4, 16, 18, 10] |4.74968805788464    |0.8192048894611188  |703       
Gen 1 Train time: 8.006750973065694 minutes:
 Average MSE:        1.3960791518456999
 Average Error:      2.576887072440325
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7401848163767392  |0.6229086674744652  |69        
 [20, 0, 0, 0, 0]    |0.6526715572649917  |0.5330280383945776  |81        
 [10, 0, 0, 0, 0]    |0.8431988484782393  |0.7610528565332867  |41        
 [19, 19, 0, 0, 0]   |1.8360346171906887  |0.585732631770598   |457       
 [10, 9, 16, 0, 0]   |1.6777659734030914  |0.7807214356586059  |306       
 [10, 5, 0, 0, 0]    |0.7073679653659874  |0.5634344446630704  |91        
 [19, 5, 4, 0, 0]    |0.9061219506769029  |0.569167006803079   |186       
 [11, 4, 7, 3, 0]    |1.291683999409781   |0.901177347152952   |144       
 [15, 0, 0, 0, 0]    |0.6892245376715711  |0.5917398567509116  |61        
 [13, 0, 0, 0, 0]    |0.6498744848707628  |0.5692269680990585  |53        
