/tmp/tmp.QvAZf7S59N ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k28.mat
  Evaluating with: datasets/N1dataset100k28.mat
Gen 0 Train time: 8.258680935700735 minutes:
 Average MSE:        1.8227899431639352
 Average Error:      4.542906279708172
 Structure           |Error               |MSE                 |weights&biases
 [8, 15, 18, 0, 0]   |1.9425709622019256  |0.6059319057173447  |466       
 [8, 0, 0, 0, 0]     |0.8748616916074096  |0.8055826521748551  |33        
 [15, 7, 10, 15, 0]  |2.1212803740624153  |0.7460369541649972  |418       
 [19, 2, 2, 2, 0]    |1.2347812926606585  |0.9332276252466096  |112       
 [12, 7, 18, 4, 0]   |1.7784740495854807  |0.7376806446371988  |352       
 [13, 19, 15, 20, 14]|30.699907636336018  |1.4039078169432153  |1234      
 [1, 0, 0, 0, 0]     |5.704362343206202   |5.633501616123704   |5         
 [1, 0, 0, 0, 0]     |6.580965625256855   |6.499215557317006   |5         
 [16, 1, 0, 0, 0]    |1.3417958738364397  |1.1348595752655126  |67        
 [18, 0, 0, 0, 0]    |0.645192507483574   |0.5375644896129284  |73        
 [9, 18, 19, 0, 0]   |3.6086228728479504  |0.8297143648954741  |588       
 [5, 20, 9, 0, 0]    |2.582248590711378   |1.1203717682259706  |334       
 [8, 18, 1, 0, 0]    |4.8646132785687515  |2.89935187880585    |207       
 [13, 1, 14, 0, 0]   |1.4940669270667475  |1.1752746711287938  |96        
 [20, 16, 11, 0, 0]  |2.0528917905067194  |0.4638237855833608  |595       
 [13, 10, 7, 0, 0]   |1.0912007381339461  |0.5639885577028573  |264       
 [13, 14, 13, 5, 0]  |2.2832555471275904  |0.6444244385302366  |506       
 [4, 8, 9, 13, 8]    |9.300058290520624   |3.5609261585942087  |384       
 [16, 1, 0, 0, 0]    |1.368201778926237   |1.1571930723488117  |67        
 [6, 13, 0, 0, 0]    |1.2237808220710176  |0.8998250721023826  |123       
 [3, 10, 15, 9, 0]   |4.870523913783541   |1.9409965197002115  |368       
 [14, 4, 18, 3, 0]   |1.6386403321249967  |0.8705473146734821  |253       
 [2, 1, 0, 0, 0]     |3.6480281503864567  |3.5490742287532875  |11        
 [2, 16, 16, 3, 0]   |11.254471560422145  |4.341698025533499   |381       
 [13, 3, 13, 19, 6]  |9.367860043269191   |2.515029885316582   |526       
Gen 1 Train time: 8.189070451259614 minutes:
 Average MSE:        0.9419006885680988
 Average Error:      1.7805752796632002
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.8195146534329673  |0.682807024714596   |73        
 [8, 0, 0, 0, 0]     |1.0138262553452708  |0.9335428119214587  |33        
 [13, 10, 7, 0, 0]   |1.5876585127216465  |0.8205834210172893  |264       
 [16, 2, 9, 7, 0]    |1.4769178586742606  |0.925387591289      |187       
 [12, 7, 15, 0, 0]   |1.1171877967048527  |0.5788653595559057  |263       
 [8, 8, 9, 0, 0]     |1.5402985921746446  |0.9650998501418373  |187       
 [13, 16, 10, 0, 0]  |1.6694547962032933  |0.5501837881987488  |444       
 [19, 2, 2, 2, 0]    |1.185416556159899   |0.8959185599980897  |112       
 [12, 1, 0, 0, 0]    |1.301661323990319   |1.1458438931547326  |51        
 [12, 7, 5, 0, 0]    |1.0404383162055575  |0.6751246640065012  |173       
 [16, 5, 10, 3, 0]   |1.7009165083701971  |0.9571140006940368  |230       
 [16, 2, 9, 2, 0]    |1.2284556338752912  |0.8831659106611077  |132       
 [12, 7, 0, 0, 0]    |0.9073188411116485  |0.6474191507636322  |135       
 [11, 3, 6, 0, 0]    |1.4380962463088065  |1.1199904827573466  |100       
 [7, 16, 1, 19, 0]   |1.9166415295132717  |1.0948030138070366  |224       
 [11, 1, 7, 0, 0]    |1.1282163858752943  |0.9542190384154516  |67        
 [15, 6, 4, 0, 0]    |1.2653491623369366  |0.8190158042974873  |174       
 [18, 7, 12, 0, 0]   |1.570870869688524   |0.7494843514150243  |296       
 [15, 4, 13, 2, 0]   |1.6497456905155032  |0.9881914240857096  |205       
 [17, 4, 5, 8, 0]    |0.9812809724924492  |0.5877835882283887  |205       
 [18, 2, 0, 0, 0]    |1.135562587260361   |0.895501125827948   |95        
 [17, 13, 15, 4, 8]  |3.8263880784759268  |0.8368765568549292  |608       
 [18, 13, 0, 0, 0]   |1.0389562969401167  |0.4727051949058665  |315       
 [17, 1, 0, 0, 0]    |1.5923107942136094  |1.333338957895816   |71        
 [8, 8, 19, 9, 4]    |10.381897732989358  |3.03455164959453    |492       
Increasing Epochs
Gen 2 Train time: 9.250618584950765 minutes:
 Average MSE:        1.4758715259970585
 Average Error:      2.057809437490818
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.6507648642184001  |0.542207291674876   |73        
 [12, 7, 0, 0, 0]    |0.7163501052054996  |0.511153032150595   |135       
