/tmp/tmp.WuWyugHkna ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k33.mat
  Evaluating with: datasets/N1dataset100k33.mat
Gen 0 Train time: 8.722101628780365 minutes:
 Average MSE:        1.3841087351104218
 Average Error:      4.328150650096579
 Structure           |Error               |MSE                 |weights&biases
 [14, 18, 1, 0, 0]   |3.373553141635256   |1.467362444335704   |333       
 [4, 19, 8, 17, 0]   |3.980196103624418   |1.3315332400848923  |438       
 [7, 13, 20, 1, 6]   |5.929120933232327   |1.9491160486569097  |445       
 [19, 6, 0, 0, 0]    |0.7998894785277132  |0.5049571460076088  |184       
 [14, 15, 7, 0, 0]   |1.9057195203491484  |0.7242342698743481  |387       
 [15, 5, 0, 0, 0]    |0.7480087909179242  |0.5391073576934042  |131       
 [14, 3, 7, 0, 0]    |0.8947785248653837  |0.6579153195832104  |123       
 [12, 20, 0, 0, 0]   |1.744976012606494   |0.7899708832882826  |317       
 [13, 0, 0, 0, 0]    |0.7827360021044306  |0.6856007608738299  |53        
 [10, 1, 0, 0, 0]    |1.4433219702612141  |1.2962135758290318  |43        
 [2, 9, 0, 0, 0]     |5.056042090359799   |4.540712697875215   |43        
 [5, 8, 20, 9, 19]   |8.455033102502224   |1.6985278367129504  |642       
 [18, 1, 12, 11, 0]  |2.04105262865632    |1.0870478954459313  |252       
 [9, 15, 18, 0, 0]   |2.4064756889758785  |0.7176045034667708  |484       
 [10, 18, 2, 15, 0]  |1.921981155717391   |0.8486202412153157  |327       
 [18, 2, 5, 16, 16]  |2.230797067366697   |0.6520454251035137  |492       
 [8, 8, 5, 19, 0]    |1.762088593857045   |0.8860337881737343  |275       
 [7, 14, 19, 15, 0]  |5.872551144009079   |0.9373384524076567  |734       
 [19, 16, 0, 0, 0]   |1.3801977609702285  |0.5154199848764324  |394       
 [9, 15, 18, 0, 0]   |2.6435567533254103  |0.7883014318601432  |484       
 [8, 17, 14, 8, 1]   |32.930673918671     |8.120604208895312   |560       
 [15, 8, 5, 0, 0]    |0.9896985907137424  |0.5653248054940881  |224       
 [20, 18, 9, 14, 12] |8.563713909233753   |0.8126408418065159  |942       
 [6, 15, 9, 20, 0]   |4.224044090900149   |1.2470652420508468  |488       
