/tmp/tmp.H8wmtDpYvm ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k35.mat
  Evaluating with: datasets/N1dataset100k35.mat
Gen 0 Train time: 8.895230253537497 minutes:
 Average MSE:        1.6295810383851927
 Average Error:      3.616613327575625
 Structure           |Error               |MSE                 |weights&biases
 [15, 9, 2, 0, 0]    |1.5528231948213103  |0.913999449503644   |212       
 [18, 6, 20, 9, 0]   |2.438304827953558   |0.6864671236100729  |507       
 [19, 19, 0, 0, 0]   |1.548553873015536   |0.49402038882458504 |457       
 [4, 0, 0, 0, 0]     |2.354470030263222   |2.2565016283590875  |17        
 [16, 13, 0, 0, 0]   |1.2731008330682512  |0.62747937656212    |283       
 [12, 12, 0, 0, 0]   |1.1938657439265248  |0.7151210616523874  |205       
 [18, 1, 0, 0, 0]    |1.4493899533999253  |1.2015864749666716  |75        
 [13, 0, 0, 0, 0]    |0.7296991528173079  |0.6391456289674907  |53        
 [15, 17, 2, 7, 0]   |2.104345385432185   |0.8097776606483233  |382       
 [15, 7, 9, 8, 0]    |1.4983050523863324  |0.6766064458473792  |318       
 [7, 20, 3, 0, 0]    |1.62267529071626    |0.8729091466631335  |248       
 [15, 5, 0, 0, 0]    |0.8813660733059636  |0.6352210571716738  |131       
 [4, 5, 15, 9, 0]    |3.1280856558766517  |1.5494828125063678  |281       
 [1, 20, 19, 0, 0]   |22.052917046516832  |6.94793772621089    |462       
 [1, 15, 4, 6, 15]   |10.37194779960132   |5.579531625817854   |248       
 [17, 20, 4, 0, 0]   |2.7613698324497293  |0.7911457029018668  |500       
 [20, 5, 0, 0, 0]    |0.8468536173091011  |0.5522649178629899  |171       
 [1, 9, 9, 10, 10]   |13.898374774780907  |6.060376401572447   |332       
 [12, 0, 0, 0, 0]    |0.7593055423099238  |0.6717620969379037  |49        
 [3, 11, 1, 0, 0]    |4.053059571155093   |3.427983013761728   |67        
 [9, 15, 8, 18, 15]  |7.712516256902901   |1.1307085788054734  |768       
 [11, 0, 0, 0, 0]    |0.741895317812638   |0.6629556878296023  |45        
 [20, 5, 15, 0, 0]   |1.1916731455553127  |0.6052330577502874  |271       
 [19, 12, 0, 0, 0]   |1.679610533862484   |0.7738029235561379  |310       
 [6, 14, 2, 20, 0]   |2.5708246841513547  |1.4575059713397     |227       
Gen 1 Train time: 8.771746222178141 minutes:
 Average MSE:        1.0368254620850714
 Average Error:      2.2991903367405206
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.7167592960776712  |0.6278115704823289  |53        
 [11, 0, 0, 0, 0]    |0.7427822381168532  |0.6637482374605457  |45        
 [12, 0, 0, 0, 0]    |0.647064558863232   |0.5724618361059517  |49        
 [15, 7, 0, 0, 0]    |0.9414410727656775  |0.6232275852561988  |165       
 [16, 10, 0, 0, 0]   |0.9111689166424051  |0.5140025872479875  |229       
 [14, 3, 16, 0, 0]   |1.380807846806441   |0.9072554045198483  |168       
 [12, 10, 0, 0, 0]   |0.8742435838190602  |0.5616388551549014  |177       
 [11, 14, 0, 0, 0]   |1.3348613987420441  |0.7778881472784256  |216       
 [11, 3, 8, 5, 0]    |1.074290319717213   |0.7346656919450056  |152       
 [16, 10, 14, 0, 0]  |1.7321128685159826  |0.6582581986880239  |387       
 [10, 1, 6, 1, 12]   |3.870056900550677   |3.0366933509289895  |97        
 [19, 13, 10, 8, 0]  |2.547361634362522   |0.6376652437572117  |554       
 [18, 5, 8, 0, 0]    |1.0486597018824937  |0.6265747954269736  |206       
 [14, 3, 0, 0, 0]    |0.9830703377634509  |0.7830375659377011  |91        
 [14, 9, 16, 4, 0]   |2.4174827436072146  |0.867384263586151   |410       
 [14, 1, 0, 0, 0]    |1.4718924003330565  |1.2700406654980831  |59        
 [17, 7, 0, 0, 0]    |1.0217050638858276  |0.6433752470210284  |185       
 [16, 20, 20, 3, 2]  |17.987336923896844  |1.9831133446883904  |882       
 [17, 3, 8, 0, 0]    |0.9423484842316882  |0.6541751617135777  |146       
 [12, 6, 0, 0, 0]    |0.8310782178986971  |0.6141406143055377  |121       
 [3, 4, 10, 9, 5]    |8.408711595271907   |4.731622955053005   |230       
 [15, 15, 0, 0, 0]   |1.2294020103095085  |0.5792783818337675  |301       
 [18, 7, 1, 0, 0]    |1.9034069341499422  |1.1631657743739419  |197       
 [13, 5, 1, 12, 0]   |1.3078633818051857  |0.8943972953385317  |152       
 [13, 4, 5, 4, 0]    |1.15384998849743    |0.7950137785246791  |149       
Gen 2 Train time: 8.8268501162529 minutes:
 Average MSE:        1.0838355719570807
 Average Error:      1.6729397255481857
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.9053262835648792  |0.8009475089703872  |49        
 [13, 0, 0, 0, 0]    |0.6821785684098838  |0.5975222096545864  |53        
 [11, 0, 0, 0, 0]    |0.7503799636704943  |0.670537544859338   |45        
 [14, 3, 3, 2, 0]    |1.878266430561331   |1.4266788206436531  |110       
 [17, 5, 4, 0, 0]    |1.1905686181365642  |0.7783577896614808  |170       
 [13, 2, 20, 13, 0]  |2.547571804693022   |0.9049647123275497  |414       
 [16, 6, 1, 6, 0]    |1.6902962641269348  |1.0886123565185153  |176       
 [16, 5, 8, 10, 0]   |1.385620611197798   |0.6846470246588676  |282       
 [14, 4, 3, 14, 0]   |1.2720806789186554  |0.7950533097627577  |188       
 [4, 2, 0, 0, 0]     |1.4105415896007554  |1.3250811949126344  |25        
 [14, 5, 0, 0, 0]    |1.0691785049179505  |0.7861486370165409  |123       
 [16, 7, 5, 1, 0]    |2.6365228716441886  |1.5402749738787342  |215       
 [14, 2, 8, 0, 0]    |1.2695832746926885  |0.9764699683275317  |105       
 [12, 2, 4, 19, 0]   |1.3110244501589379  |0.8173473304570269  |189       
 [20, 2, 4, 0, 0]    |0.8815392948750729  |0.6546950653354973  |119       
 [15, 19, 4, 0, 0]   |2.047799328722738   |0.6919550503294076  |434       
 [13, 2, 3, 2, 0]    |1.230749368907252   |0.9901718420235411  |87        
 [14, 12, 0, 0, 0]   |0.9666396678756958  |0.5371760051460712  |235       
 [4, 3, 1, 17, 0]    |3.8472542642612964  |3.126329759606746   |83        
 [13, 3, 0, 0, 0]    |0.9042734088263226  |0.7311595934816895  |85        
 [15, 5, 4, 0, 0]    |1.0186681069616008  |0.6931533614633442  |154       
 [8, 3, 18, 5, 3]    |7.445449294084332   |4.086149208541537   |240       
 [12, 2, 3, 2, 0]    |1.2976717865326401  |1.0571448384816213  |82        
 [20, 3, 8, 0, 0]    |1.0972335386344672  |0.7281793123727229  |164       
 [14, 8, 7, 0, 0]    |1.0870751647291335  |0.6071318804952313  |233       
Increasing Epochs
Gen 3 Train time: 10.033000791072846 minutes:
 Average MSE:        0.9916580961566751
 Average Error:      2.217221489631261
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.7448797755320514  |0.6524423809448938  |53        
 [11, 0, 0, 0, 0]    |0.6808739733694997  |0.6084271763182191  |45        
 [20, 2, 4, 0, 0]    |1.0088041084238166  |0.7492111531668539  |119       
 [13, 1, 2, 10, 0]   |1.8389729986724384  |1.4393725117651746  |98        
 [17, 8, 2, 0, 0]    |1.715004457531493   |0.9994158504400797  |216       
 [8, 12, 1, 9, 0]    |1.6945036518543148  |1.099537753269282   |173       
