/tmp/tmp.QvFaLMllZ4 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k36.mat
  Evaluating with: datasets/N1dataset100k36.mat
Gen 0 Train time: 8.94899423122406 minutes:
 Average MSE:        1.2972711421592777
 Average Error:      4.966814320780105
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7785900632179633  |0.6618140814248787  |65        
 [4, 11, 9, 15, 9]   |9.782151424080714   |2.953702422404887   |479       
 [19, 15, 19, 0, 0]  |3.61463003523579    |0.6586845814244593  |681       
 [17, 0, 0, 0, 0]    |0.6908889233600739  |0.5814233001019121  |69        
 [19, 4, 10, 7, 5]   |3.1207846619368587  |1.43775729343789    |310       
 [2, 0, 0, 0, 0]     |4.41016152320675    |4.312040885537849   |9         
 [14, 16, 0, 0, 0]   |1.3714692996249556  |0.6494578419934413  |299       
 [10, 0, 0, 0, 0]    |0.9448970749291518  |0.8528434535965053  |41        
 [17, 10, 17, 0, 0]  |1.7881250219449951  |0.6011971251876218  |436       
 [8, 12, 4, 17, 19]  |5.84550646747443    |1.2070426063444197  |631       
 [17, 0, 0, 0, 0]    |0.7400822330063972  |0.6228223375888596  |69        
 [11, 0, 0, 0, 0]    |0.9539182234496254  |0.8524187938330534  |45        
 [2, 1, 9, 8, 19]    |11.369648309608024  |5.397562030824774   |298       
 [10, 0, 0, 0, 0]    |0.94776591919684    |0.8554328097475645  |41        
 [13, 18, 18, 19, 17]|41.608797609658474  |1.4166736531759523  |1352      
 [11, 10, 11, 0, 0]  |1.2463003988553052  |0.6096803240486371  |286       
 [13, 0, 0, 0, 0]    |0.7849250938804563  |0.6875181927834786  |53        
 [18, 13, 8, 11, 0]  |2.5336948721023287  |0.6836416932522422  |524       
 [18, 19, 0, 0, 0]   |1.7632967364925178  |0.5943334239226733  |435       
 [9, 14, 0, 0, 0]    |1.0316776639522613  |0.6545457974720872  |182       
 [6, 13, 14, 0, 0]   |2.133962132131239   |0.9588509942959071  |320       
 [18, 0, 0, 0, 0]    |0.8253906151604682  |0.6877027857942604  |73        
 [4, 3, 19, 17, 13]  |13.519383767055038  |2.4027754104048697  |691       
 [12, 10, 16, 15, 18]|8.657654517061042   |0.9034304456946005  |904       
 [6, 16, 18, 0, 0]   |3.7066554328809027  |1.1884262696891155  |455       
Gen 1 Train time: 8.449998676776886 minutes:
 Average MSE:        0.9718238634069054
 Average Error:      1.4505571602319318
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7651871778707554  |0.6439496120296229  |69        
 [17, 0, 0, 0, 0]    |0.743814111905346   |0.6259629312091117  |69        
 [16, 0, 0, 0, 0]    |0.8089924099098688  |0.6876565652936093  |65        
 [13, 0, 0, 0, 0]    |0.8367240164530239  |0.7328890210483305  |53        
 [14, 0, 0, 0, 0]    |0.723273548456211   |0.6272138195700223  |57        
 [11, 5, 6, 0, 0]    |1.0780321894901437  |0.7673113194618824  |136       
 [18, 0, 0, 0, 0]    |0.7670038092702456  |0.6390557957185027  |73        
 [11, 0, 0, 0, 0]    |0.8367345080060319  |0.7477037365883391  |45        
 [13, 7, 6, 0, 0]    |0.9935481393958896  |0.614791087618069   |192       
 [18, 2, 15, 0, 0]   |1.119093820113867   |0.7633942037583762  |153       
 [16, 13, 9, 0, 0]   |1.5417181366671437  |0.5601209523055173  |405       
 [10, 7, 0, 0, 0]    |0.9241233107853891  |0.6932186876255848  |115       
 [13, 4, 16, 8, 19]  |3.4238402509076105  |0.976054163712513   |502       
 [18, 2, 5, 4, 3]    |4.4922889742461445  |3.087502049230269   |150       
 [15, 8, 10, 0, 0]   |1.0885702068339624  |0.5487376054712474  |274       
 [1, 0, 0, 0, 0]     |5.67158685721327    |5.601133273756687   |5         
 [14, 7, 0, 0, 0]    |0.8215559221363077  |0.5576324247789466  |155       
 [14, 7, 5, 0, 0]    |1.1162321512509001  |0.6889813084610117  |193       
 [18, 14, 0, 0, 0]   |1.150222018419009   |0.4978059100585601  |335       
 [11, 18, 0, 0, 0]   |1.4723459350017365  |0.7534120444095357  |268       
 [17, 6, 14, 0, 0]   |1.2150023836916393  |0.6155408533428803  |272       
 [14, 3, 4, 0, 0]    |0.9525857252435537  |0.7271844092489286  |108       
 [15, 5, 9, 0, 0]    |1.1195454350821312  |0.697971325080014   |189       
 [16, 11, 6, 0, 0]   |1.7816748160561453  |0.8126569857785126  |314       
 [14, 4, 0, 0, 0]    |0.820233151391965   |0.6277164996165591  |107       
Increasing Epochs
Gen 2 Train time: 10.022840472062429 minutes:
 Average MSE:        0.9496642912192153
 Average Error:      1.588205963998405
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7203736819851139  |0.6246990914571775  |57        
 [17, 0, 0, 0, 0]    |0.7874694667429385  |0.6627014569237069  |69        
 [17, 0, 0, 0, 0]    |0.6747895175773122  |0.5678747117204848  |69        
 [16, 7, 6, 0, 0]    |1.4451062210495749  |0.8295953959869662  |222       
 [8, 4, 3, 0, 0]     |1.0473008877616397  |0.8596037699365395  |79        
 [3, 9, 18, 0, 0]    |3.2108913601412032  |1.7446406110365256  |244       
 [13, 4, 18, 0, 0]   |1.1235017419560605  |0.6746578288324936  |204       
 [14, 5, 8, 0, 0]    |1.045515550689298   |0.6767252748418164  |174       
 [16, 2, 0, 0, 0]    |0.7167351957722184  |0.5795236366123031  |85        
 [17, 4, 5, 15, 0]   |1.3653897633756482  |0.7235684909982835  |254       
 [19, 14, 0, 0, 0]   |1.4075502498337378  |0.583827790964175   |352       
 [14, 4, 1, 0, 0]    |3.408322230772982   |2.595346816800788   |109       
 [14, 6, 8, 4, 10]   |2.0025811006495706  |0.9820990588136125  |285       
 [17, 4, 5, 0, 0]    |1.083209201702097   |0.7370703904408553  |154       
 [14, 2, 12, 0, 0]   |1.4326185823376982  |1.0586599880417606  |121       
 [16, 4, 3, 0, 0]    |0.9016827384013503  |0.6433974985450502  |135       
 [11, 5, 16, 13, 20] |5.0042710043003185  |0.846023407492552   |711       
 [16, 4, 2, 0, 0]    |1.3012114382250137  |0.9425141995845323  |129       
 [15, 2, 0, 0, 0]    |0.99749766458674    |0.8166820141206298  |80        
 [14, 2, 0, 0, 0]    |1.0973213585564974  |0.909711358244612   |75        
 [12, 0, 0, 0, 0]    |0.7750339261333354  |0.6856770909816935  |49        
 [16, 4, 5, 0, 0]    |1.0675142589203828  |0.7392144751476717  |147       
 [13, 3, 5, 0, 0]    |0.9284464207037713  |0.7105310682659682  |107       
 [2, 3, 17, 5, 9]    |4.787824948973283   |2.6473952356506816  |237       
 [14, 4, 2, 14, 0]   |1.372990588812339   |0.8998666190394984  |169       
Gen 3 Train time: 10.003227690855661 minutes:
 Average MSE:        0.78093959519189
 Average Error:      1.6941822412950431
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6547443967845832  |0.5510055741671305  |69        
 [16, 2, 0, 0, 0]    |0.7666001777508242  |0.6198424822142881  |85        
 [14, 0, 0, 0, 0]    |0.6984773758458254  |0.6057108872882134  |57        
 [17, 1, 0, 0, 0]    |0.9744936399781274  |0.8160029682184211  |71        
 [13, 4, 4, 0, 0]    |0.9883475976485411  |0.7321859087050425  |120       
 [13, 0, 0, 0, 0]    |0.7419931123608258  |0.649913944203441   |53        
 [13, 5, 7, 17, 9]   |2.502566918804758   |0.7943881944155883  |459       
 [16, 2, 1, 7, 0]    |1.104124487622336   |0.8449757941812555  |107       
 [16, 4, 3, 0, 0]    |0.9587370224912122  |0.6841086956228369  |135       
 [17, 2, 3, 0, 0]    |1.16373239249447    |0.9063156985602528  |100       
 [15, 16, 0, 0, 0]   |1.1220850588539966  |0.5067125565654773  |318       
 [16, 6, 14, 13, 0]  |1.9149656993244082  |0.6109132629165537  |457       
 [16, 3, 3, 1, 0]    |1.8062249981125666  |1.3481577500561641  |117       
 [4, 8, 14, 20, 14]  |16.04779616234933   |2.2435771394903603  |787       
 [17, 4, 5, 3, 0]    |1.0447291877840068  |0.68301237661643    |170       
 [17, 7, 0, 0, 0]    |0.754384933753945   |0.47504178090001437 |185       
 [11, 4, 11, 0, 0]   |0.9610439825726043  |0.6638260720153453  |148       
 [10, 2, 8, 0, 0]    |1.1601146365699484  |0.9380226575141443  |85        
 [13, 2, 9, 0, 0]    |0.8688151272034129  |0.6699012816003187  |104       
 [14, 1, 0, 0, 0]    |1.2505540682995022  |1.0790561326256245  |59        
 [14, 3, 3, 0, 0]    |0.844711429623007   |0.6529464146355795  |103       
 [19, 6, 9, 0, 0]    |0.99334690971326    |0.531700285908044   |250       
 [18, 7, 0, 0, 0]    |1.1214591466381025  |0.6887552106892357  |195       
 [14, 3, 4, 0, 0]    |0.9319470260827603  |0.7114292495197917  |108       
 [17, 8, 6, 0, 0]    |0.9785605437137262  |0.5159875611676943  |256       
Gen 4 Train time: 9.821599173545838 minutes:
 Average MSE:        0.8348118355340571
 Average Error:      1.1908254669369907
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7451579204952375  |0.6270938244665114  |69        
 [14, 0, 0, 0, 0]    |0.8108677368355917  |0.7031744095609526  |57        
 [13, 0, 0, 0, 0]    |0.7500573271378242  |0.6569774135878765  |53        
 [18, 3, 5, 0, 0]    |0.9204994172453508  |0.6535482526426086  |137       
 [16, 4, 0, 0, 0]    |0.6671748988258106  |0.49302122638962337 |121       
 [15, 4, 3, 0, 0]    |1.0003717709528837  |0.7264189981931393  |128       
 [15, 7, 5, 0, 0]    |1.087507895092096   |0.6546783345967598  |203       
 [17, 3, 3, 2, 0]    |1.1076273999311592  |0.8043025698964472  |128       
 [14, 5, 4, 0, 0]    |0.9720846752683125  |0.6748179259410702  |146       
 [17, 4, 0, 0, 0]    |0.8007066238202082  |0.5814323438655702  |128       
 [16, 7, 0, 0, 0]    |0.7305956113759521  |0.47170797989956836 |175       
 [17, 2, 3, 0, 0]    |0.8555623907015333  |0.6663126598447974  |100       
 [14, 12, 8, 2, 0]   |1.9687379451320528  |0.8268704063735639  |347       
 [15, 1, 1, 2, 0]    |3.9544918742711435  |3.3196259674316932  |70        
 [7, 16, 2, 0, 0]    |1.6715737235180397  |1.0499741366542434  |186       
 [15, 0, 0, 0, 0]    |0.7054180575186871  |0.6056429472401125  |61        
 [18, 7, 5, 0, 0]    |1.1244751751076099  |0.6280198000875102  |233       
 [17, 1, 0, 0, 0]    |1.6090988904113752  |1.3473966549049217  |71        
 [16, 4, 12, 0, 0]   |1.023711491790041   |0.6382244472033549  |189       
 [17, 5, 0, 0, 0]    |0.8072622285810952  |0.5589994884102247  |147       
 [15, 5, 5, 0, 0]    |0.8257494049110196  |0.5521343164642081  |161       
 [14, 11, 0, 0, 0]   |0.9786035384762641  |0.5660184046387217  |219       
 [13, 2, 2, 0, 0]    |1.0729615923396638  |0.8872953891556993  |76        
 [16, 2, 2, 0, 0]    |0.9690867426084923  |0.7718993188636329  |91        
 [6, 3, 9, 6, 14]    |2.6112523410773214  |1.4047086720386168  |248       
Increasing Epochs
Gen 5 Train time: 11.474462795257569 minutes:
 Average MSE:        0.8141234562920756
 Average Error:      2.536328500063526
 Structure           |Error               |MSE                 |weights&biases
