/tmp/tmp.MWBRtCpolO ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k37.mat
  Evaluating with: datasets/N1dataset100k37.mat
Gen 0 Train time: 8.695288948218028 minutes:
 Average MSE:        1.4085062988634374
 Average Error:      4.007350893658419
 Structure           |Error               |MSE                 |weights&biases
 [18, 8, 5, 0, 0]    |1.5804288233399255  |0.8312673769673286  |257       
 [10, 19, 19, 3, 14] |6.964410121795169   |1.0680268833223823  |750       
 [17, 10, 1, 5, 16]  |3.1316064581378393  |1.2574000268219914  |365       
 [10, 16, 8, 7, 14]  |4.971728818760703   |1.3149092219112395  |532       
 [7, 2, 9, 0, 0]     |1.103668920101666   |0.9172639674509442  |74        
 [5, 5, 6, 0, 0]     |1.8164506212040128  |1.4577357690868418  |88        
 [6, 0, 0, 0, 0]     |1.7151757902942641  |1.6112585424238588  |25        
 [11, 16, 14, 11, 0] |3.8385788586568177  |0.77499570561071    |640       
 [15, 5, 2, 10, 0]   |1.7912556123073202  |1.1478800809456664  |178       
 [13, 18, 20, 6, 10] |8.606980868283708   |0.9584610083923776  |878       
 [16, 6, 11, 12, 14] |3.158347165049007   |0.763416780019363   |568       
 [7, 18, 1, 13, 0]   |3.1658028337828563  |1.8083352730150306  |224       
 [12, 16, 5, 0, 0]   |1.562791898567578   |0.6763625029260882  |335       
 [2, 20, 0, 0, 0]    |3.344481468246608   |2.690727665347193   |87        
 [9, 19, 14, 18, 0]  |6.380256946919395   |0.894230569232203   |786       
 [2, 5, 0, 0, 0]     |4.450836287720831   |4.160320058056394   |27        
 [20, 10, 1, 0, 0]   |2.206159158726059   |1.087360354778768   |283       
 [11, 6, 14, 0, 0]   |1.2813562013814273  |0.7429838649025781  |218       
 [14, 9, 14, 12, 0]  |2.86837921311144    |0.801513980745888   |510       
 [14, 0, 0, 0, 0]    |0.8518964469067899  |0.7387539963033609  |57        
 [15, 1, 18, 0, 0]   |1.387465345390689   |1.0381897692336632  |116       
 [10, 13, 0, 0, 0]   |1.218709884290254   |0.7636030654513127  |187       
 [3, 12, 16, 5, 5]   |7.293754272984612   |2.778797841034141   |386       
 [11, 0, 0, 0, 0]    |0.7523782393164912  |0.6723231986753924  |45        
 [18, 18, 9, 11, 2]  |24.740872086185025  |4.2565399689312144  |704       
Gen 1 Train time: 8.047577075163524 minutes:
 Average MSE:        0.8729091031179054
 Average Error:      1.2598844112972414
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.7342752886257022  |0.6561464499632671  |45        
 [14, 0, 0, 0, 0]    |0.9191733719808601  |0.7970957084186472  |57        
 [7, 2, 9, 0, 0]     |1.17249876643841    |0.9744687475982954  |74        
 [12, 8, 3, 0, 0]    |1.4825064415558145  |0.96679789923875    |171       
 [9, 9, 0, 0, 0]     |1.048494556244606   |0.7632691019193205  |127       
 [15, 1, 9, 0, 0]    |1.4287051851683128  |1.1436999409490987  |89        
 [9, 8, 5, 0, 0]     |1.0492494825731948  |0.706858432601764   |158       
 [11, 2, 14, 0, 0]   |1.100758587156111   |0.82778614810586    |114       
 [13, 0, 0, 0, 0]    |0.8391478706032658  |0.7350120820103729  |53        
 [13, 8, 3, 0, 0]    |1.2597791917280232  |0.7992643482553057  |182       
 [9, 1, 5, 0, 0]     |1.350462739608947   |1.182874276024578   |53        
 [7, 3, 0, 0, 0]     |1.1132064800366743  |0.9848603463097959  |49        
 [11, 3, 7, 0, 0]    |1.1144666267815981  |0.8571656648666351  |105       
 [10, 3, 3, 0, 0]    |1.2215062803151624  |1.002588096534728   |79        
 [14, 12, 0, 0, 0]   |1.1351467538819855  |0.6308178929227108  |235       
 [6, 14, 0, 0, 0]    |1.326111386171294   |0.9557593628393448  |131       
 [13, 20, 0, 0, 0]   |1.4590955249421835  |0.623639214499855   |340       
 [11, 3, 7, 5, 0]    |1.1744809714492026  |0.8214586509078797  |143       
 [15, 4, 6, 16, 0]   |1.4560590665965374  |0.7450779141413146  |268       
 [9, 1, 5, 15, 0]    |1.923566770247893   |1.3121685568776074  |153       
 [11, 7, 0, 0, 0]    |0.8159722266526384  |0.5969780338054618  |125       
 [14, 11, 3, 0, 0]   |1.4131511803908627  |0.7620996866100122  |247       
