/tmp/tmp.ESFB2VphZ8 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k39.mat
  Evaluating with: datasets/N1dataset100k39.mat
Gen 0 Train time: 8.372485661506653 minutes:
 Average MSE:        1.390656189508296
 Average Error:      3.0450315864707016
 Structure           |Error               |MSE                 |weights&biases
 [20, 13, 5, 19, 0]  |2.9155678530780698  |0.7615226254742706  |537       
 [19, 0, 0, 0, 0]    |0.7117619510824842  |0.5871283893614523  |77        
 [19, 4, 2, 12, 0]   |1.279167038854868   |0.7836514905732146  |196       
 [3, 10, 0, 0, 0]    |1.8115454112872342  |1.5592115851511346  |60        
 [3, 14, 4, 0, 0]    |2.617639011972606   |1.8913157881108156  |130       
 [2, 7, 17, 0, 0]    |3.9449767617735065  |2.5091475243652384  |181       
 [9, 0, 0, 0, 0]     |1.0882672624189764  |0.9921179911027146  |37        
 [18, 12, 0, 0, 0]   |1.0189277046877754  |0.4873614687521128  |295       
 [11, 5, 17, 0, 0]   |1.597443414615495   |0.9379154106663021  |213       
 [10, 4, 0, 0, 0]    |0.9667234413910006  |0.7934674021730236  |79        
 [11, 15, 9, 0, 0]   |1.6212805842350881  |0.6477284824987866  |367       
 [12, 4, 18, 0, 0]   |1.0811622131565757  |0.6606947050194192  |197       
 [17, 10, 7, 18, 9]  |4.426738771362461   |0.9095213052714645  |633       
 [1, 15, 13, 0, 0]   |12.909850079967818  |6.824305598500358   |255       
 [1, 0, 0, 0, 0]     |5.59030054640984    |5.5208567177231735  |5         
 [15, 13, 8, 16, 16] |6.185728540589966   |0.8413435424898121  |798       
 [8, 6, 17, 17, 0]   |3.2879623148005868  |0.8938368773181737  |521       
 [5, 3, 19, 0, 0]    |1.5340667573555722  |1.111179674143162   |129       
 [16, 5, 0, 0, 0]    |0.8056581482631089  |0.569158821379236   |139       
 [20, 15, 19, 12, 7] |11.849794622737353  |0.9298895493909332  |1018      
 [11, 17, 0, 0, 0]   |1.2688049185591488  |0.6707058916635826  |255       
 [14, 13, 17, 9, 0]  |3.498248023392275   |0.6940316449709396  |647       
 [3, 5, 0, 0, 0]     |1.5433290478782389  |1.4140271988330233  |35        
 [6, 20, 0, 0, 0]    |1.3516659611800947  |0.8640176146675949  |179       
 [9, 8, 0, 0, 0]     |1.2191792807173907  |0.9122674381074638  |116       
Gen 1 Train time: 8.525887668132782 minutes:
 Average MSE:        1.5005970098860664
 Average Error:      3.9316941975937
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6701262349690406  |0.5527833237051344  |77        
 [16, 5, 0, 0, 0]    |0.7944040332017687  |0.5612083291291572  |139       
 [10, 4, 0, 0, 0]    |0.9068360967409848  |0.7443130590093625  |79        
 [19, 6, 0, 0, 0]    |0.931785037787582   |0.5882206554833536  |184       
 [11, 9, 0, 0, 0]    |0.9172628921976936  |0.6288508576984413  |151       
 [9, 11, 18, 0, 0]   |1.921742654942836   |0.7582306948870674  |372       
 [3, 6, 15, 6, 0]    |5.5107632431864175  |3.0168195074292137  |241       
 [17, 9, 0, 0, 0]    |0.8471425834569623  |0.48510677428246424 |223       
