/tmp/tmp.aGfwcIsfLL ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k40.mat
  Evaluating with: datasets/N1dataset100k40.mat
Gen 0 Train time: 9.59866071542104 minutes:
 Average MSE:        1.9644435881079263
 Average Error:      3.565020964861118
 Structure           |Error               |MSE                 |weights&biases
 [16, 15, 0, 0, 0]   |1.3252005339683404  |0.5969414729694679  |319       
 [7, 14, 2, 13, 5]   |6.3520879775848575  |3.1701648009661816  |278       
 [2, 1, 0, 0, 0]     |5.079286198676131   |4.941508948135181   |11        
 [14, 15, 0, 0, 0]   |1.1672842745169758  |0.5753250566017122  |283       
 [19, 0, 0, 0, 0]    |0.7945282044102792  |0.6554018014705505  |77        
 [10, 0, 0, 0, 0]    |1.0572821167659137  |0.9542797367174349  |41        
 [7, 19, 5, 10, 2]   |11.394559580280673  |4.65590362766856    |358       
 [12, 4, 5, 10, 14]  |2.820758121112994   |1.1996210150181739  |342       
 [19, 20, 5, 0, 0]   |2.9517122752281972  |0.7134702307696985  |568       
 [13, 2, 7, 2, 0]    |2.0014474282997248  |1.5316883641277004  |107       
 [8, 14, 0, 0, 0]    |1.1271252319922052  |0.7461492353974177  |165       
 [2, 0, 0, 0, 0]     |4.507644360937442   |4.40735485073415    |9         
 [1, 9, 16, 0, 0]    |9.948926267033901   |6.0645760112199385  |198       
 [4, 2, 5, 0, 0]     |1.31836201831044    |1.1839899767354614  |43        
 [14, 8, 19, 6, 20]  |4.57462413245971    |0.9856288043008883  |614       
 [15, 10, 0, 0, 0]   |0.9552817137454257  |0.5566887492099767  |216       
 [11, 12, 2, 20, 8]  |4.486910449635355   |1.4935627438263577  |440       
 [12, 9, 6, 13, 17]  |3.986619109608321   |0.9830881688210023  |560       
 [13, 16, 3, 7, 0]   |2.8726116859767337  |1.1974827091683462  |350       
 [1, 8, 15, 0, 0]    |8.972816562086782   |5.8661563558050105  |170       
 [18, 16, 0, 0, 0]   |1.7264888278479802  |0.6761027393799004  |375       
 [14, 0, 0, 0, 0]    |0.7729517074462645  |0.6702941007663487  |57        
 [4, 15, 13, 0, 0]   |2.8275845960054     |1.3059396860264285  |309       
 [12, 19, 0, 0, 0]   |1.4320270789198577  |0.6713873594403019  |303       
 [6, 7, 1, 1, 20]    |4.671403668678072   |3.3083831574219618  |138       
Gen 1 Train time: 9.344534206390382 minutes:
 Average MSE:        1.634990698970745
 Average Error:      2.6371948358727137
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7314075361595233  |0.634267512473101   |57        
 [19, 0, 0, 0, 0]    |0.9488804652741109  |0.7827261044590056  |77        
 [15, 10, 0, 0, 0]   |1.0438750779474877  |0.6083163773706607  |216       
 [3, 2, 3, 0, 0]     |2.8451966541566467  |2.6396126632176213  |30        
