/tmp/tmp.gySrP2rGfU ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k41.mat
  Evaluating with: datasets/N1dataset100k41.mat
Gen 0 Train time: 9.319892783959707 minutes:
 Average MSE:        1.4021208559701637
 Average Error:      3.0396555703910106
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7181220721545918  |0.6227465234350267  |57        
 [5, 7, 17, 8, 7]    |5.670548884532606   |2.044771235766551   |408       
 [17, 14, 12, 20, 14]|12.643024258030845  |0.9112897465662801  |1052      
 [3, 0, 0, 0, 0]     |3.114076664857761   |3.014496122078113   |13        
 [4, 0, 0, 0, 0]     |1.1362205129877712  |1.0889429063767992  |17        
 [10, 4, 9, 0, 0]    |1.1039363634085249  |0.7996207744450519  |129       
 [4, 0, 0, 0, 0]     |1.262944606000422   |1.2103940688719133  |17        
 [11, 9, 19, 15, 0]  |3.4840233884028846  |0.6912095618153763  |647       
 [4, 18, 0, 0, 0]    |2.0024492783893693  |1.479746916066606   |121       
 [16, 0, 0, 0, 0]    |0.7379382717676013  |0.6272594045955837  |65        
 [13, 9, 6, 2, 0]    |2.029718070547518   |1.108377131614493   |242       
 [18, 5, 5, 16, 13]  |3.0063853933828226  |0.8400771813196586  |510       
 [1, 16, 0, 0, 0]    |6.722345337689178   |5.902860726095005   |52        
 [4, 0, 0, 0, 0]     |1.7783031676551522  |1.704308800686396   |17        
 [19, 0, 0, 0, 0]    |0.6881503393413687  |0.5676513049925767  |77        
 [20, 1, 7, 4, 15]   |3.711816370689159   |2.152266223810438   |218       
 [14, 14, 16, 0, 0]  |2.26747750568862    |0.6351894250836944  |509       
 [4, 15, 8, 18, 0]   |5.857331728106366   |2.1764479417482043  |396       
 [18, 14, 0, 0, 0]   |1.341870374867508   |0.5807496226334642  |335       
 [10, 1, 14, 5, 14]  |3.118428373534326   |1.6986420682413788  |243       
 [16, 19, 3, 16, 0]  |2.9072159496553813  |0.8083144744766513  |512       
 [13, 15, 1, 0, 0]   |2.992159445667579   |1.5349462273091976  |267       
 [7, 18, 11, 6, 17]  |5.6047308874408905  |1.3048799476774469  |583       
 [6, 19, 0, 0, 0]    |1.3324209884178604  |0.8689215617519513  |171       
 [11, 0, 0, 0, 0]    |0.7597510265591464  |0.6789115017962246  |45        
Gen 1 Train time: 8.62472369670868 minutes:
 Average MSE:        0.907596968563907
 Average Error:      1.563101995756133
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.8776921937300655  |0.7240033037395873  |77        
 [14, 0, 0, 0, 0]    |0.7007596256260687  |0.6076900258934268  |57        
 [16, 0, 0, 0, 0]    |0.7360176527019895  |0.62562684748662    |65        
 [12, 0, 0, 0, 0]    |0.7687120240521707  |0.6800840668800125  |49        
