/tmp/tmp.SqJyaMxxj1 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k43.mat
  Evaluating with: datasets/N1dataset100k43.mat
Gen 0 Train time: 9.892006774743399 minutes:
 Average MSE:        1.9761610180596099
 Average Error:      5.903131550200149
 Structure           |Error               |MSE                 |weights&biases
 [10, 15, 7, 12, 15] |4.672392814947518   |1.006693623361054   |614       
 [5, 14, 9, 0, 0]    |2.6826181372782902  |1.4576028962851748  |244       
 [13, 7, 9, 14, 20]  |4.169984041883567   |0.7810721193540239  |670       
 [20, 6, 0, 0, 0]    |0.8557581310694176  |0.5282067500112977  |193       
 [5, 20, 16, 5, 1]   |33.56751815006452   |8.195284088469343   |564       
 [2, 17, 12, 17, 8]  |28.768739344683848  |5.707547137200852   |647       
 [15, 16, 19, 10, 0] |5.786774533883282   |0.7175411802191997  |835       
 [5, 3, 16, 0, 0]    |2.180195817632067   |1.6395383320668155  |114       
 [19, 3, 9, 15, 0]   |1.6777695858672599  |0.7557575040298794  |319       
 [9, 10, 0, 0, 0]    |1.0919813688866757  |0.7733634310531736  |138       
 [16, 0, 0, 0, 0]    |0.6963535534094577  |0.5919117248836702  |65        
 [20, 17, 0, 0, 0]   |1.6982427892474008  |0.5724064649453751  |435       
 [6, 6, 4, 20, 0]    |2.1759374494393477  |1.2904094652343407  |209       
 [6, 4, 19, 12, 0]   |3.999114457806091   |1.4934262115543304  |394       
 [19, 0, 0, 0, 0]    |0.7005989359844679  |0.5779200816330776  |77        
 [19, 4, 5, 9, 0]    |1.2323403908706547  |0.7004131654104901  |226       
 [20, 1, 14, 11, 14] |10.580925649590363  |3.3755319040697103  |457       
 [3, 15, 19, 10, 0]  |14.188819729367669  |3.295158636760452   |584       
 [12, 11, 20, 20, 0] |6.266048759985149   |0.7298954123745351  |860       
 [7, 3, 0, 0, 0]     |0.9373683862505178  |0.8292953464231771  |49        
 [4, 3, 0, 0, 0]     |1.4461549641671283  |1.3383108853056105  |31        
 [16, 5, 15, 5, 14]  |2.231742569455179   |0.8169173938127958  |402       
 [10, 0, 0, 0, 0]    |0.980138243741035   |0.8846513625378654  |41        
 [2, 0, 0, 0, 0]     |4.333283630102744   |4.236873430442589   |9         
 [18, 1, 8, 7, 1]    |10.657487319390073  |7.1082969040514214  |162       
Gen 1 Train time: 9.451268740495046 minutes:
 Average MSE:        1.166488520743107
 Average Error:      2.106304171191375
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6703699469565     |0.5698252413165716  |65        
 [19, 0, 0, 0, 0]    |0.6367241134770192  |0.5252301034704195  |77        
 [20, 6, 0, 0, 0]    |0.9468642390129787  |0.5844409351576416  |193       
 [9, 2, 0, 0, 0]     |0.8572234774399027  |0.7564970636635099  |50        
 [5, 3, 5, 20, 3]    |12.665929123650864  |6.951209285001809   |240       
 [19, 14, 3, 5, 0]   |2.2296893796110475  |0.8040147084453938  |408       
 [10, 2, 0, 0, 0]    |0.9511765871892618  |0.8289830686485082  |55        
 [12, 11, 10, 5, 0]  |2.3838151090142716  |0.9691868977564315  |360       
 [7, 5, 2, 10, 0]    |1.383549726692189   |1.0404491160322122  |114       
 [13, 4, 12, 11, 0]  |1.67130069611875    |0.7699745498881116  |310       
 [12, 2, 11, 4, 0]   |1.7214403733117345  |1.1890579639915988  |148       
 [18, 2, 3, 5, 0]    |1.2986681106611013  |0.9453871139454083  |127       
 [20, 3, 0, 0, 0]    |1.0669845618748222  |0.7767292099454474  |127       
 [18, 3, 0, 0, 0]    |0.8501020285790859  |0.6376926171233626  |115       
 [19, 2, 3, 5, 0]    |1.1628801765844723  |0.8360221580840864  |132       
 [19, 2, 3, 11, 0]   |1.3446756208134767  |0.8968674572093118  |162       
 [14, 5, 0, 0, 0]    |0.8166079856113425  |0.6004378613227411  |123       
 [19, 9, 3, 5, 18]   |2.133506479313762   |0.7578777853265628  |414       
 [12, 4, 5, 7, 10]   |1.4115382663061573  |0.7631353120591213  |246       
 [15, 8, 0, 0, 0]    |1.0267927641676047  |0.651446582730081   |182       
 [4, 2, 3, 5, 0]     |2.2452938478767233  |1.947090880607662   |57        
 [7, 3, 0, 0, 0]     |0.9421315090973134  |0.8335093093317084  |49        
 [12, 2, 0, 0, 0]    |1.012429217333481   |0.8605811249477654  |65        
 [6, 4, 20, 11, 12]  |10.118555877523779  |2.662780702979033   |534       
 [7, 2, 0, 0, 0]     |1.1093550615667434  |1.003785969593175   |40        
Gen 2 Train time: 8.82180792093277 minutes:
 Average MSE:        1.2834369388765134
 Average Error:      1.700260471892927
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.7210171414151803  |0.5947629432807862  |77        
 [16, 0, 0, 0, 0]    |0.7344431996750956  |0.6242885370804562  |65        
 [14, 5, 0, 0, 0]    |0.7412006212233434  |0.5449921182013112  |123       
 [18, 7, 0, 0, 0]    |0.8108449649443441  |0.49798844330685943 |195       
 [15, 4, 0, 0, 0]    |0.8981554370180014  |0.6754256912319916  |114       
 [17, 4, 8, 0, 0]    |0.9279932480140651  |0.6036680476749796  |172       
 [3, 4, 0, 0, 0]     |3.3066389926564725  |3.06771278707705    |30        
 [3, 3, 12, 8, 9]    |4.496077281857089   |2.3238035431056483  |264       
 [2, 3, 0, 0, 0]     |4.121492908388483   |3.930298802381105   |19        
 [20, 3, 0, 0, 0]    |0.7402238550640681  |0.5388583028009547  |127       
 [12, 3, 1, 5, 0]    |1.9585364627501922  |1.5444957653978766  |95        
 [10, 3, 0, 0, 0]    |0.90238613354558    |0.7632170915185398  |67        
 [17, 1, 2, 3, 0]    |2.0229582107997963  |1.6315996287570163  |86        
 [16, 4, 0, 0, 0]    |0.8112522747900766  |0.5994898670982525  |121       
 [11, 5, 1, 5, 0]    |1.2037588901934295  |0.9029835611097464  |115       
 [19, 5, 14, 20, 0]  |3.1674140769102905  |0.7771790686190407  |562       
 [20, 2, 0, 0, 0]    |1.287889077963042   |0.990549444243705   |105       
 [15, 0, 0, 0, 0]    |0.8047172229225754  |0.6908971288600678  |61        
 [15, 3, 0, 0, 0]    |0.9544282345594144  |0.7489052353243341  |97        
 [13, 15, 2, 6, 0]   |1.9451613429717367  |0.9051495741043128  |306       
 [1, 0, 0, 0, 0]     |6.261031747818744   |6.183255962333197   |5         
 [18, 0, 0, 0, 0]    |0.7587186648275794  |0.6321527405961451  |73        
 [13, 2, 0, 0, 0]    |0.8361781190263247  |0.7019355926302382  |70        
 [12, 2, 0, 0, 0]    |0.9119078490623381  |0.7751363445058211  |65        
 [19, 3, 2, 3, 0]    |1.1820858389259228  |0.8371772506733979  |138       
Increasing Epochs
Gen 3 Train time: 10.417404540379842 minutes:
 Average MSE:        1.2008532225513613
 Average Error:      2.159231786374903
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.655021823169515   |0.5403237802318983  |77        
 [16, 0, 0, 0, 0]    |0.6357233713829749  |0.540375094607865   |65        
 [20, 3, 0, 0, 0]    |0.8094067412202971  |0.5892211388024918  |127       
 [15, 2, 4, 0, 0]    |0.9463641653251302  |0.7481679222392774  |94        
 [18, 13, 14, 0, 0]  |1.8767058800192649  |0.5217942366251924  |512       
 [16, 11, 0, 0, 0]   |0.9180917037638052  |0.49511857572388307 |247       
 [17, 2, 19, 16, 5]  |4.041240159269464   |1.0090927047331073  |555       
 [19, 2, 1, 2, 0]    |1.5252942165723393  |1.1672929152977294  |107       
 [16, 1, 1, 0, 0]    |1.8673874563895843  |1.5715153923477883  |69        
 [15, 3, 1, 2, 0]    |1.2900880917519244  |0.994724468971618   |104       
 [16, 4, 0, 0, 0]    |0.778639854937464   |0.5753903165013015  |121       
 [19, 2, 0, 0, 0]    |1.0320622999567968  |0.8037709273848286  |100       
 [8, 3, 0, 0, 0]     |0.8081454450643694  |0.704326515167339   |55        
 [14, 3, 0, 0, 0]    |0.8233300637574907  |0.655800856075801   |91        
 [17, 3, 0, 0, 0]    |0.9030760633058114  |0.687668426731521   |109       
 [18, 4, 0, 0, 0]    |0.9935497684850381  |0.7089493992716873  |135       
 [15, 1, 13, 2, 8]   |4.340948237498988   |2.998441975160268   |148       
 [8, 3, 3, 0, 0]     |1.3049985560195159  |1.1037372642770122  |67        
 [19, 4, 8, 12, 0]   |1.3318284066067008  |0.632264626250521   |298       
 [13, 4, 0, 0, 0]    |1.084600895393603   |0.844688026652485   |100       
 [15, 1, 0, 0, 0]    |1.5132382855723479  |1.2927243808291036  |63        
 [18, 1, 1, 2, 0]    |2.246185457545595   |1.8298489551518642  |82        
 [15, 1, 15, 0, 0]   |1.0413993900897134  |0.7969728835521658  |107       
 [14, 4, 0, 0, 0]    |0.6839032122731109  |0.5233845154345016  |107       
 [15, 9, 11, 7, 1]   |20.529565114001734  |7.685735265762784   |393       
Gen 4 Train time: 10.440945593516032 minutes:
 Average MSE:        1.0339551485745468
 Average Error:      2.0912229917439977
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6810201640671711  |0.578878097225036   |65        
 [19, 0, 0, 0, 0]    |0.736065328239146   |0.6071761070911419  |77        
 [14, 4, 0, 0, 0]    |0.747208246099201   |0.5718312457013592  |107       
 [18, 0, 0, 0, 0]    |0.5987869048832766  |0.49890005413411986 |73        
 [16, 1, 8, 0, 0]    |1.4922983235797151  |1.1916244146058315  |90        
 [18, 2, 0, 0, 0]    |0.8928786018337178  |0.7041212894296004  |95        
 [16, 7, 2, 1, 0]    |4.116875679130952   |2.5730566376947293  |188       
 [4, 19, 11, 10, 5]  |10.84653356366695   |3.0460496113582187  |508       
 [16, 7, 1, 1, 0]    |3.963335325028932   |2.5334599168788654  |179       
 [19, 2, 0, 0, 0]    |1.2259450580645663  |0.9547669712232032  |100       
 [15, 8, 0, 0, 0]    |0.8071057717036304  |0.5120666167766549  |182       
 [13, 20, 19, 3, 20] |8.055486215774462   |0.8948075397566573  |879       
 [16, 1, 8, 0, 0]    |1.8783460791312416  |1.4998898086293806  |90        
 [16, 4, 0, 0, 0]    |0.8521095695464543  |0.6296821204387231  |121       
 [12, 3, 2, 0, 0]    |0.9273837251972535  |0.7479734053176073  |86        
 [13, 4, 0, 0, 0]    |0.6973198033949717  |0.5430732089352021  |100       
 [16, 1, 8, 2, 16]   |1.9086142320747355  |1.2666523125301372  |164       
 [17, 1, 1, 1, 0]    |2.8182086604315875  |2.3363770406059663  |75        
 [20, 2, 0, 0, 0]    |0.8280832288920603  |0.6369006432323372  |105       
 [16, 3, 8, 0, 0]    |0.783181317310277   |0.5518985463987646  |140       
 [12, 3, 2, 18, 0]   |1.0528516744507133  |0.712840464013759   |156       
 [17, 8, 14, 0, 0]   |1.3772391359465352  |0.5945686282664923  |336       
 [18, 18, 14, 0, 0]  |2.8657349033798427  |0.5274637312350335  |677       
 [17, 16, 0, 0, 0]   |1.3008143294880734  |0.5341868876669624  |356       
 [17, 4, 0, 0, 0]    |0.8271489522844759  |0.6006334152178845  |128       
Gen 5 Train time: 10.455493748188019 minutes:
 Average MSE:        0.6987618810986466
 Average Error:      1.1309271817256121
 Structure           |Error               |MSE                 |weights&biases
