/tmp/tmp.3XbEDKKe3P ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k44.mat
  Evaluating with: datasets/N1dataset100k44.mat
Gen 0 Train time: 10.006429493427277 minutes:
 Average MSE:        1.6466183406184178
 Average Error:      6.288249289256938
 Structure           |Error               |MSE                 |weights&biases
 [10, 18, 18, 15, 5] |30.797291388078627  |2.929778269324415   |941       
 [5, 13, 10, 14, 16] |6.583709069126869   |1.3160018975926604  |644       
 [18, 18, 3, 1, 0]   |5.509486616155884   |1.7488727643116326  |459       
 [4, 0, 0, 0, 0]     |1.4301061017945815  |1.3706000526432558  |17        
 [15, 20, 11, 0, 0]  |2.485638143368712   |0.5436386086165708  |608       
 [16, 19, 16, 7, 1]  |44.813604651442     |5.769075074225361   |820       
 [15, 11, 9, 0, 0]   |1.2842958311167645  |0.5503012501248918  |339       
 [9, 9, 11, 15, 2]   |21.09300417991434   |6.986232523563221   |442       
 [5, 11, 18, 0, 0]   |2.6566110110518286  |1.2056890804556692  |316       
 [19, 3, 0, 0, 0]    |0.9449085206291068  |0.6982576210322865  |121       
 [17, 17, 1, 10, 0]  |3.1617606568821084  |1.1458297446028467  |406       
 [17, 12, 0, 0, 0]   |1.1646433946875883  |0.5783447939595945  |280       
 [3, 15, 2, 11, 16]  |9.79283962811331    |4.154331265526621   |343       
 [9, 10, 0, 0, 0]    |0.9895957974562127  |0.7008518854646884  |138       
 [4, 19, 7, 14, 13]  |8.833783422458927   |2.135249275440998   |568       
 [6, 11, 0, 0, 0]    |1.2929312270087268  |0.9894677661900841  |107       
 [15, 14, 0, 0, 0]   |1.0581101308784193  |0.5202137061210372  |284       
 [13, 0, 0, 0, 0]    |0.7393124419919973  |0.6475659371620125  |53        
 [12, 12, 0, 0, 0]   |1.0143474896580318  |0.6075903068488818  |205       
 [14, 14, 13, 4, 0]  |2.683239876221269   |0.7535386060596378  |508       
 [11, 15, 6, 2, 0]   |2.3671246900454492  |1.0477824805821643  |326       
 [14, 4, 1, 9, 0]    |1.1619588127705727  |0.8291180053800653  |135       
 [17, 0, 0, 0, 0]    |0.7662452246292217  |0.6448400200491606  |69        
 [4, 12, 6, 0, 0]    |2.4702034552109664  |1.6682922822933608  |157       
 [3, 19, 0, 0, 0]    |2.1114804707319843  |1.6239952978893288  |105       
Gen 1 Train time: 9.256603507200877 minutes:
 Average MSE:        0.7891801287442837
 Average Error:      1.3502492317485788
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.7564034472887216  |0.662535998848238   |53        
 [17, 0, 0, 0, 0]    |0.6714044775510147  |0.5650260032283946  |69        
 [19, 3, 0, 0, 0]    |0.8072800330748449  |0.5965545056429487  |121       
 [18, 8, 0, 0, 0]    |0.8863430808350283  |0.5178077840187278  |215       
 [13, 14, 1, 5, 0]   |2.0394322806559324  |1.0488260334917083  |266       
 [13, 7, 0, 0, 0]    |0.9356046393141976  |0.6511193725356795  |145       
 [13, 15, 3, 1, 0]   |3.1094150918676813  |1.4578090167872437  |303       
 [17, 6, 0, 0, 0]    |0.7488086680831456  |0.4944685260763487  |166       
 [15, 1, 0, 0, 0]    |1.281933596133727   |1.0951261477627796  |63        
 [15, 9, 3, 1, 0]    |2.179951641966574   |1.2420990043365283  |225       
 [14, 6, 5, 0, 0]    |1.3890769491991297  |0.9013509921735319  |173       
 [12, 12, 7, 2, 0]   |2.6430960288346967  |1.2422831893044395  |302       
 [14, 12, 5, 0, 0]   |1.3981122559626837  |0.6720805618959116  |293       
 [19, 14, 0, 0, 0]   |1.3421871300267687  |0.5567162858140484  |352       
 [13, 0, 0, 0, 0]    |0.7092535086353969  |0.6212372292388635  |53        
 [11, 11, 0, 0, 0]   |0.9337535862043065  |0.599869767258264   |177       
 [16, 8, 0, 0, 0]    |0.9371282228824279  |0.578431492475573   |193       
 [12, 2, 0, 0, 0]    |1.0029485289959719  |0.8525223873144704  |65        
 [16, 8, 1, 5, 0]    |1.5931173055690269  |0.9447760784045481  |209       
 [17, 11, 0, 0, 0]   |1.0995073420889407  |0.572559973778922   |261       
 [11, 7, 13, 0, 0]   |1.3348468912865503  |0.7417942221621814  |235       
 [17, 7, 5, 0, 0]    |1.1573679338115177  |0.6627538692933495  |223       
 [9, 13, 5, 7, 8]    |2.3271355609884337  |0.9896916374581991  |342       
 [18, 2, 0, 0, 0]    |1.0494457850421883  |0.8275896833374649  |95        
 [16, 12, 5, 0, 0]   |1.4226768074155602  |0.6344734559687282  |323       
Gen 2 Train time: 9.767749293645222 minutes:
 Average MSE:        1.6466615781803795
 Average Error:      8.853988729354406
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7063364060429479  |0.594423257194961   |69        
 [13, 0, 0, 0, 0]    |0.745113905857424   |0.6526474563838509  |53        
 [17, 6, 0, 0, 0]    |1.1118440568259484  |0.7341954165846136  |166       
 [16, 7, 13, 16, 0]  |2.0804111122921953  |0.5784318894945488  |512       
 [17, 7, 3, 0, 0]    |1.1489865816502993  |0.6882386133232399  |205       
