/tmp/tmp.gzsRu2NNyG ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k46.mat
  Evaluating with: datasets/N1dataset100k46.mat
Gen 0 Train time: 8.375260214010874 minutes:
 Average MSE:        1.7100839000519175
 Average Error:      3.466777607171848
 Structure           |Error               |MSE                 |weights&biases
 [16, 16, 14, 0, 0]  |2.303644590671357   |0.5499062187893674  |573       
 [15, 0, 0, 0, 0]    |0.7488213136618289  |0.6429071988284744  |61        
 [6, 13, 13, 11, 3]  |12.85837868619983   |3.8247596805620914  |485       
 [3, 19, 1, 0, 0]    |4.466149641411489   |3.417901135686813   |107       
 [13, 9, 10, 10, 14] |3.1973151336881593  |0.8206253863777653  |544       
 [5, 12, 3, 0, 0]    |1.1606423877087337  |0.8385958729160073  |130       
 [2, 13, 0, 0, 0]    |3.3152983887882197  |2.860646451512731   |59        
 [6, 17, 20, 0, 0]   |3.0643069553284628  |0.8393071307204604  |518       
 [2, 15, 0, 0, 0]    |3.200688736796042   |2.7070676928018598  |67        
 [7, 0, 0, 0, 0]     |1.1228409449328451  |1.0443159018296992  |29        
 [3, 4, 14, 20, 0]   |11.426935933304302  |4.038904006069428   |416       
 [4, 6, 6, 0, 0]     |2.489017013568585   |1.982557858796105   |91        
 [17, 2, 18, 9, 8]   |3.192971897601623   |1.171695813230114   |401       
 [12, 5, 0, 0, 0]    |0.7663334790053642  |0.5864676015153554  |107       
 [4, 14, 20, 13, 0]  |9.225067642925465   |1.7322558566446016  |669       
 [13, 7, 20, 0, 0]   |1.5475160111135482  |0.69882919136114    |318       
 [10, 16, 6, 16, 0]  |2.443418452085703   |0.8194663557614621  |437       
 [1, 15, 6, 0, 0]    |9.139710220046213   |6.505374493279016   |136       
 [15, 8, 13, 0, 0]   |1.5299009061938216  |0.7154832904788869  |304       
 [18, 1, 0, 0, 0]    |1.3011989841372162  |1.0787318463965092  |75        
 [8, 1, 8, 8, 0]     |2.006719416251306   |1.44990966932622    |130       
 [3, 6, 3, 0, 0]     |2.6075705153718816  |2.255606626654943   |58        
 [15, 20, 0, 0, 0]   |1.5765667479695762  |0.6006454442440904  |386       
 [18, 6, 0, 0, 0]    |0.8186149313113931  |0.528537524113071   |175       
 [6, 3, 0, 0, 0]     |1.1598112492232506  |1.041599253401738   |43        
Gen 1 Train time: 8.348348943392436 minutes:
 Average MSE:        1.2754576469820325
 Average Error:      2.7935795636418197
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6659355770761557  |0.5717449125007177  |61        
 [12, 5, 0, 0, 0]    |0.7988559853054298  |0.6113567611144155  |107       
 [18, 6, 0, 0, 0]    |0.8047503050870048  |0.5195858486218212  |175       
 [15, 8, 17, 0, 0]   |1.6714751619063308  |0.7073049100546793  |344       
 [13, 7, 5, 5, 7]    |1.7850488753459999  |0.938892580579186   |257       
 [10, 3, 4, 4, 0]    |1.189436082548458   |0.9171165776609701  |104       
 [10, 6, 2, 0, 0]    |1.439708269641058   |1.085391229883458   |113       
 [15, 10, 0, 0, 0]   |1.000419277376591   |0.582992585532458   |216       
 [4, 9, 4, 13, 4]    |10.135299105819827  |5.803866257730138   |223       
 [14, 4, 10, 0, 0]   |1.0709075973144524  |0.7124870878824536  |163       
 [7, 0, 0, 0, 0]     |1.0486209860578137  |0.9752864603614979  |29        
 [13, 3, 0, 0, 0]    |0.7283373507117666  |0.5889046786802347  |85        
 [6, 3, 3, 0, 0]     |1.2220803230450665  |1.0650849799893987  |55        
 [11, 12, 0, 0, 0]   |0.889768051766025   |0.5533334551132854  |190       
 [9, 9, 2, 0, 0]     |1.528085644851574   |1.076823753997044   |140       
 [3, 15, 14, 11, 7]  |28.874930543578387  |7.300725767528488   |550       
 [18, 4, 18, 8, 8]   |2.9481047184647178  |0.949958001381862   |453       
 [9, 16, 2, 8, 0]    |2.2516353231942445  |1.193221464510028   |254       
 [12, 14, 5, 8, 0]   |2.1015966618881743  |0.8760758290243157  |350       
 [19, 9, 3, 0, 0]    |1.329381486450807   |0.6751730749007623  |271       
 [9, 4, 0, 0, 0]     |0.8957137630677545  |0.7481630242415893  |72        
 [16, 7, 10, 0, 0]   |1.0978434538059962  |0.5759973373089359  |258       
 [17, 13, 0, 0, 0]   |1.0372178308613387  |0.49117341109460855 |299       
 [17, 9, 7, 0, 0]    |1.4008392082514671  |0.676766812022304   |291       
 [9, 2, 1, 0, 0]     |1.923497507629054   |1.68901437283616    |52        
Gen 2 Train time: 8.414134307702382 minutes:
 Average MSE:        0.8769750327474051
 Average Error:      2.497073651705072
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.7566814056771842  |0.6496555507355732  |61        
 [13, 3, 0, 0, 0]    |0.7704809751455036  |0.6229803409833096  |85        
 [12, 5, 0, 0, 0]    |0.7602990857101111  |0.581849538675323   |107       
 [12, 2, 0, 0, 0]    |0.9320860326149499  |0.7922881251970627  |65        
 [13, 2, 2, 2, 0]    |1.5612701630518875  |1.2718845485234318  |82        
 [9, 13, 2, 4, 0]    |2.3577770434656395  |1.4229315913453973  |202       
 [15, 6, 0, 0, 0]    |0.8259903422205888  |0.5705398861466578  |148       
 [19, 11, 19, 16, 10]|10.863996261463976  |0.8784943759047182  |1006      
 [11, 6, 1, 0, 0]    |1.4918515859145842  |1.1218936579367444  |114       
 [10, 3, 2, 0, 0]    |1.2856743217710749  |1.0685294364626166  |74        
 [10, 11, 2, 4, 0]   |1.3036196474509458  |0.8066581870748217  |192       
 [16, 4, 14, 4, 4]   |2.8890193839499676  |1.4672899546067104  |271       
 [17, 8, 0, 0, 0]    |0.7491078558736326  |0.4498359555056525  |204       
 [13, 1, 0, 0, 0]    |1.560717899811286   |1.3602192603409584  |55        
 [11, 2, 2, 0, 0]    |1.1913093507520776  |1.0101036981237492  |66        
 [10, 8, 9, 0, 0]    |1.1998309013344244  |0.7115430419020179  |209       
 [15, 8, 19, 0, 0]   |1.6056648663732627  |0.6463190043949694  |364       
 [17, 7, 7, 0, 0]    |1.1199340286107697  |0.6130981636208291  |241       
 [15, 8, 0, 0, 0]    |1.0460825329279917  |0.6636849373222998  |182       
 [12, 4, 5, 0, 0]    |0.8814232339361016  |0.6546088700581404  |119       
 [13, 6, 3, 0, 0]    |1.0219610754897306  |0.70590359941583    |148       
 [10, 5, 3, 2, 0]    |1.475695197826221   |1.1097438237959794  |114       
 [17, 7, 7, 15, 0]   |1.9733928721315428  |0.7844710040586726  |369       
 [11, 18, 15, 19, 17]|21.254779606465764  |1.068848384534038   |1196      
 [13, 9, 5, 0, 0]    |1.5481956226575773  |0.8910008820196177  |221       
Increasing Epochs
Gen 3 Train time: 9.438942297299702 minutes:
 Average MSE:        1.1102147813794299
 Average Error:      1.7962971001166728
 Structure           |Error               |MSE                 |weights&biases
 [17, 8, 0, 0, 0]    |0.8299836330895871  |0.498401502156839   |204       
 [15, 0, 0, 0, 0]    |0.7277574166643931  |0.6248226027199444  |61        
 [12, 5, 0, 0, 0]    |0.7120376650808912  |0.54491554012566    |107       
 [15, 7, 0, 0, 0]    |0.8536522289210905  |0.5651119678857283  |165       
 [11, 6, 1, 0, 0]    |2.0741987675146776  |1.5598270394627327  |114       
 [1, 2, 1, 11, 12]   |10.508354913587024  |6.551346799881633   |189       
 [12, 2, 0, 0, 0]    |1.0781971677739453  |0.9164849410433066  |65        
 [10, 7, 2, 2, 0]    |1.7799156128981264  |1.279623577618496   |132       
 [15, 5, 5, 1, 0]    |1.9901821531808541  |1.3240909768792073  |163       
 [15, 5, 1, 1, 0]    |2.1484272085502902  |1.5330144771742387  |135       
 [15, 6, 0, 0, 0]    |0.7842501810475925  |0.541708523858133   |148       
 [17, 7, 7, 0, 0]    |1.0737892485034086  |0.5878366042595119  |241       
 [15, 8, 6, 6, 0]    |1.436059241244343   |0.7202929491693197  |276       
 [12, 5, 1, 0, 0]    |1.4246508376061402  |1.084833758689276   |109       
 [11, 10, 3, 2, 0]   |1.5348371222986001  |0.9379339634977331  |197       
 [14, 2, 0, 0, 0]    |0.8996121305240166  |0.7458046512727167  |75        
 [14, 5, 5, 8, 0]    |1.350266793792026   |0.8108292398891251  |204       
 [15, 3, 0, 0, 0]    |0.7683282852165397  |0.6028793516487436  |97        
