/tmp/tmp.jeM1vjGeKV ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k47.mat
  Evaluating with: datasets/N1dataset100k47.mat
Gen 0 Train time: 9.05800797144572 minutes:
 Average MSE:        2.4528687863863627
 Average Error:      6.579827307532313
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.9373063138171703  |0.7809492273295351  |73        
 [20, 0, 0, 0, 0]    |0.7763424053508386  |0.6340283483177332  |81        
 [7, 0, 0, 0, 0]     |1.0245486422865562  |0.9528975979780204  |29        
 [17, 13, 9, 2, 0]   |3.266356869412645   |1.1037078195439967  |434       
 [20, 13, 16, 13, 1] |61.462143767842164  |8.443707055770687   |794       
 [6, 7, 8, 7, 3]     |10.282241205840117  |5.902749459203805   |222       
 [8, 7, 20, 0, 0]    |1.9107067237068924  |0.9777250201552381  |268       
 [10, 1, 1, 20, 0]   |1.898633156580439   |1.4639441062405782  |104       
 [1, 0, 0, 0, 0]     |5.7668755345745355  |5.695238256157096   |5         
 [19, 14, 12, 0, 0]  |2.1289873421622745  |0.5658911354096016  |530       
 [1, 8, 6, 19, 0]    |12.33387649028987   |7.010083852110528   |226       
 [3, 12, 2, 0, 0]    |4.781930730348089   |3.8568252980831645  |86        
 [3, 18, 9, 3, 7]    |8.61897079990139    |3.892165477581232   |318       
 [12, 4, 11, 1, 6]   |1.9183196749160258  |1.241660545733765   |174       
 [18, 11, 5, 0, 0]   |1.369720211299828   |0.601761852168812   |329       
 [3, 14, 9, 3, 0]    |3.9730717593444416  |2.213421566531195   |234       
 [2, 17, 0, 0, 0]    |3.144800031610536   |2.607130797059778   |75        
 [3, 0, 0, 0, 0]     |2.9022951540697908  |2.8094868651761664  |13        
 [14, 4, 16, 0, 0]   |1.1273373568463696  |0.6854762209899885  |199       
 [4, 3, 19, 0, 0]    |2.260319743977064   |1.6619743829263662  |123       
 [12, 20, 19, 1, 0]  |26.797378072090247  |4.462923522476361   |717       
 [7, 7, 17, 0, 0]    |2.1566467155821036  |1.2105255073396386  |231       
 [12, 0, 0, 0, 0]    |0.7440703444976576  |0.6582834274704098  |49        
 [8, 6, 2, 12, 0]    |1.320309055984511   |0.9280829564313317  |141       
 [7, 20, 0, 0, 0]    |1.5924945859762627  |0.9610793614740512  |202       
Gen 1 Train time: 8.932780003547668 minutes:
 Average MSE:        1.093819642886694
 Average Error:      2.0770944528956528
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.6863094072378784  |0.6071819852016129  |49        
 [20, 0, 0, 0, 0]    |0.7622092935143551  |0.6224860269238297  |81        
 [18, 0, 0, 0, 0]    |0.683890376251847   |0.5698069596234071  |73        
 [19, 6, 3, 0, 0]    |1.1733403264416966  |0.7081174288809476  |202       
 [13, 0, 0, 0, 0]    |0.7733070214858159  |0.6773418890843548  |53        
 [12, 3, 9, 10, 0]   |1.4958112188531483  |0.8587037287300239  |222       
 [10, 10, 0, 0, 0]   |0.8804909877459381  |0.6036410254350996  |151       
 [11, 1, 1, 10, 0]   |2.075504291862534   |1.7077968642885069  |78        
 [11, 2, 8, 0, 0]    |1.1066003192348872  |0.8836383025933616  |90        
 [14, 0, 0, 0, 0]    |0.7322199229723213  |0.6349720042064306  |57        
 [7, 9, 0, 0, 0]     |1.4531547477416096  |1.123261920194469   |103       
 [12, 4, 11, 1, 6]   |3.495458401675299   |2.2624867186454813  |174       
 [7, 7, 5, 10, 0]    |1.7583310204084324  |1.0989608761471061  |188       
 [20, 18, 15, 6, 6]  |7.881110085798517   |0.8998463682084328  |868       
 [13, 9, 4, 6, 0]    |1.8301676841312307  |0.9994077687664866  |242       
 [12, 3, 15, 18, 7]  |4.600119913006236   |1.123088378460846   |564       
 [16, 9, 0, 0, 0]    |0.9356642343018874  |0.5521151822930737  |211       
 [16, 4, 2, 16, 0]   |1.3701304857203032  |0.8499361757718775  |191       
 [1, 18, 0, 0, 0]    |7.141970593597258   |6.177963780202983   |58        
 [13, 7, 0, 0, 0]    |1.0786494864318992  |0.7506691900398035  |145       
 [19, 0, 0, 0, 0]    |0.7352918184019669  |0.6065380432213783  |77        
 [13, 7, 6, 0, 0]    |1.1010687026343102  |0.6813230264276455  |192       
 [20, 12, 18, 9, 9]  |6.204988858306224   |0.8048121547385486  |817       
 [14, 3, 1, 6, 0]    |1.3003753086796555  |0.9877288342031297  |110       
 [19, 0, 0, 0, 0]    |0.6711968159560726  |0.5536664398785139  |77        
Gen 2 Train time: 8.66403282880783 minutes:
 Average MSE:        0.9755062069538089
 Average Error:      1.4169071191467384
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.7462662157126817  |0.6155907612086958  |77        
 [18, 0, 0, 0, 0]    |0.7471533889156106  |0.6225167303034984  |73        
 [12, 0, 0, 0, 0]    |1.0643890126184798  |0.9416712446205331  |49        
 [13, 7, 3, 0, 0]    |1.0948375584292058  |0.7247750151617376  |165       
 [12, 20, 0, 0, 0]   |1.5934442757733371  |0.7213707081984884  |317       
 [15, 2, 2, 9, 0]    |1.1505054899835248  |0.8523154299741428  |120       
 [4, 2, 1, 8, 0]     |3.649968243052885   |3.2210856690263086  |50        
 [17, 3, 3, 0, 0]    |1.2657665196633452  |0.9353615715244074  |121       
 [19, 3, 2, 16, 0]   |1.3175750999728335  |0.81938026544351    |190       
 [15, 0, 0, 0, 0]    |0.7846436865523877  |0.673662815676286   |61        
 [13, 15, 0, 0, 0]   |1.1023513016249302  |0.568329140961588   |265       
 [17, 6, 5, 0, 0]    |1.2422393735387107  |0.7534562667534427  |200       
 [13, 0, 0, 0, 0]    |1.0083384227842072  |0.8832065830887081  |53        
 [15, 5, 0, 0, 0]    |0.7711513880423012  |0.5557867664615491  |131       
 [16, 4, 0, 0, 0]    |0.7943712941909072  |0.5870153543845558  |121       
 [16, 10, 1, 10, 16] |3.4686509039863327  |1.1488549260987582  |442       
 [12, 5, 4, 0, 0]    |0.7648023333541851  |0.5525906059776813  |130       
 [17, 4, 0, 0, 0]    |0.7997174775345779  |0.5807140762427347  |128       
 [13, 5, 2, 3, 0]    |1.2326105241784016  |0.8817332535838036  |134       
 [18, 2, 6, 1, 3]    |5.97013485195902    |4.346059251955643   |127       
 [12, 5, 0, 0, 0]    |0.9477507375230524  |0.7253044752670437  |107       
 [17, 5, 0, 0, 0]    |0.9212355730057635  |0.6379218496580379  |147       
 [18, 5, 3, 0, 0]    |1.2376204177212213  |0.8070985638700939  |171       
 [12, 5, 14, 0, 0]   |1.0401241192564905  |0.630867168235661   |200       
 [16, 0, 0, 0, 0]    |0.7070297692940686  |0.6009866801683095  |65        
Increasing Epochs
Gen 3 Train time: 10.218050805727641 minutes:
 Average MSE:        1.0295722780640082
 Average Error:      1.8944912643426872
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.72378664512348    |0.6152302942452182  |65        
 [19, 0, 0, 0, 0]    |0.8015816507621516  |0.661220149289964   |77        
 [18, 0, 0, 0, 0]    |0.6324183840980826  |0.5269212861684911  |73        
 [13, 11, 2, 0, 0]   |1.836044077166511   |1.0593052821714342  |220       
 [18, 3, 3, 0, 0]    |0.9170781323072452  |0.6676023239864103  |127       
 [17, 4, 0, 0, 0]    |0.7990907027233671  |0.580258944317112   |128       
 [16, 3, 7, 0, 0]    |0.7680062688564954  |0.5480123897295254  |135       
 [12, 2, 0, 0, 0]    |1.1779843514985062  |1.0013056528074613  |65        
 [15, 5, 1, 2, 0]    |1.3141296831553115  |0.9306933887067826  |138       
 [17, 1, 20, 10, 3]  |17.69687807528538   |7.2673247873727975  |356       
 [19, 3, 2, 0, 0]    |0.9742539260721118  |0.7074535502825268  |128       
 [15, 4, 2, 0, 0]    |1.0570093936720255  |0.7791463310271718  |122       
 [13, 5, 7, 2, 0]    |1.668040645380464   |1.0905145743182376  |170       
 [18, 3, 0, 0, 0]    |0.9984577625687456  |0.7489796780791549  |115       
 [12, 5, 4, 0, 0]    |0.9455171241786144  |0.6831619855560368  |130       
 [6, 8, 6, 12, 17]   |4.497208019206848   |1.4563841642530753  |451       
 [13, 6, 2, 0, 0]    |1.0974657867671154  |0.7733710688085633  |140       
 [13, 11, 2, 13, 0]  |1.4727558989565042  |0.749863121941347   |270       
 [14, 5, 7, 0, 0]    |0.7286161495952507  |0.4799332585614673  |167       
 [13, 8, 0, 0, 0]    |0.8201795244335245  |0.5497827765757689  |160       
 [16, 5, 0, 0, 0]    |0.7596797379897725  |0.5366772808443578  |139       
 [19, 5, 3, 5, 19]   |2.15930734336694    |0.9486527070467341  |329       
 [12, 5, 20, 0, 0]   |1.2318891826622718  |0.6727031791059603  |242       
 [14, 5, 2, 0, 0]    |1.3930578370146314  |1.0015023410731625  |132       
 [18, 2, 0, 0, 0]    |0.8918453057258187  |0.7033064353314483  |95        
Gen 4 Train time: 9.898933990796406 minutes:
 Average MSE:        0.8607332230595862
 Average Error:      1.4285719256036267
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.6035230677756932  |0.5028461523272246  |73        
 [16, 0, 0, 0, 0]    |0.6350776917653357  |0.5398262565437412  |65        
 [14, 5, 7, 0, 0]    |0.7904205776755947  |0.5206433094965237  |167       
 [16, 4, 0, 0, 0]    |0.9923759181206993  |0.733334531998235   |121       
 [13, 10, 1, 7, 0]   |1.6020251606981324  |0.9429599711366864  |212       
 [18, 18, 0, 0, 0]   |1.6707133724678382  |0.5919996142875275  |415       
 [17, 12, 2, 0, 0]   |1.997372675540904   |0.9529742979820455  |296       
 [14, 14, 11, 0, 0]  |1.5641519558988144  |0.5351778250225991  |429       
 [13, 5, 14, 1, 0]   |7.708413851240589   |4.559953564460831   |210       
