/tmp/tmp.SpuP6rlwZ7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k49.mat
  Evaluating with: datasets/N1dataset100k49.mat
Gen 0 Train time: 9.560034346580505 minutes:
 Average MSE:        2.3040342507134968
 Average Error:      6.389340665056619
 Structure           |Error               |MSE                 |weights&biases
 [9, 20, 18, 13, 19] |18.79156098823302   |1.0924336189475614  |1138      
 [13, 0, 0, 0, 0]    |1.3171630373768652  |1.1537069691346347  |53        
 [8, 8, 15, 10, 5]   |4.654757837916861   |1.503641582239289   |452       
 [12, 7, 15, 1, 11]  |3.5512394302801313  |1.6901151755806716  |297       
 [19, 14, 0, 0, 0]   |1.5135748767517316  |0.627804994427174   |352       
 [11, 7, 5, 8, 17]   |3.187236530103314   |1.2450233065298613  |376       
 [4, 8, 4, 15, 15]   |7.126016534202264   |2.4999041407651896  |419       
 [2, 7, 3, 0, 0]     |4.556110641576202   |3.9708069265212496  |55        
 [9, 18, 6, 4, 10]   |3.4264238142365673  |1.2293887535308592  |410       
 [2, 15, 8, 11, 19]  |14.6758342201351    |3.9400846602220008  |526       
 [6, 4, 9, 17, 0]    |1.8770088994663368  |0.9344281873729035  |279       
 [11, 14, 20, 1, 2]  |21.965217123854252  |5.853034018097914   |529       
 [18, 10, 2, 9, 11]  |2.168110250119502   |0.7682469374789708  |415       
 [10, 16, 9, 4, 0]   |2.146207991043112   |0.7816896844459713  |404       
 [4, 16, 1, 20, 10]  |16.371530059901172  |6.491826047081514   |370       
 [6, 19, 20, 20, 0]  |14.176133642246704  |1.1871551576277843  |992       
 [4, 0, 0, 0, 0]     |1.930939993151268   |1.850594478929258   |17        
 [11, 4, 6, 3, 11]   |1.9131953272262183  |1.1957514191842504  |188       
 [12, 3, 2, 4, 3]    |1.8975218380516863  |1.4269634700971832  |114       
 [1, 16, 4, 6, 6]    |9.825712055418634   |6.233903047204761   |182       
 [12, 1, 5, 3, 0]    |1.747749464727601   |1.4273633628111155  |81        
 [7, 17, 20, 16, 0]  |7.425462993218207   |0.8435931408101032  |870       
 [11, 20, 18, 0, 0]  |3.3269936245865663  |0.6231731189693873  |670       
 [1, 0, 0, 0, 0]     |4.899679996636857   |4.838815194202496   |5         
 [2, 13, 3, 0, 0]    |5.2621354559552795  |4.191408875625308   |91        
Gen 1 Train time: 9.159213904539744 minutes:
 Average MSE:        1.6688164588970489
 Average Error:      4.2051996342018505
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.8541527519605011  |0.7481549016170909  |53        
 [19, 14, 0, 0, 0]   |1.1716017060900228  |0.485960366983128   |352       
 [12, 1, 5, 3, 0]    |1.4587456221453057  |1.1913378311552427  |81        
 [13, 10, 5, 9, 0]   |2.0463285006290346  |0.9714623281932153  |298       
 [9, 0, 0, 0, 0]     |1.249695419578888   |1.1392838432049952  |37        
 [7, 8, 5, 2, 0]     |2.3398199042487047  |1.6283609591949482  |145       
 [16, 7, 0, 0, 0]    |0.9928533104172035  |0.6410342768299219  |175       
 [12, 12, 3, 2, 6]   |2.081959236083864   |1.0760634095272636  |264       
 [7, 10, 9, 1, 6]    |2.647525618611453   |1.4935046542041834  |229       
 [18, 10, 13, 17, 19]|12.842630733666034  |1.0890112375843413  |987       
 [11, 8, 12, 2, 6]   |2.978071196214788   |1.4495828731669596  |288       
 [6, 16, 9, 2, 12]   |4.660957672644985   |1.9332855946842937  |352       
 [9, 17, 0, 0, 0]    |1.2957968009507954  |0.7570134912169226  |215       
 [3, 7, 0, 0, 0]     |1.8130160790749268  |1.6201063585264373  |45        
