/tmp/tmp.Whdlh2WMyo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k50.mat
  Evaluating with: datasets/N1dataset100k50.mat
Gen 0 Train time: 8.595224241415659 minutes:
 Average MSE:        1.1402243969376584
 Average Error:      3.123510092599156
 Structure           |Error               |MSE                 |weights&biases
 [9, 18, 0, 0, 0]    |1.3356324163960287  |0.7591202361969752  |226       
 [9, 8, 0, 0, 0]     |0.943799454129584   |0.7062107466257049  |116       
 [4, 12, 13, 15, 14] |9.828898954956358   |1.7512449223720263  |690       
 [4, 11, 0, 0, 0]    |1.2898910883538794  |1.0587169888935462  |79        
 [14, 14, 15, 0, 0]  |1.95173239267264    |0.5690524810231221  |493       
 [6, 14, 0, 0, 0]    |1.1460162945001142  |0.8259606356275219  |131       
 [19, 0, 0, 0, 0]    |0.8669422499120926  |0.7151357361631335  |77        
 [17, 6, 19, 0, 0]   |1.6269719350642324  |0.745813715258336   |312       
 [8, 17, 0, 0, 0]    |1.1660207111467058  |0.7161231356321756  |195       
 [2, 10, 7, 7, 20]   |12.011508602647094  |5.007141735485246   |350       
 [12, 14, 16, 0, 0]  |1.9459991405516477  |0.5934962057947833  |475       
 [6, 7, 0, 0, 0]     |0.9412347310954687  |0.7803109991208427  |75        
 [9, 14, 12, 18, 0]  |3.6749171812507884  |0.8199848591847048  |600       
 [9, 6, 6, 15, 0]    |1.8573512140799244  |0.9941684641099012  |250       
 [6, 20, 5, 17, 0]   |2.740605665378332   |1.051985090547245   |383       
 [17, 6, 3, 11, 10]  |2.020904459677512   |0.831973377822435   |355       
 [15, 9, 15, 0, 0]   |1.6908159595596495  |0.6960813305223746  |355       
 [16, 1, 5, 14, 0]   |2.9695621745066068  |1.9220926722495435  |174       
 [10, 7, 11, 0, 0]   |1.1480911526175583  |0.6842723254172951  |207       
 [4, 15, 19, 17, 0]  |15.935354262563274  |2.4498827820449165  |749       
 [7, 3, 17, 13, 12]  |4.403569364879334   |1.1763488320146087  |528       
 [5, 14, 0, 0, 0]    |1.301134814525871   |0.9784719273146611  |114       
 [19, 17, 1, 15, 0]  |3.0806744961873105  |0.9730192286888917  |461       
 [16, 4, 10, 0, 0]   |1.1732223405320412  |0.7537112818147327  |177       
 [9, 0, 0, 0, 0]     |1.0369012577948529  |0.9452902135167356  |37        
Gen 1 Train time: 8.27529246409734 minutes:
 Average MSE:        1.1068668143172298
 Average Error:      2.0392365964545176
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.7293962508406071  |0.601674823037427   |77        
 [6, 7, 0, 0, 0]     |0.8589236221404954  |0.7120726930474504  |75        
 [9, 8, 0, 0, 0]     |0.8722927908017917  |0.6527049156184117  |116       
 [8, 4, 0, 0, 0]     |0.8068058802430107  |0.6857979798950248  |65        
 [11, 16, 8, 0, 0]   |1.8534088880401078  |0.7349348565007485  |370       
 [12, 5, 8, 0, 0]    |0.8873257770484988  |0.5977736643085646  |158       
 [10, 14, 8, 0, 0]   |1.147173889131852   |0.5245583702530018  |313       
 [8, 7, 6, 0, 0]     |1.2876807570318174  |0.9028875501614205  |142       
 [8, 11, 10, 0, 0]   |1.6727610695294333  |0.8864554542196983  |254       
 [8, 13, 12, 0, 0]   |1.5961075338814126  |0.7136004078888085  |322       
 [10, 4, 13, 0, 0]   |1.17659230896682    |0.8026170216546843  |153       
 [18, 2, 5, 4, 0]    |1.4003619938433232  |0.9967361083423538  |136       
 [8, 4, 15, 0, 0]    |1.3735480799776936  |0.9416677547202663  |151       
 [19, 15, 4, 8, 5]   |2.749766586527959   |0.7645376785946281  |512       
 [8, 17, 0, 0, 0]    |1.2175960187871753  |0.7477986201888476  |195       
 [11, 1, 11, 17, 3]  |19.331350345490808  |8.492879854483178   |329       
 [10, 4, 6, 0, 0]    |0.9598999054790546  |0.7272927028461844  |111       
 [11, 9, 19, 0, 0]   |1.530888152796315   |0.6365756970760436  |351       
 [12, 5, 15, 0, 0]   |1.0173377760644378  |0.6063421742910712  |207       
 [9, 9, 0, 0, 0]     |0.8363941624491198  |0.6088670822570961  |127       
 [11, 5, 8, 15, 0]   |1.4812563989215262  |0.7138307752689228  |292       
 [5, 10, 0, 0, 0]    |1.4920640860025753  |1.2034115167613841  |86        
 [7, 12, 0, 0, 0]    |1.3076366777864747  |0.9448032683263726  |130       
 [18, 1, 3, 7, 0]    |2.499999462918638   |1.8753410140430855  |115       
 [18, 3, 10, 0, 0]   |0.8943464966619964  |0.5965083741460675  |162       
Gen 2 Train time: 8.51974705060323 minutes:
 Average MSE:        1.0880953938587552
 Average Error:      3.2437715457821867
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.7312008465618605  |0.6031634237945435  |77        
 [8, 4, 0, 0, 0]     |0.7945455524622534  |0.6753765040099436  |65        
 [9, 9, 0, 0, 0]     |1.4001856544976108  |1.0192885033724328  |127       
