/tmp/tmp.jqRPsFdq2u ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k51.mat
  Evaluating with: datasets/N1dataset100k51.mat
Gen 0 Train time: 8.458939599990845 minutes:
 Average MSE:        2.0431469243293967
 Average Error:      4.609376907810206
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 0, 0, 0]    |0.9341140807049381  |0.7552875765751075  |85        
 [15, 0, 0, 0, 0]    |0.727047540760135   |0.6242131324487383  |61        
 [5, 11, 19, 0, 0]   |2.5009693208410897  |1.0987557300468804  |329       
 [8, 20, 14, 0, 0]   |2.4786329000493508  |0.6874316711510372  |513       
 [4, 0, 0, 0, 0]     |2.479986022367711   |2.3767949584624324  |17        
 [9, 10, 10, 13, 0]  |3.0408147442323163  |1.1355595073437164  |394       
 [4, 6, 1, 8, 5]     |6.988405614282638   |5.229169316629202   |116       
 [14, 6, 0, 0, 0]    |0.8870916859405427  |0.6266877080728681  |139       
 [2, 1, 3, 19, 1]    |11.799795818085416  |8.895826443060233   |113       
 [19, 20, 18, 19, 0] |25.20339520157334   |1.20560162434587    |1216      
 [10, 6, 6, 13, 0]   |1.6001788997276167  |0.8716349616550245  |243       
 [4, 17, 1, 18, 13]  |11.133694997292896  |3.974806610887458   |412       
 [5, 11, 0, 0, 0]    |1.740856107357274   |1.3797150715348152  |93        
 [2, 19, 7, 0, 0]    |9.368893655294857   |5.528381056733427   |211       
 [2, 0, 0, 0, 0]     |4.590104359673155   |4.487980216516954   |9         
 [6, 7, 12, 4, 6]    |4.302936883368037   |2.291708904331988   |252       
 [6, 0, 0, 0, 0]     |0.9717984197182787  |0.912920129904844   |25        
 [18, 0, 0, 0, 0]    |0.6649079298694298  |0.5539910767933842  |73        
 [11, 10, 17, 0, 0]  |1.6750050444545237  |0.6844197889258706  |358       
 [10, 4, 0, 0, 0]    |1.0437397987375814  |0.8566808987865852  |79        
 [19, 10, 12, 11, 8] |3.8345013284168927  |0.7800005880884882  |637       
 [15, 17, 9, 5, 7]   |5.311259878171166   |1.248982315733763   |579       
 [5, 1, 6, 12, 12]   |4.2631917987711185  |2.085519799033645   |286       
 [8, 17, 6, 12, 7]   |5.194286336783634   |1.6121347624046376  |468       
 [9, 7, 9, 12, 0]    |2.4988143287812017  |1.1744692587679293  |302       
Gen 1 Train time: 8.088159549236298 minutes:
 Average MSE:        1.0688242916445747
 Average Error:      2.1876297096681885
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.6541599232675384  |0.545036002739848   |73        
 [15, 0, 0, 0, 0]    |0.6435864214866723  |0.5525568461969514  |61        
 [14, 6, 0, 0, 0]    |0.8807389381340559  |0.6221997965909889  |139       
 [16, 3, 0, 0, 0]    |1.0450381253272167  |0.8077952696750257  |103       
 [10, 0, 0, 0, 0]    |1.2143890250168314  |1.096080999279951   |41        
 [14, 2, 0, 0, 0]    |1.0066921057470841  |0.8345770687066756  |75        
 [17, 1, 0, 0, 0]    |1.576685365264586   |1.3202548330960118  |71        
 [15, 4, 0, 0, 0]    |0.8843293443307598  |0.6650282724496449  |114       
 [19, 5, 6, 6, 4]    |2.10947370270925    |1.0794357882914618  |268       
 [16, 3, 14, 0, 0]   |1.4562670984809651  |0.9520634280655667  |170       
 [16, 4, 8, 0, 0]    |1.2463005155957625  |0.8250424623566733  |165       
 [13, 14, 10, 9, 19] |6.035367359092426   |1.0646400109455427  |694       
 [18, 15, 20, 0, 0]  |2.8451901011659926  |0.5197693542809602  |680       
 [2, 20, 14, 1, 17]  |17.513573462746535  |6.022341918812213   |427       
 [11, 0, 0, 0, 0]    |0.7858023205660182  |0.7021908690095092  |45        
 [11, 13, 7, 0, 0]   |1.2854458011805066  |0.6148392577631757  |295       
 [17, 11, 0, 0, 0]   |0.8914931098284293  |0.46423816562942555 |261       
 [13, 5, 9, 0, 0]    |1.085745665311446   |0.7045239165769869  |173       
 [6, 10, 7, 0, 0]    |1.7215358874383806  |1.1170785614861445  |173       
 [16, 1, 10, 0, 0]   |1.4726470958521647  |1.15842523511606    |96        
 [17, 0, 0, 0, 0]    |0.9130618420800649  |0.7683947614002249  |69        
 [16, 10, 5, 3, 4]   |3.2240594382060332  |1.4779282272789875  |312       
 [8, 2, 13, 0, 0]    |1.3244264636907623  |1.0444385915995968  |95        
 [10, 4, 3, 6, 6]    |1.9612314425206907  |1.3080958928878155  |162       
 [17, 12, 0, 0, 0]   |0.9135021866645309  |0.45363176087892293 |280       
Gen 2 Train time: 7.9629560550053915 minutes:
 Average MSE:        1.642674517274272
 Average Error:      2.8998144320705967
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6200233355141122  |0.5323265491661507  |61        
 [18, 0, 0, 0, 0]    |0.7408681474625887  |0.6172799636414588  |73        
 [11, 0, 0, 0, 0]    |0.7123671606624061  |0.6365694049351518  |45        
 [17, 0, 0, 0, 0]    |0.7569709765604925  |0.6370351997144249  |69        
 [11, 6, 11, 19, 19] |8.444406822620781   |1.1146097099592511  |810       
 [14, 5, 0, 0, 0]    |0.7777414398301301  |0.5718599560890534  |123       
 [17, 2, 0, 0, 0]    |1.0284868148260804  |0.8212634024187973  |90        
 [15, 2, 0, 0, 0]    |1.0749380137651428  |0.8800848095220853  |80        
 [19, 3, 3, 3, 2]    |2.2254712936458514  |1.5219139350342967  |152       
 [15, 5, 0, 0, 0]    |0.7331084113422718  |0.5283683070843852  |131       
 [1, 11, 12, 11, 12] |22.824239026535246  |7.066201648962422   |469       
 [16, 3, 0, 0, 0]    |0.8017671342481334  |0.619751263355823   |103       
 [15, 3, 5, 0, 0]    |0.8917974500610469  |0.6623135159465443  |119       
 [15, 2, 15, 0, 0]   |1.0038735293753804  |0.7109636658111997  |138       
 [4, 2, 4, 0, 0]     |2.906298843975443   |2.636310486631044   |39        
 [15, 5, 7, 0, 0]    |1.1936861386904445  |0.7707016964628858  |175       
 [13, 2, 13, 0, 0]   |0.8683313105930109  |0.6432756564757385  |120       
 [3, 2, 0, 0, 0]     |2.179659700010653   |2.0733564420485324  |20        
 [12, 1, 0, 0, 0]    |1.5713390874412971  |1.3832394527175271  |51        
 [17, 6, 3, 2, 2]    |4.50416433751669    |2.752480147864367   |197       
 [15, 1, 0, 0, 0]    |1.2585025617368168  |1.0751095583586365  |63        
 [2, 6, 13, 0, 0]    |4.49974346772805    |3.2593258775888794  |129       
 [1, 2, 4, 2, 0]     |8.808999692659896   |8.131731611609199   |32        
 [15, 8, 0, 0, 0]    |0.8380184294622639  |0.5316790896754989  |182       
 [20, 1, 16, 0, 0]   |1.2305576755006806  |0.8891115807834467  |130       
Gen 3 Train time: 8.002306135495504 minutes:
 Average MSE:        0.7850556192474589
 Average Error:      1.4641087246711206
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.847021199565554   |0.7272175842566206  |61        
 [11, 0, 0, 0, 0]    |0.7178458027870805  |0.6414651050035178  |45        
 [15, 5, 0, 0, 0]    |0.6825129006265508  |0.4919029440775839  |131       
 [16, 3, 19, 0, 0]   |1.284853029688748   |0.789105177679336   |195       
 [10, 3, 7, 0, 0]    |1.1571417170304803  |0.9034386510810812  |99        
 [14, 3, 9, 0, 0]    |0.8552587127398302  |0.6133305422014403  |133       
 [17, 2, 3, 0, 0]    |0.8885924891324031  |0.6920365263676844  |100       
 [12, 8, 7, 0, 0]    |1.2260717290002574  |0.7234783497591211  |211       
 [12, 1, 7, 18, 0]   |1.8426989629121406  |1.0473166529907119  |226       
 [15, 3, 10, 0, 0]   |1.1246535332364715  |0.7846441451712257  |144       
 [19, 0, 0, 0, 0]    |0.6957579112016752  |0.573926747795469   |77        
 [14, 2, 14, 0, 0]   |1.0944208924370504  |0.7927283769123473  |129       
 [14, 5, 7, 5, 0]    |1.4604237922984071  |0.8747883236652427  |205       
 [15, 3, 11, 0, 0]   |1.0642987202913232  |0.7333120904214232  |149       
 [17, 1, 0, 0, 0]    |1.3280905379677792  |1.1120912200810584  |71        
 [11, 10, 0, 0, 0]   |0.9458561711190365  |0.6277176845561299  |164       
 [15, 5, 7, 0, 0]    |1.1376061873297896  |0.7344937585047311  |175       
 [16, 3, 8, 0, 0]    |0.9481394960961489  |0.6681426102908586  |140       
 [5, 0, 0, 0, 0]     |1.2797793732228524  |1.2143241882805884  |21        
 [16, 2, 0, 0, 0]    |0.8111982231411934  |0.6559026919024434  |85        
 [13, 4, 0, 0, 0]    |0.8298630382289833  |0.6462979840147475  |100       
 [17, 3, 0, 0, 0]    |0.9393208453535878  |0.7152678652071492  |109       
 [9, 13, 12, 15, 19] |8.86337438009718    |1.074577485580717   |844       
 [16, 1, 5, 0, 0]    |1.4217877595019974  |1.1611548443087352  |81        
 [17, 19, 12, 0, 0]  |3.1561507117714944  |0.6277289310765026  |646       
Increasing Epochs
Gen 4 Train time: 9.282238948345185 minutes:
 Average MSE:        0.6921339234552935
 Average Error:      1.233110633666899
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.7378730311913303  |0.5318022795836754  |131       
 [19, 0, 0, 0, 0]    |0.7014609284240972  |0.5786311342988624  |77        
 [11, 0, 0, 0, 0]    |0.7288142816897527  |0.6512665086527614  |45        
 [15, 6, 4, 0, 0]    |1.1080639754417045  |0.7172106601654384  |174       
 [14, 5, 4, 3, 0]    |1.1149305297035137  |0.7473602839973991  |160       
 [9, 16, 4, 5, 16]   |2.0663183602649     |0.7735758552892904  |393       
 [13, 12, 7, 0, 0]   |1.2796203011888236  |0.5954507449067301  |306       
 [15, 0, 0, 0, 0]    |0.5947818725125653  |0.5106552666097014  |61        
 [14, 2, 14, 0, 0]   |0.7478495226711962  |0.5416942808553981  |129       
 [17, 0, 0, 0, 0]    |0.5823713913303672  |0.4900994715409153  |69        
 [11, 5, 0, 0, 0]    |0.7390874485253837  |0.577042688634777   |99        
 [8, 2, 4, 0, 0]     |0.999021834730725   |0.8620184162520476  |59        
 [14, 7, 5, 0, 0]    |0.9808749870048331  |0.6054336736546521  |193       
 [17, 2, 6, 0, 0]    |0.7490618178552276  |0.5661287432802511  |112       
 [14, 3, 17, 0, 0]   |0.9626125212159735  |0.6246246844546128  |173       
 [14, 1, 0, 0, 0]    |1.1572721003048523  |0.9985666262703443  |59        
 [17, 3, 0, 0, 0]    |0.9542025338711556  |0.7265998755945389  |109       
 [15, 3, 14, 0, 0]   |0.9004223003352388  |0.5975654848458013  |164       
 [11, 5, 13, 0, 0]   |0.9261935341329318  |0.5832309292328643  |185       
 [13, 4, 4, 0, 0]    |0.7845773748903506  |0.5812292148534026  |120       
 [13, 4, 4, 13, 20]  |2.50735052981636    |0.7533138261815386  |481       
 [15, 3, 2, 0, 0]    |0.9843026354699488  |0.7589481079897337  |104       
 [17, 2, 0, 0, 0]    |1.0685063095885903  |0.8532196180532174  |90        
 [7, 18, 20, 1, 12]  |6.72438713237235    |1.4892025697447426  |603       
 [13, 3, 0, 0, 0]    |0.7278085871403096  |0.5884771414396381  |85        
Gen 5 Train time: 9.185161177317301 minutes:
 Average MSE:        0.9052792812759136
 Average Error:      1.6091398656656728
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7356887873576541  |0.6191249969867159  |69        
 [15, 0, 0, 0, 0]    |0.6234632776743285  |0.5352799421025001  |61        
 [19, 0, 0, 0, 0]    |0.7527009009698606  |0.6208986965167712  |77        
 [11, 3, 18, 0, 0]   |1.0587729362307878  |0.7097167233555106  |160       
 [17, 1, 3, 0, 0]    |1.2903482510123168  |1.0590922189246281  |79        
 [14, 2, 0, 0, 0]    |0.7665078152544781  |0.6354572981588053  |75        
 [3, 16, 19, 2, 16]  |11.884093220886301  |3.396348221126398   |501       
 [13, 4, 7, 0, 0]    |0.9404242878205356  |0.6660276215299638  |138       
 [16, 13, 0, 0, 0]   |1.0868250251466884  |0.5356687164893202  |283       
 [17, 6, 0, 0, 0]    |0.8189248343119826  |0.5407690549658561  |166       
 [14, 5, 4, 3, 0]    |1.535437491513332   |1.0292345299960632  |160       
 [14, 3, 2, 2, 0]    |1.6393592291138257  |1.2640305333099273  |104       
 [11, 2, 0, 0, 0]    |0.9407927790975357  |0.8097478491323464  |60        
 [16, 2, 9, 0, 0]    |0.7745323944242346  |0.5752239741552241  |119       
 [4, 2, 0, 0, 0]     |1.5064248001824503  |1.415155135437574   |25        
 [17, 1, 11, 0, 0]   |1.5612094624212232  |1.206786229278356   |103       
 [15, 5, 0, 0, 0]    |0.9482336981474367  |0.6834141118271984  |131       
 [14, 15, 9, 4, 11]  |4.732433337683364   |1.2962033842824083  |518       
 [13, 2, 9, 3, 0]    |1.1818033406595476  |0.8581653578304016  |128       
 [13, 4, 2, 11, 0]   |1.0943548319829166  |0.7521383432149543  |150       
 [13, 4, 8, 0, 0]    |0.7972659000216711  |0.5562335440288335  |144       
 [14, 3, 1, 0, 0]    |1.311545803572031   |1.0394652978778318  |93        
 [12, 2, 0, 0, 0]    |0.8368713816739737  |0.711354139872038   |65        
 [15, 4, 3, 0, 0]    |0.7565810216721838  |0.5493905803554855  |128       
 [14, 0, 0, 0, 0]    |0.653901832811156   |0.5670555311427293  |57        
Increasing Epochs
Gen 6 Train time: 10.484945929050445 minutes:
 Average MSE:        1.0419038654996173
 Average Error:      1.7767496182234077
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.6732194319439617  |0.57799853087976    |61        
 [14, 0, 0, 0, 0]    |0.5977779756762653  |0.5183856207364756  |57        
 [17, 0, 0, 0, 0]    |0.6032549155976633  |0.5076741744876602  |69        
 [13, 1, 0, 0, 0]    |1.2783051252394577  |1.1140868264236061  |55        
 [16, 1, 0, 0, 0]    |1.0931696854291728  |0.9245773586649957  |67        
 [15, 2, 4, 0, 0]    |0.6909869574487811  |0.5462741460326579  |94        
 [13, 1, 0, 0, 0]    |1.2520013405690464  |1.0911621745484141  |55        
 [16, 3, 13, 2, 0]   |1.5267609438295415  |0.9686503783553715  |182       
 [6, 3, 4, 0, 0]     |0.9663727848511126  |0.8317647641214488  |60        
 [14, 4, 2, 6, 0]    |0.8290499280431497  |0.5886197445377226  |137       
 [15, 2, 2, 0, 0]    |0.9150834439566966  |0.7380527187712623  |86        
 [15, 5, 4, 2, 20]   |1.6651122954985953  |0.9138330031728641  |240       
 [15, 10, 5, 2, 6]   |2.4552222267719084  |1.168495796005182   |297       
 [16, 2, 4, 0, 0]    |0.6917901814131925  |0.5401153368931805  |99        
 [16, 2, 9, 0, 0]    |0.7728961593362897  |0.5740087872157036  |119       
 [15, 5, 4, 0, 0]    |0.8375498800989133  |0.5699113487663816  |154       
 [14, 4, 2, 2, 13]   |1.2254491909761287  |0.7991612516814433  |171       
 [13, 4, 8, 0, 0]    |0.764472746190014   |0.5333545369432808  |144       
 [16, 4, 5, 0, 0]    |1.0605766224916218  |0.7344104163460231  |147       
 [15, 3, 5, 0, 0]    |0.7871226670729596  |0.5845744244667067  |119       
 [15, 1, 0, 0, 0]    |1.1042806954350757  |0.9433613938256322  |63        
 [6, 11, 14, 6, 1]   |18.87376947356544   |7.635230281835973   |362       
 [15, 18, 0, 0, 0]   |1.2186152307267366  |0.5054607736203579  |352       
 [14, 1, 0, 0, 0]    |1.2268948519292902  |1.0586414834996503  |59        
 [15, 1, 5, 0, 0]    |1.3090057014941938  |1.0797913656586826  |77        
Result:  [14]
Fold 0
Fold 0 Train time: 17.337683447202046 minutes, MSE: 0.26902642560073453
Fold 1
Fold 1 Train time: 17.36813641389211 minutes, MSE: 0.23017731312215634
Fold 2
Fold 2 Train time: 17.38324304819107 minutes, MSE: 0.5878737494807271
Fold 3
Fold 3 Train time: 17.38832423289617 minutes, MSE: 0.13683690380265504
Fold 4
Fold 4 Train time: 17.344066290060677 minutes, MSE: 0.4295443227179796
Total Time: 148.29163972934086 minutes
CellsPerSensor: 1
 Resulting Network Architecture: [14]
 MSE after 5-Fold CV: 0.33069174294485054
 Weights and Biases: 57
 Objective Function Value: 0.3813382022240169
~/workspace/SolarCellResearch
