/tmp/tmp.hVBPR0hA5W ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k55.mat
  Evaluating with: datasets/N1dataset100k55.mat
Gen 0 Train time: 8.507573481400808 minutes:
 Average MSE:        1.6581241229463963
 Average Error:      4.312064762183267
 Structure           |Error               |MSE                 |weights&biases
 [19, 16, 12, 1, 13] |5.333202150538269   |1.0930280109985757  |634       
 [9, 12, 14, 0, 0]   |2.8137684409691297  |1.1906801126404627  |344       
 [10, 11, 13, 3, 10] |3.432811238131881   |1.2628606799310034  |400       
 [8, 20, 12, 5, 1]   |30.840713407498708  |8.218072405050911   |529       
 [19, 12, 1, 20, 5]  |5.441760251695898   |1.7187591124502464  |461       
 [10, 1, 17, 0, 0]   |1.4164125077209195  |1.122577377965856   |93        
 [10, 12, 9, 0, 0]   |1.5131783783118564  |0.7347039316198238  |289       
 [4, 8, 11, 1, 0]    |6.355974983359253   |4.207612197320962   |165       
 [12, 0, 0, 0, 0]    |0.7401267235200361  |0.654794482704649   |49        
 [15, 13, 0, 0, 0]   |1.1581332844156222  |0.5941101561980277  |267       
 [3, 18, 0, 0, 0]    |2.327967212156721   |1.8130226877922098  |100       
 [2, 0, 0, 0, 0]     |4.898528987799367   |4.7895427782482525  |9         
 [10, 10, 6, 4, 0]   |1.4354536527625124  |0.7897656157870557  |239       
 [11, 20, 12, 13, 12]|9.555572568940155   |1.0721055293765782  |875       
 [8, 10, 0, 0, 0]    |0.9924047516440319  |0.7260588265436843  |125       
 [16, 20, 0, 0, 0]   |1.4027590526581986  |0.5045648265243409  |409       
 [3, 12, 20, 0, 0]   |6.408540675932417   |2.752835802739594   |338       
 [13, 9, 16, 0, 0]   |1.5545334754314468  |0.6611169570757036  |342       
 [19, 6, 13, 4, 13]  |2.6299810820543317  |0.9602867444625037  |403       
 [9, 6, 4, 3, 0]     |1.558013746892289   |1.1145065722129117  |134       
 [15, 10, 13, 20, 0] |3.9129182774447795  |0.7724279509991865  |649       
 [11, 16, 0, 0, 0]   |1.2042715883808544  |0.6576219171435672  |242       
 [18, 0, 0, 0, 0]    |0.6789080739920643  |0.5656557818891468  |73        
 [7, 20, 5, 9, 4]    |6.911602111031156   |2.6397955339297616  |385       
 [15, 8, 5, 18, 11]  |3.284082431299806   |0.8365970820548949  |547       
Gen 1 Train time: 8.38160897095998 minutes:
 Average MSE:        1.1284047365813947
 Average Error:      2.5557194135548467
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.7380814874095306  |0.6149581612774023  |73        
 [12, 0, 0, 0, 0]    |0.6487432392446814  |0.5739469745519327  |49        
 [8, 10, 0, 0, 0]    |0.8683958812424712  |0.6353319988298839  |125       
 [10, 5, 3, 2, 0]    |1.4611211344720472  |1.098783920410287   |114       
 [13, 5, 0, 0, 0]    |0.798282739279697   |0.5988210733558066  |115       
 [17, 7, 0, 0, 0]    |1.0070626473022408  |0.634154808834473   |185       
 [8, 4, 0, 0, 0]     |1.2264076741320487  |1.0424662561881481  |65        
 [14, 10, 0, 0, 0]   |0.8525483118947852  |0.5132329719291742  |203       
 [9, 11, 2, 2, 0]    |1.5419340814342994  |1.0080699131036903  |170       
 [16, 5, 13, 10, 3]  |7.661810290804643   |2.9044623224101094  |388       
 [13, 5, 8, 0, 0]    |1.0403790757038085  |0.6870042108898435  |166       
 [5, 3, 5, 12, 20]   |4.443695324535329   |1.61040598304688    |406       
 [13, 7, 9, 0, 0]    |1.1842674191754303  |0.6849731570672752  |219       
 [8, 3, 9, 6, 20]    |2.1659582503926758  |1.002866975348332   |308       
 [10, 5, 0, 0, 0]    |0.9451952741248839  |0.7528692285339382  |91        
 [14, 10, 4, 0, 0]   |1.0126922893511117  |0.5543896042558103  |241       
 [16, 3, 7, 2, 7]    |1.2773340124178605  |0.8309173920772439  |172       
 [3, 18, 1, 20, 20]  |15.84235905295037   |3.7068679636052138  |581       
 [10, 9, 7, 2, 0]    |1.836299471349044   |1.0647631602130467  |218       
 [16, 5, 8, 0, 0]    |1.0257154312919197  |0.6378770989060178  |190       
 [11, 17, 3, 5, 13]  |3.0248275855131825  |1.1044573112989498  |403       
 [11, 10, 8, 0, 0]   |1.2392664134719664  |0.6633315107906104  |250       
 [9, 10, 3, 2, 0]    |3.9093815719554748  |2.549453941746626   |171       
 [19, 3, 11, 20, 6]  |6.023819157934048   |1.5852172588789952  |534       
 [11, 8, 10, 2, 0]   |2.1174075214876105  |1.1504952169851759  |244       
Gen 2 Train time: 8.01325695514679 minutes:
 Average MSE:        0.9625738088285787
 Average Error:      1.586073469175039
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |1.0232571851701784  |0.9052816739959043  |49        
 [18, 0, 0, 0, 0]    |0.6958198156234987  |0.5797463853185414  |73        
 [13, 5, 0, 0, 0]    |0.7168689381028788  |0.5377496040532529  |115       
 [12, 5, 4, 0, 0]    |0.8646576319000397  |0.6247387905831567  |130       
 [10, 2, 0, 0, 0]    |1.1667207944240745  |1.0168372491965534  |55        
 [15, 6, 4, 0, 0]    |1.009232908068313   |0.6532408022450333  |174       
 [11, 10, 15, 0, 0]  |1.9996735569636177  |0.867607327562854   |334       
 [12, 2, 0, 0, 0]    |0.9742196317958028  |0.8281023624398953  |65        
 [11, 7, 7, 2, 0]    |1.6969893753402707  |1.050068841532037   |192       
 [15, 8, 4, 0, 0]    |1.0892395499543495  |0.6379341540193985  |214       
 [15, 15, 4, 0, 0]   |1.959883816503967   |0.8088718290514233  |354       
 [12, 8, 2, 0, 0]    |1.8441875589032741  |1.2331092595538453  |161       
 [12, 2, 0, 0, 0]    |1.1405607266834428  |0.969494969560099   |65        
 [15, 0, 0, 0, 0]    |0.6382782677015624  |0.547999483554257   |61        
 [14, 6, 0, 0, 0]    |0.9688186572346816  |0.6844238915359762  |139       
 [8, 7, 0, 0, 0]     |0.9455911233545801  |0.7456902200167255  |95        
 [11, 10, 2, 0, 0]   |1.1037061145458877  |0.7072816718063121  |178       
 [16, 8, 2, 0, 0]    |1.263880192541486   |0.7570594513576363  |205       
 [18, 19, 0, 0, 0]   |2.2332058255794363  |0.7527200823162862  |435       
 [17, 2, 10, 3, 10]  |1.676440360070611   |1.0142736212613035  |201       
 [8, 13, 4, 8, 19]   |3.262274710986336   |1.118988012027963   |428       
 [12, 8, 2, 1, 0]    |2.2543087393666896  |1.4998174192873122  |163       
 [6, 6, 0, 0, 0]     |1.0111487373238797  |0.855205958629677   |67        
 [12, 4, 5, 1, 0]    |1.9952328869966132  |1.4744142302284162  |121       
 [5, 13, 1, 10, 11]  |6.117639624240515   |3.1936879295806095  |260       
Gen 3 Train time: 7.991437109311422 minutes:
 Average MSE:        1.0537821505921574
 Average Error:      2.0178535911021163
