/tmp/tmp.iHTAbyB1ST ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k58.mat
  Evaluating with: datasets/N1dataset100k58.mat
Gen 0 Train time: 8.92978414297104 minutes:
 Average MSE:        1.7939212803847104
 Average Error:      4.608194379768059
 Structure           |Error               |MSE                 |weights&biases
 [10, 9, 4, 13, 0]   |1.967830046524939   |1.0585832276597604  |248       
 [4, 1, 2, 12, 0]    |3.046901696714776   |2.557743020900829   |70        
 [20, 20, 18, 0, 0]  |7.968769049608644   |0.889611910383277   |877       
 [17, 0, 0, 0, 0]    |0.7376483527767417  |0.6207740855076179  |69        
 [15, 2, 18, 18, 2]  |25.528297429216646  |7.062418382923392   |514       
 [3, 8, 10, 15, 13]  |13.05442722100998   |3.5755797359049217  |518       
 [20, 8, 7, 20, 0]   |2.4170538481999877  |0.7427092576059025  |472       
 [15, 9, 12, 0, 0]   |1.6341116031158638  |0.7305915684036576  |322       
 [14, 20, 1, 9, 0]   |3.2219942016041934  |1.212277091815534   |391       
 [20, 5, 15, 9, 3]   |8.561383152673406   |2.9001479715314207  |433       
 [4, 19, 0, 0, 0]    |2.36485602378734    |1.7215363901456064  |127       
 [7, 20, 14, 13, 14] |12.548988218548981  |1.3869957016370578  |881       
 [16, 16, 0, 0, 0]   |1.2389646904788127  |0.5335385798886799  |337       
 [18, 0, 0, 0, 0]    |0.7633335604923218  |0.6359978007973399  |73        
 [2, 11, 12, 0, 0]   |7.406893619517459   |4.537658530232539   |196       
 [5, 1, 6, 0, 0]     |1.6070038851136734  |1.454077246180012   |40        
 [4, 17, 1, 20, 0]   |4.510065042942215   |2.9046461491086886  |176       
 [6, 0, 0, 0, 0]     |1.609131015898489   |1.5116386961133597  |25        
 [4, 14, 0, 0, 0]    |1.4878701036402044  |1.167477731432665   |97        
 [8, 14, 2, 4, 0]    |1.793584602465283   |1.096053705385611   |197       
 [5, 2, 20, 3, 0]    |3.3235166685734385  |2.261489031567348   |154       
 [14, 19, 0, 0, 0]   |1.4959973935943565  |0.6283192620093411  |347       
 [6, 19, 4, 9, 13]   |3.3211187583967283  |1.162184822844186   |420       
 [8, 16, 8, 0, 0]    |1.7929515043224544  |0.8198475644889405  |313       
 [7, 0, 0, 0, 0]     |1.8021678049845489  |1.6761345451500695  |29        
Gen 1 Train time: 8.496602475643158 minutes:
 Average MSE:        1.0528788772144746
 Average Error:      1.8371552043049044
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.9196618818048805  |0.7739490795371304  |69        
 [18, 0, 0, 0, 0]    |0.6993295812874287  |0.5826706681735148  |73        
