/tmp/tmp.eV6ujIqKub ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k59.mat
  Evaluating with: datasets/N1dataset100k59.mat
Gen 0 Train time: 8.442734038829803 minutes:
 Average MSE:        1.8771626187430086
 Average Error:      4.4061328921543685
 Structure           |Error               |MSE                 |weights&biases
 [6, 2, 0, 0, 0]     |1.2361867265883184  |1.132617607784541   |35        
 [15, 20, 16, 0, 0]  |3.411540219977063   |0.5667504853235439  |718       
 [5, 4, 1, 2, 0]     |3.5914973990662684  |3.161571513383766   |51        
 [17, 20, 0, 0, 0]   |1.693485022473068   |0.575099936378573   |432       
 [14, 20, 0, 0, 0]   |1.6856821742335228  |0.6802263510913786  |363       
 [5, 17, 0, 0, 0]    |1.4170671039711429  |1.0111510303302338  |135       
 [2, 2, 0, 0, 0]     |3.712459634565057   |3.575820396026945   |15        
 [11, 17, 13, 0, 0]  |2.315274606249073   |0.6886847229748098  |485       
 [2, 1, 8, 0, 0]     |7.341281793975391   |6.743057511019165   |34        
 [14, 12, 14, 14, 13]|7.186404307494967   |0.9182284623411077  |823       
 [1, 20, 7, 7, 0]    |9.489324631735018   |5.028729882522428   |254       
 [11, 20, 5, 0, 0]   |1.7970446005695004  |0.6880755933380485  |384       
 [18, 15, 8, 18, 0]  |3.6388243926072685  |0.7201186134907027  |648       
 [2, 1, 4, 0, 0]     |5.688750816898956   |5.384318158603111   |22        
 [8, 17, 4, 0, 0]    |1.505014420332438   |0.7975605517638528  |254       
 [8, 11, 17, 6, 0]   |3.388916342462106   |1.1224459716311415  |442       
 [10, 11, 10, 0, 0]  |1.3679752933099996  |0.6759283217950312  |282       
 [12, 0, 0, 0, 0]    |0.8176356876751248  |0.7233671209787088  |49        
 [5, 8, 17, 19, 20]  |20.32912167145052   |1.7586639881339075  |979       
 [15, 19, 0, 0, 0]   |1.3938661818403215  |0.5540952430879248  |369       
 [9, 4, 8, 18, 0]    |1.9589296460948513  |0.9535134245035378  |288       
 [15, 9, 17, 2, 4]   |3.7725265138225814  |1.3468182243663214  |412       
 [3, 16, 13, 13, 0]  |14.061318348393987  |4.130620541541314   |490       
 [17, 16, 20, 0, 0]  |3.977716150108345   |0.6912234213308498  |700       
 [2, 0, 0, 0, 0]     |3.375478617964333   |3.3003783948342793  |9         
Gen 1 Train time: 8.667037693659465 minutes:
 Average MSE:        1.3818663062078504
 Average Error:      2.9056943814323932
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.819012011749127   |0.7245847630140944  |49        
