/tmp/tmp.nRkDKpKdoH ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k60.mat
  Evaluating with: datasets/N1dataset100k60.mat
Gen 0 Train time: 8.73251139720281 minutes:
 Average MSE:        1.0384330224738827
 Average Error:      3.438544301131845
 Structure           |Error               |MSE                 |weights&biases
 [5, 9, 0, 0, 0]     |1.4177253532778427  |1.1636408148348785  |79        
 [18, 19, 18, 1, 20] |10.54844954489594   |1.2441827473632476  |855       
 [11, 15, 18, 3, 0]  |3.5288126238101785  |0.8658543662782311  |562       
 [18, 19, 12, 0, 0]  |3.1414817651042357  |0.5913747240385031  |668       
 [17, 0, 0, 0, 0]    |0.7249728861437634  |0.610106941498078   |69        
 [15, 17, 9, 0, 0]   |2.5492473148482357  |0.7507355234797665  |489       
 [11, 2, 3, 8, 0]    |1.5527036774129934  |1.188269110646667   |107       
 [18, 1, 16, 12, 0]  |3.9538905880123996  |1.7677367448370185  |322       
 [14, 5, 6, 11, 0]   |1.280291396518448   |0.6991343902855643  |242       
 [10, 17, 10, 14, 0] |4.738158397117106   |1.151020035236983   |566       
 [10, 11, 19, 14, 6] |7.939901820428747   |1.1994953299953643  |756       
 [11, 16, 1, 0, 0]   |2.5269790507309486  |1.3730362633477156  |244       
 [10, 15, 3, 11, 0]  |2.2410105456859655  |1.0612281830032646  |299       
 [17, 19, 20, 0, 0]  |4.565313533473717   |0.5965973753365008  |814       
 [10, 15, 18, 0, 0]  |2.355339600788061   |0.6714504345513023  |502       
 [19, 0, 0, 0, 0]    |0.7559385096596277  |0.6235693815295267  |77        
 [12, 8, 12, 2, 0]   |1.9871591804810875  |0.9942228237577686  |277       
 [10, 16, 10, 1, 0]  |7.664597644672233   |2.8982642357650725  |389       
 [11, 19, 20, 9, 0]  |11.397644963219836  |1.3276450741420025  |860       
 [18, 0, 0, 0, 0]    |0.7516735391132553  |0.6262828500364256  |73        
 [8, 17, 2, 10, 0]   |1.8357176326157592  |0.9728119200534031  |254       
 [13, 5, 1, 0, 0]    |1.4090864440791446  |1.0517354217051924  |117       
 [16, 16, 0, 0, 0]   |1.163981364668301   |0.5012483157062442  |337       
 [8, 12, 4, 9, 0]    |2.260679419200931   |1.2437927690429809  |239       
 [20, 5, 19, 16, 0]  |3.6728507323373596  |0.7873897853753657  |616       
Gen 1 Train time: 8.634690713882446 minutes:
 Average MSE:        0.8801193602630878
 Average Error:      2.0094780647589054
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.8093620217471754  |0.6811253180507901  |69        
 [18, 0, 0, 0, 0]    |0.8228354633653608  |0.685573872555671   |73        
 [19, 0, 0, 0, 0]    |0.6861201823142016  |0.5659766399958054  |77        
