/tmp/tmp.VokWYoCL3S ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k61.mat
  Evaluating with: datasets/N1dataset100k61.mat
Gen 0 Train time: 8.440821997324626 minutes:
 Average MSE:        2.073122282797224
 Average Error:      4.732864127659732
 Structure           |Error               |MSE                 |weights&biases
 [1, 10, 18, 0, 0]   |14.092827563133595  |7.73430775211434    |240       
 [4, 4, 20, 11, 2]   |22.351356442223295  |8.430760741771234   |390       
 [14, 16, 15, 12, 3] |9.834740104422131   |1.427494808711518   |772       
 [14, 15, 5, 20, 0]  |3.314988576302012   |0.9786846307328432  |488       
 [10, 3, 12, 19, 20] |8.127532297519005   |1.1592315712653698  |779       
 [17, 20, 0, 0, 0]   |1.7496009410855187  |0.5941566512568168  |432       
 [17, 14, 0, 0, 0]   |1.6459151394268179  |0.7432643912401529  |318       
 [15, 2, 12, 14, 12] |3.476702610787492   |1.0264274921279473  |488       
 [11, 12, 10, 2, 0]  |2.516160377123645   |1.0971699367152912  |332       
 [20, 19, 15, 0, 0]  |4.593234672323854   |0.6617181940066391  |775       
 [9, 9, 13, 17, 10]  |9.590435318478272   |1.7696225598511635  |676       
 [15, 3, 0, 0, 0]    |0.8276572085571186  |0.6494326069769729  |97        
 [19, 0, 0, 0, 0]    |0.7711437331221708  |0.6361120839707946  |77        
 [11, 12, 6, 0, 0]   |1.3593168272525653  |0.7060863364573547  |262       
 [9, 7, 12, 0, 0]    |1.6247658701194847  |0.9707985735118101  |206       
 [3, 18, 1, 17, 2]   |12.992384532147904  |8.430561529009136   |173       
 [9, 3, 2, 0, 0]     |1.1087326926216865  |0.9353987637750898  |68        
 [12, 13, 13, 0, 0]  |1.7191344701916382  |0.6308551173332096  |401       
 [2, 14, 0, 0, 0]    |4.291595748326813   |3.666210741176328   |63        
 [8, 17, 13, 0, 0]   |1.9347009092407643  |0.6686147432358726  |425       
 [2, 0, 0, 0, 0]     |4.198639969685392   |4.1052254248892845  |9         
 [3, 17, 0, 0, 0]    |2.3189636210853966  |1.828727501886163   |95        
 [17, 1, 0, 0, 0]    |1.3536838067194195  |1.1335220251792004  |71        
 [12, 14, 0, 0, 0]   |1.3929440281012848  |0.7779597535157181  |233       
 [6, 0, 0, 0, 0]     |1.134445731496022   |1.065713139220352   |25        
Gen 1 Train time: 8.017572061220806 minutes:
 Average MSE:        1.032173784130631
 Average Error:      1.744759777964274
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.8267819563577004  |0.6820077381927266  |77        
 [15, 3, 0, 0, 0]    |0.9375080391597733  |0.7356285713922874  |97        
 [9, 3, 2, 0, 0]     |1.3212480075794935  |1.1146904579928907  |68        
 [12, 3, 1, 0, 0]    |1.5408712963728552  |1.2584087591711384  |81        
 [11, 9, 1, 0, 0]    |2.3082688802527938  |1.5745945980843017  |153       
 [13, 0, 0, 0, 0]    |0.7640579717986505  |0.6692406193256726  |53        
 [19, 8, 8, 13, 0]   |2.40137455544237    |0.8403316067043043  |420       
 [19, 5, 0, 0, 0]    |0.8294673652528466  |0.5518541366636699  |163       
 [18, 5, 6, 0, 0]    |1.2959174095889496  |0.8018921702060782  |192       
 [17, 2, 0, 0, 0]    |0.8467835928213604  |0.6761704326471927  |90        
 [10, 3, 10, 14, 14] |4.963230311215678   |1.4874404160129786  |482       
