/tmp/tmp.GpVoRHMKZS ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k62.mat
  Evaluating with: datasets/N1dataset100k62.mat
Gen 0 Train time: 8.393018825848896 minutes:
 Average MSE:        2.1754739232669893
 Average Error:      4.264531482313041
 Structure           |Error               |MSE                 |weights&biases
 [14, 16, 0, 0, 0]   |1.2250088904476086  |0.5801016695236618  |299       
 [3, 11, 6, 6, 0]    |3.8018340803467705  |2.4607928703015784  |174       
 [10, 16, 0, 0, 0]   |1.1033030156154453  |0.63179419546735    |223       
 [7, 3, 0, 0, 0]     |1.0074346790504767  |0.8912834094008     |49        
 [19, 1, 4, 8, 13]   |3.5063295897552775  |1.8488610288759282  |256       
 [5, 13, 11, 6, 0]   |2.7456749485153313  |1.2153437123637385  |326       
 [1, 19, 12, 0, 0]   |14.421958260693641  |6.91540771511067    |294       
 [8, 4, 3, 10, 20]   |3.184884620487369   |1.3078911912556088  |356       
 [20, 0, 0, 0, 0]    |0.7804984691634951  |0.637422549454345   |81        
 [19, 7, 7, 0, 0]    |0.9924724672564897  |0.5168223876968993  |261       
 [9, 11, 15, 9, 0]   |2.9855463473089645  |0.9196912721750587  |471       
 [7, 10, 0, 0, 0]    |1.15589484950746    |0.8736065340901508  |112       
 [18, 1, 19, 0, 0]   |2.0631622430178815  |1.486969082223275   |131       
 [6, 4, 14, 2, 10]   |3.3498931513240127  |2.0989315933669337  |187       
 [4, 10, 0, 0, 0]    |1.8783597266342051  |1.5650204800050365  |73        
 [2, 1, 20, 19, 0]   |15.369672188630618  |4.770238145438478   |468       
 [3, 7, 10, 17, 1]   |20.24908806998925   |9.007970161593443   |324       
 [16, 0, 0, 0, 0]    |0.7141190725671406  |0.6070127020189082  |65        
 [8, 18, 0, 0, 0]    |1.2631415975141411  |0.7566170357319489  |205       
 [3, 2, 9, 0, 0]     |3.5046538291159313  |3.0620718154569864  |54        
 [5, 3, 3, 0, 0]     |1.3984533574836473  |1.237219943153823   |49        
 [3, 10, 4, 5, 0]    |8.300133398678083   |6.087707577516005   |124       
 [6, 1, 13, 15, 0]   |2.486957674493744   |1.2442838530442308  |277       
 [8, 16, 3, 15, 5]   |7.221594307487552   |2.899608554687911   |365       
 [6, 18, 11, 0, 0]   |1.9032182227415007  |0.7641786017219702  |365       
Gen 1 Train time: 8.458913552761079 minutes:
 Average MSE:        1.201326421622922
 Average Error:      2.411461219075199
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.8282201971168456  |0.7040004937989697  |65        
 [20, 0, 0, 0, 0]    |0.7690275422582936  |0.6280543985079959  |81        
 [19, 7, 7, 0, 0]    |1.2493208362549386  |0.6505741961564145  |261       
 [2, 6, 10, 12, 5]   |15.89214818007316   |7.563432806781954   |297       
 [11, 5, 4, 10, 9]   |2.2347561510217413  |1.1209002055506732  |276       
 [14, 5, 0, 0, 0]    |0.8656521548935157  |0.6364991987490372  |123       
 [20, 13, 13, 4, 19] |4.9177642732279585  |0.8850191562001175  |686       
 [3, 5, 7, 0, 0]     |2.2133147749458537  |1.8166448122334788  |79        
 [6, 7, 2, 0, 0]     |1.2246961280672097  |0.9877681789109234  |86        
 [10, 6, 3, 3, 0]    |1.6420309526564878  |1.1775474713120093  |133       
 [16, 1, 0, 0, 0]    |1.411399040661237   |1.1937283062551807  |67        
 [16, 12, 8, 8, 9]   |2.735372796909052   |0.7473420746457043  |519       
 [15, 12, 4, 0, 0]   |1.9497514373358502  |0.9349164578466864  |294       
 [13, 5, 4, 0, 0]    |1.1155230613364524  |0.7900361368011847  |138       
 [9, 15, 8, 5, 17]   |3.1591313061579567  |0.9755997066681816  |470       
 [8, 16, 3, 1, 14]   |2.7108649504936073  |1.3941260812266116  |266       
 [13, 2, 10, 0, 0]   |1.1411313396527594  |0.8711162650360593  |108       
 [12, 9, 4, 0, 0]    |1.4648207034243899  |0.8929120852128234  |198       
 [13, 5, 13, 0, 0]   |1.001332432333283   |0.6058223700760166  |201       
 [10, 5, 0, 0, 0]    |0.9283762479465586  |0.7394724970751488  |91        
 [12, 2, 0, 0, 0]    |0.9396837169359937  |0.7987462791184031  |65        
