/tmp/tmp.gn1vphu3r2 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k66.mat
  Evaluating with: datasets/N1dataset100k66.mat
Gen 0 Train time: 7.968482045332591 minutes:
 Average MSE:        1.4400956463924641
 Average Error:      2.517682865265069
 Structure           |Error               |MSE                 |weights&biases
 [16, 18, 4, 13, 15] |5.081565983636354   |0.8378798872436221  |721       
 [12, 5, 0, 0, 0]    |0.8201087073326777  |0.6276212637812831  |107       
 [15, 0, 0, 0, 0]    |0.7497500526652543  |0.6437045759600294  |61        
 [5, 0, 0, 0, 0]     |1.9643253038441904  |1.8638585525118097  |21        
 [18, 10, 10, 9, 7]  |3.390370640751444   |0.8989204361607863  |531       
 [17, 8, 6, 0, 0]    |1.1931055289392933  |0.6291155064935636  |256       
 [12, 0, 0, 0, 0]    |0.7702740823004316  |0.6814660290361146  |49        
 [8, 0, 0, 0, 0]     |1.067974142346371   |0.9834028056078494  |33        
 [9, 0, 0, 0, 0]     |1.008015345507567   |0.9189563943720428  |37        
 [16, 20, 6, 0, 0]   |3.532703117939652   |0.9603699863642948  |521       
 [17, 4, 0, 0, 0]    |0.8415770455351682  |0.6111103612386841  |128       
 [20, 0, 0, 0, 0]    |0.7610470710651306  |0.621536855559776   |81        
 [2, 5, 4, 5, 20]    |8.430022541343805   |4.974373564274825   |211       
 [18, 8, 15, 5, 0]   |1.5372787409669708  |0.5286196002384757  |427       
 [1, 8, 18, 1, 11]   |12.996949931357953  |7.240676992438847   |234       
 [17, 0, 0, 0, 0]    |0.7366811287405939  |0.6199601101028598  |69        
 [13, 0, 0, 0, 0]    |0.7600955419115352  |0.6657699153613581  |53        
 [19, 14, 0, 0, 0]   |1.3834991024307572  |0.5738517860150839  |352       
 [2, 6, 0, 0, 0]     |3.5983497022064026  |3.3300100576513953  |31        
 [13, 16, 11, 6, 0]  |2.9834139030409896  |0.7949852244165347  |529       
 [6, 8, 6, 1, 0]     |4.5062786411961575  |3.1994268292833428  |137       
 [10, 0, 0, 0, 0]    |0.9113752987454592  |0.8225874308721963  |41        
 [18, 11, 0, 0, 0]   |1.1085188113519622  |0.5573982631225789  |275       
 [6, 0, 0, 0, 0]     |1.2983631718127264  |1.2196993238768126  |25        
 [5, 11, 0, 0, 0]    |1.510428094657878   |1.1970894078274328  |93        
Gen 1 Train time: 7.657097331682841 minutes:
 Average MSE:        0.7883169437899303
 Average Error:      1.094627248207426
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.8331150600364965  |0.7011148843076317  |69        
 [15, 0, 0, 0, 0]    |0.8958797026062171  |0.7691654865875776  |61        
 [13, 0, 0, 0, 0]    |0.82657682346907    |0.7240010649407436  |53        
 [11, 0, 0, 0, 0]    |0.8650873974815528  |0.7730398034065256  |45        
 [16, 3, 0, 0, 0]    |0.8107345285159013  |0.6266828943607164  |103       
 [11, 4, 0, 0, 0]    |0.8788676766518503  |0.7088432016520846  |86        
 [15, 4, 3, 0, 0]    |1.3498669632321876  |0.9802045955286403  |128       
 [15, 4, 18, 0, 0]   |1.3596073494379401  |0.7883571501400568  |218       
 [16, 6, 0, 0, 0]    |0.7629865056216519  |0.5152954086180208  |157       
 [19, 2, 0, 0, 0]    |1.2613028709497702  |0.9823036635858923  |100       
 [12, 0, 0, 0, 0]    |0.9989529026936663  |0.8837795317735198  |49        
 [5, 0, 0, 0, 0]     |1.5475227528203197  |1.468373650945729   |21        
 [15, 2, 0, 0, 0]    |1.005207226700121   |0.8229940697156197  |80        
 [8, 0, 0, 0, 0]     |1.042210802986077   |0.9596796280475044  |33        
 [10, 3, 16, 0, 0]   |1.2005564585756425  |0.8375998192599023  |144       
 [14, 7, 0, 0, 0]    |0.8454025351692722  |0.5738183523464324  |155       
 [16, 3, 7, 0, 0]    |0.862942850770506   |0.6157545752261533  |135       
 [15, 4, 8, 3, 0]    |1.1851908721390336  |0.7557110651210094  |180       
 [16, 7, 0, 0, 0]    |0.9085071433843659  |0.5865762983753294  |175       
 [15, 12, 0, 0, 0]   |1.1428488999425943  |0.6117229347646296  |250       
 [13, 3, 0, 0, 0]    |0.7439071919378938  |0.6014938344271068  |85        
 [18, 0, 0, 0, 0]    |0.815632671849452   |0.6795726172711984  |73        
