/tmp/tmp.LXegXuJAjD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k67.mat
  Evaluating with: datasets/N1dataset100k67.mat
Gen 0 Train time: 8.270163746674855 minutes:
 Average MSE:        1.1465873624227374
 Average Error:      3.91338054704079
 Structure           |Error               |MSE                 |weights&biases
 [15, 18, 14, 8, 0]  |4.575052807296426   |0.7412763666643626  |728       
 [5, 9, 12, 0, 0]    |1.8931084659021462  |1.1425015140600767  |202       
 [19, 9, 19, 19, 17] |16.1408455966443    |0.8770888791968441  |1165      
 [18, 7, 10, 18, 0]  |2.282116560574991   |0.6805209497053542  |484       
 [16, 17, 14, 6, 0]  |4.541925126622615   |0.8173817449873789  |686       
 [13, 0, 0, 0, 0]    |0.6884662331513705  |0.6030295936503307  |53        
 [4, 5, 15, 17, 0]   |5.084316486358751   |1.7925883891809284  |417       
 [4, 5, 18, 17, 0]   |4.593977870940532   |1.363079239753293   |486       
 [6, 10, 1, 0, 0]    |4.178066306719418   |3.245756768029584   |101       
 [14, 11, 12, 0, 0]  |1.8861302783964027  |0.7592131267378578  |364       
 [19, 18, 14, 11, 0] |7.734172685178341   |0.9009085913077846  |860       
 [5, 3, 0, 0, 0]     |0.9691675972873389  |0.8835408753593257  |37        
 [20, 0, 0, 0, 0]    |0.900010460342444   |0.7350263771585772  |81        
 [7, 5, 4, 0, 0]     |1.2814459629491537  |1.023255384878627   |90        
 [12, 0, 0, 0, 0]    |0.8031597673349904  |0.7105601887743004  |49        
 [6, 0, 0, 0, 0]     |1.0671116453213056  |1.0024586190952154  |25        
 [17, 16, 18, 20, 6] |15.255598401274097  |0.84361971882659    |1158      
 [8, 0, 0, 0, 0]     |0.8605061803372432  |0.7923639332010037  |33        
 [10, 17, 20, 15, 0] |11.493235318983972  |1.1873911970123197  |908       
 [8, 0, 0, 0, 0]     |0.9814989654220154  |0.9037754736052122  |33        
 [18, 1, 15, 0, 0]   |1.4957299971405196  |1.1108376607771628  |119       
 [9, 8, 2, 9, 18]    |2.5480891188463404  |1.0595493890776129  |351       
 [6, 18, 0, 0, 0]    |1.5699443391704073  |1.0445019469075822  |163       
 [3, 3, 5, 0, 0]     |4.188897863240013   |3.7245187897748275  |47        
 [13, 0, 0, 0, 0]    |0.8219396405846315  |0.7199393428462768  |53        
Gen 1 Train time: 7.682210294405619 minutes:
 Average MSE:        1.3415942210721712
 Average Error:      3.3060708753421637
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.8588106365444245  |0.7522347563908773  |53        
 [12, 0, 0, 0, 0]    |0.663233812400228   |0.5867668701886604  |49        
 [13, 0, 0, 0, 0]    |0.7975521862621103  |0.6985783000497995  |53        
 [11, 0, 0, 0, 0]    |0.8448932020808331  |0.7549943239694514  |45        
 [12, 7, 0, 0, 0]    |0.7794241669961718  |0.5561596534940891  |135       
 [10, 3, 2, 0, 0]    |1.3129173346780891  |1.091171221194675   |74        
 [14, 6, 6, 0, 0]    |1.4398579939508904  |0.9158016229568853  |181       
 [5, 0, 0, 0, 0]     |1.7637149138760781  |1.673508517141877   |21        
 [10, 5, 0, 0, 0]    |0.9313243109821715  |0.7418206953830024  |91        
 [7, 9, 0, 0, 0]     |1.0625181010034754  |0.8213069697011803  |103       
 [16, 11, 9, 18, 8]  |5.588453949933866   |1.0107601531590753  |684       
 [10, 18, 0, 0, 0]   |1.3486121192106773  |0.7272943529825657  |247       
 [10, 0, 0, 0, 0]    |0.8160941376441292  |0.7365887367790475  |41        
 [1, 11, 1, 9, 11]   |11.864147321888073  |7.621864481001905   |177       
 [15, 0, 0, 0, 0]    |0.7229038199341142  |0.6206555040794858  |61        
 [13, 16, 0, 0, 0]   |1.3771030977711294  |0.6838491601587674  |280       
 [11, 8, 0, 0, 0]    |0.9801569701925026  |0.6941671158836621  |138       
 [13, 19, 0, 0, 0]   |1.4569233500916312  |0.6465058175974767  |325       
 [19, 0, 0, 0, 0]    |0.7191953810058459  |0.593260183469998   |77        
 [9, 2, 19, 0, 0]    |1.1910481994143898  |0.8735706765769045  |124       
 [11, 20, 11, 12, 1] |41.52720119499527   |7.9157042262779695  |663       
 [13, 6, 0, 0, 0]    |0.8676364085522843  |0.6268910381947937  |130       
 [10, 13, 0, 0, 0]   |1.2007313628955976  |0.7523383221139459  |187       
 [13, 20, 0, 0, 0]   |1.525255471708144   |0.6519169636445594  |340       
 [14, 3, 2, 0, 0]    |1.0120624395419615  |0.7921458644136297  |98        
Gen 2 Train time: 7.898324676354727 minutes:
 Average MSE:        1.1416689880039974
 Average Error:      3.077903897146699
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.7479612265570905  |0.6617257138038287  |49        
 [19, 0, 0, 0, 0]    |0.6950147601792287  |0.5733137267394858  |77        
 [15, 0, 0, 0, 0]    |0.8187730570459247  |0.7029648902586452  |61        
