/tmp/tmp.geZMyxM358 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k68.mat
  Evaluating with: datasets/N1dataset100k68.mat
Gen 0 Train time: 8.515739409128825 minutes:
 Average MSE:        1.96844177491998
 Average Error:      5.296583935864863
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7585330040203447  |0.6383497368706151  |69        
 [13, 4, 2, 14, 17]  |2.7282754792294623  |0.9547265801567167  |420       
 [15, 0, 0, 0, 0]    |0.7593637555089388  |0.6519585060403286  |61        
 [4, 5, 0, 0, 0]     |2.5945030784538643  |2.3300623021857483  |43        
 [2, 12, 17, 1, 0]   |14.918567138154492  |7.352986475147064   |283       
 [3, 14, 10, 0, 0]   |3.561432548790425   |2.0241763260976073  |226       
 [19, 13, 15, 9, 0]  |4.0137898481083925  |0.731422430582044   |681       
 [14, 0, 0, 0, 0]    |0.7309948384270687  |0.6339096261358318  |57        
 [16, 20, 18, 7, 8]  |11.0403649272399    |0.9719587587477168  |972       
 [11, 9, 6, 0, 0]    |1.1348879853927878  |0.6747142269605101  |208       
 [15, 6, 0, 0, 0]    |0.8016413151913435  |0.5537211772599413  |148       
 [4, 14, 13, 9, 2]   |25.837347107483726  |8.906853241238906   |426       
 [4, 0, 0, 0, 0]     |1.4864079701130881  |1.4245592264307283  |17        
 [15, 10, 13, 8, 0]  |2.048676816714244   |0.6342539387020611  |469       
 [12, 4, 0, 0, 0]    |0.7685275009247469  |0.6090962782240139  |93        
 [16, 10, 17, 18, 4] |8.980180269598423   |1.185328506303821   |810       
 [15, 0, 0, 0, 0]    |0.7535200578274847  |0.6469413474223238  |61        
 [7, 9, 5, 13, 15]   |2.9624471740822735  |0.9690061452820462  |447       
 [4, 9, 2, 3, 13]    |2.5815770888031464  |1.7654409459392508  |152       
 [9, 5, 5, 20, 3]    |15.81611006790037   |7.583911117306011   |294       
 [7, 0, 0, 0, 0]     |0.9877977028625422  |0.9187168080621582  |29        
 [13, 14, 11, 4, 0]  |2.5598337805523887  |0.8248467453726324  |453       
 [15, 2, 3, 7, 0]    |1.336670222965259   |0.985290865200961   |122       
 [2, 14, 19, 9, 0]   |15.735656918125565  |4.2564236056666385  |523       
 [14, 20, 11, 10, 10]|7.517491800151311   |0.9823894556638251  |814       
Gen 1 Train time: 8.166287354628246 minutes:
 Average MSE:        0.9853553049232263
 Average Error:      2.486780116163553
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6714925835844106  |0.5823100112839525  |57        
 [15, 0, 0, 0, 0]    |0.7515578334272208  |0.645256662211539   |61        
 [17, 0, 0, 0, 0]    |0.704864354442854   |0.5931844399693433  |69        
 [16, 3, 0, 0, 0]    |0.9268604158240881  |0.716446071589295   |103       
 [14, 2, 0, 0, 0]    |0.9682380215081224  |0.8026975131596142  |75        
 [16, 3, 15, 0, 0]   |1.1524295304597179  |0.7440644281533043  |175       
 [19, 4, 17, 20, 20] |13.919460263272095  |1.0787337288497432  |1023      
 [15, 1, 2, 4, 0]    |2.458217006569155   |2.0025798875584626  |82        
 [11, 9, 6, 0, 0]    |1.5158201705012981  |0.9011862383907051  |208       
 [15, 2, 0, 0, 0]    |1.0104669189252018  |0.8273003414920185  |80        
 [14, 17, 0, 0, 0]   |1.47999224450845    |0.6733680949429397  |315       
 [17, 10, 8, 5, 0]   |1.769925996190891   |0.7018312669272945  |370       
 [16, 0, 0, 0, 0]    |0.75002901186395    |0.6375367282202136  |65        
 [10, 3, 0, 0, 0]    |0.9431095998463314  |0.7976600470906655  |67        
 [15, 13, 0, 0, 0]   |1.431294115666877   |0.7342387806885622  |267       
 [6, 16, 7, 20, 13]  |6.325547402000861   |1.110262614120995   |696       
 [15, 2, 0, 0, 0]    |1.0619374573638865  |0.869440854189252   |80        
 [9, 5, 1, 2, 7]     |4.47686712127973    |3.349876563743952   |116       
 [12, 17, 19, 1, 16] |7.08201586995014    |1.3331687063251503  |668       
 [12, 7, 3, 0, 0]    |1.0403761046186266  |0.7061569812460133  |155       
 [15, 3, 0, 0, 0]    |0.9872342023003844  |0.7746468889149103  |97        
 [18, 7, 8, 3, 0]    |1.671472915126596   |0.8258890990009593  |282       
 [9, 14, 19, 3, 3]   |6.383293687039877   |1.7052030866241037  |528       
 [10, 0, 0, 0, 0]    |0.7750672697764232  |0.6995587822888556  |41        
 [13, 10, 10, 4, 0]  |1.9119328080416575  |0.8212848060988147  |338       
Gen 2 Train time: 8.148605628808339 minutes:
 Average MSE:        1.193884073512943
 Average Error:      2.1296496393389526
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6984827496175269  |0.6057155473561526  |57        
 [17, 0, 0, 0, 0]    |0.6905611691522426  |0.5811474758316187  |69        
 [16, 0, 0, 0, 0]    |0.8212236414822089  |0.6980533089333714  |65        
 [17, 4, 4, 2, 0]    |1.7626816657119566  |1.193435739322156   |156       
 [11, 5, 2, 0, 0]    |1.1509010338470702  |0.8785742492499381  |108       
 [15, 17, 2, 11, 11] |4.561826647888889   |1.2125470218595855  |530       
 [14, 1, 7, 13, 0]   |1.9026497178398065  |1.1861912014552058  |189       
 [15, 7, 2, 0, 0]    |1.4172344409965651  |0.9127505972151944  |176       
 [17, 2, 8, 9, 0]    |1.2500402623399933  |0.7544062678304664  |202       
 [13, 2, 8, 0, 0]    |0.9625341818310619  |0.749622374543025   |100       
 [16, 6, 4, 3, 19]   |1.8062939772221809  |0.8770223694359712  |289       
 [15, 2, 0, 0, 0]    |1.053468267542228   |0.8625068680286052  |80        
 [8, 10, 12, 1, 1]   |17.182364674149863  |8.902957707252988   |263       
 [12, 16, 0, 0, 0]   |1.2101072078704345  |0.6301540014199688  |261       
 [10, 2, 1, 0, 0]    |1.362062273328359   |1.1811634516013685  |57        
 [9, 19, 8, 13, 5]   |5.178369026322432   |1.2454415764464872  |570       
 [13, 0, 0, 0, 0]    |0.7259862719588223  |0.6358935057295564  |53        
 [17, 5, 13, 2, 0]   |1.5368932049192057  |0.8226396523461833  |250       
 [14, 10, 2, 0, 0]   |1.52452874584194    |0.8861981951667731  |217       
 [13, 5, 3, 0, 0]    |1.0406748572737181  |0.750038608282018   |131       
 [14, 2, 0, 0, 0]    |0.99540611889011    |0.8252206569748427  |75        
 [13, 2, 7, 0, 0]    |0.9120994266009688  |0.7174828210271499  |96        
 [15, 3, 0, 0, 0]    |1.010301273070531   |0.7927467831110772  |97        
 [17, 2, 8, 0, 0]    |1.105952100420447   |0.8193094671926839  |120       
 [14, 2, 2, 0, 0]    |1.3785980473552573  |1.125882390211189   |81        
Increasing Epochs
Gen 3 Train time: 9.439603356520335 minutes:
 Average MSE:        0.9968817013221364
 Average Error:      2.1733234060254896
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7651035658312191  |0.6438792476247066  |69        
 [14, 0, 0, 0, 0]    |0.7180872615757731  |0.6227163361343174  |57        
