/tmp/tmp.evd1HUlD1K ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k71.mat
  Evaluating with: datasets/N1dataset100k71.mat
Gen 0 Train time: 8.226351432005565 minutes:
 Average MSE:        1.512473984465611
 Average Error:      3.993758483280711
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.8086593302946308  |0.7226158322658309  |45        
 [1, 11, 20, 0, 0]   |13.00899426809589   |6.363897378356201   |286       
 [16, 13, 1, 10, 0]  |2.0744669308570796  |0.9462052378667014  |314       
 [13, 10, 9, 0, 0]   |1.286636769939552   |0.626273350369128   |288       
 [1, 8, 0, 0, 0]     |6.751208920556166   |6.294785474420476   |28        
 [11, 3, 0, 0, 0]    |0.8149505047004888  |0.67900424607809    |73        
 [18, 10, 0, 0, 0]   |1.1333955222120233  |0.5991268186412609  |255       
 [1, 12, 13, 0, 0]   |9.00407557047661    |5.32640920487963    |210       
 [17, 0, 0, 0, 0]    |0.6877276293950048  |0.5787628869622375  |69        
 [9, 4, 0, 0, 0]     |0.7987434245052917  |0.6671665890498983  |72        
 [17, 0, 0, 0, 0]    |0.6543075076825221  |0.5506379065219994  |69        
 [2, 5, 2, 0, 0]     |4.090877012930297   |3.738780077226207   |36        
 [19, 11, 0, 0, 0]   |0.9688836703882675  |0.4704287690858079  |289       
 [14, 18, 4, 0, 0]   |1.9472884917062574  |0.7290141681137385  |393       
 [6, 19, 17, 0, 0]   |3.8779274652323714  |1.0863254479824058  |509       
 [6, 18, 10, 3, 10]  |3.6109427457962537  |1.269939023939117   |418       
 [14, 9, 7, 19, 0]   |2.708097140434676   |0.950037545166164   |419       
 [6, 0, 0, 0, 0]     |0.9929925405795931  |0.9328301638968103  |25        
 [16, 19, 20, 14, 20]|25.985399166782294  |0.8126415291481873  |1386      
 [16, 6, 16, 0, 0]   |1.2581896192142092  |0.6263624245937266  |279       
 [7, 8, 0, 0, 0]     |0.9238956841809729  |0.7304049960112737  |94        
 [16, 18, 0, 0, 0]   |1.6287851582548525  |0.6410386261062601  |373       
 [17, 0, 0, 0, 0]    |0.6608735781704353  |0.5561636375660252  |69        
 [15, 14, 10, 14, 16]|5.778042350702976   |0.7254703554586609  |830       
 [15, 20, 8, 17, 5]  |8.38860107892905    |1.1875279219344388  |782       
Gen 1 Train time: 7.771885228157044 minutes:
 Average MSE:        0.7592676509444007
 Average Error:      1.480751131486788
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7401307106743393  |0.6228631343721386  |69        
 [17, 0, 0, 0, 0]    |0.7666908585215036  |0.6452150469449859  |69        
 [17, 0, 0, 0, 0]    |0.6715876904109653  |0.5651801875293029  |69        
 [17, 3, 10, 0, 0]   |0.8273144156159524  |0.5601389124642123  |156       
 [14, 11, 0, 0, 0]   |1.0148519309117383  |0.5869842569480153  |219       
 [14, 0, 0, 0, 0]    |0.6535486920544598  |0.566749291873609   |57        
 [11, 0, 0, 0, 0]    |0.6809300196013869  |0.6084772590823488  |45        
 [14, 2, 0, 0, 0]    |1.172727344696665   |0.9722251164399186  |75        
 [14, 19, 9, 0, 0]   |1.9277863214368747  |0.5293382491473975  |517       
 [13, 11, 8, 15, 0]  |1.9660062829758134  |0.6544266419713922  |440       
 [19, 20, 3, 11, 2]  |13.065581299382222  |2.981663573376815   |591       
 [13, 2, 0, 0, 0]    |0.980253239749354   |0.8228804642393562  |70        
 [17, 3, 0, 0, 0]    |0.789279212020251   |0.6010151481537644  |109       
 [14, 3, 8, 0, 0]    |0.9413089026871668  |0.6835305532751788  |128       
 [9, 4, 0, 0, 0]     |0.878006594649785   |0.733372753933617   |72        
 [18, 6, 0, 0, 0]    |0.9164469303130414  |0.5917026101059802  |175       
 [8, 2, 0, 0, 0]     |0.8896616625375328  |0.7949993014676907  |45        
 [12, 0, 0, 0, 0]    |0.7687168528137591  |0.6800883389139034  |49        
 [17, 18, 0, 0, 0]   |1.520687200372537   |0.5678842525195953  |394       
 [15, 5, 2, 0, 0]    |1.0860245507623305  |0.7653085660643306  |140       
 [9, 0, 0, 0, 0]     |0.8396026654011518  |0.765423107436619   |37        
 [10, 0, 0, 0, 0]    |0.8898478283013461  |0.803157206429888   |41        
 [15, 11, 0, 0, 0]   |0.9804008835765888  |0.5475542551221422  |233       
 [13, 9, 2, 0, 0]    |1.1324540722821728  |0.7077863639023396  |188       
 [12, 4, 11, 0, 0]   |0.9189321254207673  |0.6237266818954715  |155       
Gen 2 Train time: 8.0923113266627 minutes:
 Average MSE:        0.954989543217249
 Average Error:      1.8700160862500912
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6601004825860789  |0.572430923080959   |57        
 [17, 0, 0, 0, 0]    |0.7259226411551177  |0.6109062157002237  |69        
 [11, 0, 0, 0, 0]    |0.7760745860945317  |0.6934981912924129  |45        
 [3, 12, 8, 13, 12]  |16.335839978079363  |5.185475092368897   |459       
 [16, 4, 1, 5, 0]    |1.8005891729155583  |1.2784059236101668  |137       
 [15, 3, 0, 0, 0]    |0.7655169798200594  |0.600673422220753   |97        
 [17, 19, 0, 0, 0]   |1.6534895049300387  |0.5888333375057343  |413       
 [14, 17, 7, 2, 10]  |3.5472859745118144  |1.0684220035202938  |480       
 [14, 3, 9, 9, 0]    |1.4766411928769023  |0.8455821485516388  |223       
 [15, 3, 4, 0, 0]    |0.9280157288317122  |0.6978810563140385  |114       
 [18, 5, 0, 0, 0]    |0.7838508334410821  |0.5320400342074677  |155       
 [17, 2, 0, 0, 0]    |0.9802465730281377  |0.782742786946266   |90        
 [14, 3, 0, 0, 0]    |0.717017447506618   |0.5711204735439221  |91        
 [12, 2, 0, 0, 0]    |0.9203000725571995  |0.782269869509221   |65        
 [11, 15, 0, 0, 0]   |1.1644447683949672  |0.6568788868126999  |229       
