/tmp/tmp.qfynxKTxl0 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k72.mat
  Evaluating with: datasets/N1dataset100k72.mat
Gen 0 Train time: 9.359958906968435 minutes:
 Average MSE:        2.0272386962349924
 Average Error:      4.042305977341634
 Structure           |Error               |MSE                 |weights&biases
 [9, 0, 0, 0, 0]     |0.7823699605482018  |0.7132469572160652  |37        
 [1, 2, 14, 12, 17]  |17.663359799875295  |5.482122953559025   |468       
 [14, 4, 3, 12, 1]   |11.445012659477467  |7.297662267350413   |180       
 [7, 9, 0, 0, 0]     |1.0567781447360514  |0.8168700889706185  |103       
 [20, 0, 0, 0, 0]    |0.9031662360222222  |0.7376036564983639  |81        
 [19, 10, 10, 0, 0]  |1.320883625786409   |0.5134004808818131  |378       
 [9, 2, 8, 3, 13]    |2.4681276955148403  |1.6379735624968013  |164       
 [4, 0, 0, 0, 0]     |1.6188424853587307  |1.5514832031480408  |17        
 [5, 16, 13, 4, 12]  |4.879586506280438   |1.541198690266637   |461       
 [17, 14, 9, 3, 0]   |2.5509572508586675  |0.7838549262692609  |472       
 [14, 3, 12, 17, 0]  |1.8550161033070394  |0.7282531024916985  |374       
 [2, 0, 0, 0, 0]     |3.7489635933763195  |3.665553791616472   |9         
 [7, 9, 0, 0, 0]     |1.2675696622169197  |0.9798080589660673  |103       
 [3, 6, 6, 10, 10]   |9.061690137655138   |4.660187354076303   |266       
 [10, 14, 0, 0, 0]   |1.1671580549858964  |0.709689152027974   |199       
 [10, 13, 4, 0, 0]   |1.2693380923196727  |0.707155691852772   |234       
 [16, 20, 0, 0, 0]   |1.7488454635413258  |0.6290502322957525  |409       
 [13, 16, 15, 8, 0]  |4.542058073442142   |0.8832740443522418  |655       
 [3, 19, 4, 0, 0]    |4.941250062854422   |3.23043999186518    |170       
 [3, 12, 16, 7, 0]   |6.433877281041033   |2.414705552222565   |392       
 [8, 0, 0, 0, 0]     |0.8074911180400383  |0.7435470574590464  |33        
 [5, 2, 4, 2, 12]    |3.2678460194932017  |2.5577579097329535  |98        
 [1, 13, 12, 4, 10]  |13.419693591035454  |6.182503577237623   |310       
 [14, 4, 9, 6, 0]    |1.1951421014673802  |0.6999580261885576  |214       
 [18, 9, 5, 0, 0]    |1.6426257143065663  |0.8136670768325611  |281       
Gen 1 Train time: 9.022688210010529 minutes:
 Average MSE:        1.3359065024651933
 Average Error:      3.241073476696934
 Structure           |Error               |MSE                 |weights&biases
 [9, 0, 0, 0, 0]     |1.1562150878410655  |1.0540625725355133  |37        
 [8, 0, 0, 0, 0]     |0.8917744540960401  |0.8211561173201416  |33        
 [20, 0, 0, 0, 0]    |0.9206864311934043  |0.751912163067149   |81        
 [15, 2, 5, 3, 0]    |1.6133065112306446  |1.213229493031718   |114       
 [14, 3, 0, 0, 0]    |0.9606114535625977  |0.7651485611099058  |91        
 [17, 14, 14, 3, 1]  |33.75611082095345   |8.241327722318841   |564       
 [14, 17, 0, 0, 0]   |1.3448880520153816  |0.6118982777493522  |315       
 [12, 2, 5, 3, 13]   |1.5979248524050547  |1.0684466024397634  |161       
 [7, 9, 0, 0, 0]     |1.119647480758884   |0.8654669305747967  |103       
 [2, 12, 14, 11, 19] |15.901931885572468  |3.2347142848977724  |637       
 [17, 2, 5, 3, 0]    |1.283272336088757   |0.941212188911132   |124       
 [10, 7, 0, 0, 0]    |0.7438528663383472  |0.5579912353378018  |115       
 [7, 9, 11, 0, 0]    |1.222714498321731   |0.7143183024197245  |215       
 [8, 19, 0, 0, 0]    |1.5776273190044698  |0.921660837349233   |215       
 [7, 15, 2, 1, 0]    |4.9920619980668794  |3.1990345158196587  |178       
 [8, 5, 7, 0, 0]     |0.9696759529336606  |0.7201517448523154  |119       
 [6, 6, 8, 4, 0]     |1.344976736157075   |0.908352024227628   |157       
 [8, 5, 0, 0, 0]     |0.9724382038810826  |0.8061795866484663  |75        
 [8, 12, 0, 0, 0]    |1.199033314795991   |0.8344484270103752  |145       
 [11, 2, 5, 3, 0]    |1.1781245021588738  |0.9313908886401719  |94        
 [17, 2, 11, 9, 0]   |1.4620559718013644  |0.8064153432491439  |238       
 [14, 0, 0, 0, 0]    |0.7696040806117195  |0.6673910804390164  |57        
 [12, 9, 5, 3, 0]    |1.5767518336854704  |0.8984061136969699  |225       
 [9, 2, 6, 9, 0]     |1.7202769212436237  |1.218335129225658   |138       
 [15, 0, 0, 0, 0]    |0.7512733527053049  |0.645012418757579   |61        
Gen 2 Train time: 9.064932986100514 minutes:
 Average MSE:        1.1776015521695926
 Average Error:      2.342495218809988
 Structure           |Error               |MSE                 |weights&biases
 [10, 7, 0, 0, 0]    |0.9489508964125943  |0.7118427674691891  |115       
 [15, 0, 0, 0, 0]    |0.7843508953429533  |0.6734114371793539  |61        
 [14, 0, 0, 0, 0]    |0.6779723719609471  |0.5879292031185327  |57        
 [9, 3, 10, 16, 11]  |5.941271599559507   |1.825626442799371   |472       
 [9, 9, 0, 0, 0]     |1.0008357056552573  |0.7285750466462736  |127       
 [5, 3, 4, 2, 0]     |1.74980163146014    |1.4985566747680523  |62        
 [12, 6, 5, 3, 0]    |1.3666316019350078  |0.891231582371718   |171       
 [9, 4, 0, 0, 0]     |0.835897832310078   |0.6982005591118629  |72        
 [14, 9, 0, 0, 0]    |1.1532414489949352  |0.7225827221142925  |187       
 [11, 11, 0, 0, 0]   |1.1428312107903265  |0.734187158754616   |177       
 [8, 3, 4, 2, 0]     |1.644472785684501   |1.346380442239718   |80        
 [18, 0, 0, 0, 0]    |0.8547785190331916  |0.7121883360182554  |73        
 [13, 3, 3, 2, 0]    |1.5375218135178983  |1.1855086325205506  |104       
 [19, 1, 3, 2, 0]    |2.2612612844242035  |1.7876872548598084  |94        
 [19, 18, 20, 6, 15] |11.032556793348382  |0.8112740303388895  |1044      
 [11, 5, 6, 0, 0]    |1.0207753799753623  |0.7265576216731893  |136       
 [12, 5, 0, 0, 0]    |0.9413852434184505  |0.7204330241791552  |107       
 [8, 9, 0, 0, 0]     |1.096484049335992   |0.8225127802880448  |115       
 [9, 3, 2, 0, 0]     |1.4803315047683752  |1.24890360747226    |68        
 [6, 14, 9, 3, 7]    |3.3986833412173527  |1.5386233745805085  |317       
 [14, 3, 0, 0, 0]    |0.9174039440669801  |0.7307328110195807  |91        
 [11, 1, 0, 0, 0]    |1.3128000841506455  |1.167263738642485   |47        
 [2, 12, 13, 6, 7]   |12.285379236529215  |5.095765370840031   |352       
 [13, 4, 0, 0, 0]    |0.7610157285511222  |0.5926796453252697  |100       
 [14, 1, 3, 2, 7]    |2.4157455678062765  |1.8813845399088038  |100       
Gen 3 Train time: 9.234975385665894 minutes:
 Average MSE:        1.4120628586364368
 Average Error:      2.3932467689667396
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.7616269970543993  |0.660473452858559   |57        
 [13, 4, 0, 0, 0]    |0.8215602434817201  |0.6398317609638977  |100       
 [15, 0, 0, 0, 0]    |0.7142876703809559  |0.6132580322489632  |61        
 [11, 3, 2, 1, 0]    |2.039591324021656   |1.661547598690246   |82        
 [13, 4, 13, 0, 0]   |1.3150317208602684  |0.8511735689996766  |174       
 [13, 3, 3, 0, 0]    |0.9344165157968861  |0.7332027650846372  |97        
 [10, 8, 0, 0, 0]    |0.862597652040902   |0.62794234959993    |127       
 [12, 2, 2, 1, 0]    |1.9128674016903153  |1.5937717449594562  |73        
 [11, 6, 3, 0, 0]    |1.0344965015134602  |0.7474520195905023  |130       
 [8, 5, 16, 9, 20]   |3.877535988755561   |1.0077296179011699  |539       
 [9, 4, 0, 0, 0]     |0.8499939280003237  |0.7099746079391279  |72        
 [13, 8, 3, 2, 0]    |2.3129568657023363  |1.4419937930332793  |189       
 [4, 8, 14, 3, 7]    |3.5926223589583652  |1.8802079791827517  |259       
 [15, 12, 0, 0, 0]   |1.1896866256785508  |0.6367933627506384  |250       
