/tmp/tmp.IJxXpTJnfF ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k73.mat
  Evaluating with: datasets/N1dataset100k73.mat
Gen 0 Train time: 8.540262826283772 minutes:
 Average MSE:        1.68149027052951
 Average Error:      5.277963261219481
 Structure           |Error               |MSE                 |weights&biases
 [4, 17, 12, 0, 0]   |3.8120151891021616  |1.6873478391954344  |326       
 [3, 19, 9, 15, 0]   |6.341299180442562   |2.158867255751957   |431       
 [7, 0, 0, 0, 0]     |0.7526399291554838  |0.7000046176763342  |29        
 [14, 0, 0, 0, 0]    |0.6324584698648283  |0.5484601136735023  |57        
 [8, 20, 7, 0, 0]    |1.6774560287523756  |0.6837098666924499  |359       
 [15, 1, 0, 0, 0]    |1.5502528464735845  |1.3243450619729291  |63        
 [8, 20, 0, 0, 0]    |1.515010644414612   |0.8632270444719736  |225       
 [11, 3, 12, 7, 0]   |1.2797139955199899  |0.7457510944278097  |216       
 [5, 9, 1, 0, 0]     |2.428518034460714   |1.9833378514897984  |81        
 [16, 20, 1, 17, 0]  |3.6625158884464724  |1.1567916017247146  |461       
 [11, 7, 9, 0, 0]    |0.9826462967480933  |0.5974969834663996  |199       
 [15, 7, 13, 0, 0]   |1.2678848493804395  |0.6375325394994152  |275       
 [15, 12, 10, 1, 13] |3.88001630000959    |1.3645699917669283  |418       
 [4, 16, 9, 6, 0]    |3.176605743644428   |1.4561751684333057  |312       
 [3, 12, 14, 20, 10] |22.183868790686297  |3.3180106240390557  |760       
 [8, 0, 0, 0, 0]     |1.741131160776109   |1.603253487651536   |33        
 [20, 9, 16, 0, 0]   |1.6360708945110267  |0.5639992097118732  |426       
 [12, 8, 5, 7, 1]    |13.497257321420138  |7.463216618799225   |237       
 [6, 14, 5, 0, 0]    |2.083067484845809   |1.2729557514015997  |197       
 [2, 15, 16, 18, 7]  |48.05726748880945   |7.296489721574494   |754       
 [13, 9, 3, 7, 0]    |1.466232632581491   |0.822996176707864   |231       
 [18, 12, 3, 9, 0]   |1.723031784202699   |0.6883797744394384  |367       
 [7, 20, 1, 5, 18]   |3.671639153648429   |1.573241590688097   |339       
 [9, 17, 9, 0, 0]    |1.6426986557029954  |0.6530121203960959  |369       
 [6, 17, 0, 0, 0]    |1.2877827668872293  |0.8740846575855151  |155       
Gen 1 Train time: 8.447456292311351 minutes:
 Average MSE:        1.3355886672382702
 Average Error:      4.103295372163601
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6901521613976956  |0.5984913649319813  |57        
 [7, 0, 0, 0, 0]     |1.1399704013245517  |1.0602474224785365  |29        
 [11, 7, 9, 0, 0]    |1.2071848270947683  |0.7340273861129073  |199       
 [15, 4, 15, 0, 0]   |1.4156244295113902  |0.8586196191368638  |200       
 [7, 11, 0, 0, 0]    |1.0593062899388446  |0.7827939676792989  |121       
 [12, 4, 17, 0, 0]   |1.0708342953423746  |0.6642730859245083  |191       
 [14, 13, 0, 0, 0]   |0.9789515762574907  |0.5226866677313223  |251       
 [15, 6, 16, 1, 7]   |3.0132152300330395  |1.4520955084296392  |292       
 [9, 4, 5, 0, 0]     |1.0762719016764775  |0.8424029018243846  |98        
 [7, 11, 0, 0, 0]    |0.9918288988336295  |0.7329303019826205  |121       
 [13, 16, 5, 5, 0]   |2.049073045821082   |0.7845754920882471  |384       
 [12, 6, 8, 7, 0]    |1.211373454994309   |0.6631558839562238  |241       
 [13, 13, 16, 19, 3] |55.69669601268876   |6.958200051625146   |832       
 [14, 5, 2, 4, 0]    |1.1238253983754847  |0.7801558277238718  |146       
 [11, 4, 20, 0, 0]   |1.1972465366298926  |0.7225449600168546  |202       
 [7, 9, 9, 0, 0]     |2.055259219090313   |1.2685848408940092  |193       
 [6, 16, 3, 0, 0]    |1.7980572217630442  |1.1322499516739346  |185       
 [16, 6, 14, 4, 0]   |1.9359009291429772  |0.8852128225573612  |313       
 [9, 8, 5, 3, 0]     |1.74717006059576    |1.1308814476002242  |174       
 [1, 12, 5, 0, 0]    |9.220329295724246   |7.216793583847815   |98        
 [19, 20, 9, 13, 11] |7.4474202079253615  |0.7067118181668495  |942       
 [17, 7, 2, 5, 0]    |1.485806215633343   |0.8701910716027023  |214       
 [8, 10, 0, 0, 0]    |0.8936196661928089  |0.65378611412074    |125       
 [16, 6, 2, 5, 0]    |0.9686849844934975  |0.6099881102808244  |185       
 [15, 4, 7, 0, 0]    |1.1085820436088858  |0.7581164785698861  |152       
Increasing Epochs
Gen 2 Train time: 9.822488943735758 minutes:
 Average MSE:        1.3394576096326118
 Average Error:      3.272715524124331
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6288469083906626  |0.5453282125115444  |57        
 [8, 10, 0, 0, 0]    |1.3008738539403284  |0.9517396428307953  |125       
 [16, 6, 2, 5, 0]    |1.0430993181516126  |0.6568473674103801  |185       
 [19, 2, 8, 0, 0]    |0.9923237408146282  |0.7169810464069948  |130       
 [16, 5, 5, 20, 0]   |1.8430943998007454  |0.8619533725967878  |304       
 [13, 4, 5, 0, 0]    |0.8176039425955414  |0.5966782608647426  |126       
 [14, 8, 3, 3, 0]    |1.2749607793335969  |0.76369668090444    |205       
 [15, 3, 1, 5, 0]    |1.11342735767159    |0.8394091460142514  |113       
 [1, 12, 4, 3, 17]   |10.17969017201897   |6.490857028466787   |180       
 [1, 7, 15, 16, 13]  |31.464303297413327  |6.545996717246956   |628       
 [11, 2, 4, 2, 0]    |1.5088597366173113  |1.2291885352765264  |82        
 [8, 10, 3, 2, 0]    |1.8825527120362462  |1.2682381849326405  |158       
 [16, 5, 9, 3, 0]    |1.5259276933322223  |0.8781854829968612  |221       
 [7, 13, 2, 0, 0]    |1.5440787114735806  |1.0454291063694559  |156       
 [12, 6, 13, 0, 0]   |1.034999225858776   |0.5986373312476077  |219       
 [15, 3, 1, 3, 0]    |1.2312382248383302  |0.9422547081619866  |107       
 [13, 3, 4, 4, 0]    |1.7390323069905154  |1.2818813623049057  |122       
 [8, 16, 12, 20, 15] |11.025442559660643  |0.9927321018357125  |963       
 [11, 12, 0, 0, 0]   |0.8966877698622563  |0.5576367243922822  |190       
 [12, 5, 4, 2, 0]    |1.5946429941153941  |1.1293586249473553  |138       
 [13, 10, 4, 4, 0]   |1.1663205295290442  |0.6274156413126246  |248       
 [12, 9, 1, 3, 0]    |1.75157358174218    |1.136569566342963   |173       
 [11, 6, 11, 2, 0]   |1.4451895751017632  |0.8570495936130044  |209       
 [13, 5, 10, 2, 0]   |1.675448102504072   |1.0315687000357978  |194       
 [7, 6, 0, 0, 0]     |1.1376706093149374  |0.940807101791898   |76        
Gen 3 Train time: 9.7125213265419 minutes:
 Average MSE:        1.1467239939586817
 Average Error:      1.7940521016137168
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.6090333786751303  |0.528146166135635   |57        
 [13, 4, 5, 0, 0]    |0.9428288577400312  |0.6880660107184781  |126       
 [11, 12, 0, 0, 0]   |0.9879854852848597  |0.6144134093029953  |190       
 [10, 12, 3, 2, 0]   |1.8470128954468337  |1.0871609693200146  |212       
 [13, 5, 6, 3, 0]    |1.4054888012360436  |0.9188661115864948  |170       
 [10, 10, 8, 0, 0]   |1.4558892000721286  |0.8050240292792592  |237       
 [13, 8, 4, 3, 0]    |1.3304706078777435  |0.7949569793290396  |206       
 [14, 2, 3, 0, 0]    |0.8435306587369562  |0.6820454162551964  |85        
 [13, 6, 2, 0, 0]    |1.023324882049924   |0.7211248562933885  |140       
 [10, 9, 6, 1, 14]   |1.8160441765189477  |0.9991609583526356  |239       
 [13, 3, 6, 1, 0]    |2.1061888358616785  |1.5838840268563288  |114       
 [16, 17, 7, 11, 12] |5.289741541150843   |0.9010174868181504  |708       
 [14, 9, 1, 3, 0]    |1.452137793541259   |0.8873966732061026  |197       
 [16, 5, 2, 4, 0]    |1.3330407417819412  |0.8891072626981341  |162       
 [11, 7, 2, 1, 0]    |2.3643653512508163  |1.674491664789872   |138       
 [12, 5, 8, 15, 0]   |1.3842531077198088  |0.6538748686146425  |300       
 [17, 1, 4, 0, 0]    |1.3232287497877484  |1.0779647500130203  |82        
 [8, 8, 0, 0, 0]     |0.9234135249219965  |0.7102216872320215  |105       
