/tmp/tmp.CODKeAmXU3 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k74.mat
  Evaluating with: datasets/N1dataset100k74.mat
Gen 0 Train time: 8.27380892833074 minutes:
 Average MSE:        1.2098642119815946
 Average Error:      2.6420838137056806
 Structure           |Error               |MSE                 |weights&biases
 [14, 7, 0, 0, 0]    |0.8893331715016632  |0.6036363435507474  |155       
 [14, 9, 16, 0, 0]   |1.4786082533163252  |0.6102425828710267  |354       
 [19, 3, 1, 11, 0]   |1.4601384593236326  |0.991071365499258   |155       
 [9, 8, 18, 1, 0]    |9.498939073549952   |4.600569572330331   |290       
 [3, 16, 6, 2, 0]    |4.142912262703694   |2.5635653018710456  |192       
 [15, 11, 1, 0, 0]   |2.003972917744675   |1.1136374826627027  |235       
 [18, 2, 12, 2, 16]  |2.0309914443010317  |1.1747132438618768  |219       
 [5, 5, 0, 0, 0]     |0.9455727791545745  |0.832381491681838   |51        
 [16, 0, 0, 0, 0]    |0.7036237072525934  |0.5980914726287495  |65        
 [20, 4, 0, 0, 0]    |0.8370047936056229  |0.5767043811944862  |149       
 [12, 7, 5, 16, 12]  |2.5622384761902794  |0.7717313985672528  |480       
 [18, 5, 16, 15, 12] |5.451863881025507   |0.9356231947454516  |705       
 [7, 6, 5, 17, 20]   |5.972770992583982   |1.3767297941668668  |587       
 [17, 0, 0, 0, 0]    |0.7930897877052538  |0.6674312846153259  |69        
 [9, 17, 17, 0, 0]   |2.669933644277784   |0.7258249708353866  |521       
 [7, 5, 1, 0, 0]     |1.8255855607594804  |1.5363366605922297  |69        
 [7, 13, 8, 18, 0]   |3.366261809302152   |1.1838867402163773  |418       
 [16, 1, 10, 0, 0]   |1.2997224635732392  |1.0223979015007685  |96        
 [14, 16, 0, 0, 0]   |1.2587946512136965  |0.5961008809411179  |299       
 [7, 0, 0, 0, 0]     |1.188571472333262   |1.1054496138747418  |29        
 [8, 0, 0, 0, 0]     |1.085392476036895   |0.9994418064984906  |33        
 [11, 8, 5, 15, 20]  |4.443281965488098   |0.9791144725976857  |605       
 [4, 12, 11, 0, 0]   |2.007339630410837   |1.1380431796330042  |227       
 [10, 12, 10, 18, 10]|5.481625578021584   |0.9742393125944778  |691       
 [3, 0, 0, 0, 0]     |2.654526091266193   |2.569640850008621   |13        
Gen 1 Train time: 7.914638880888621 minutes:
 Average MSE:        1.3235477983979633
 Average Error:      2.0507593791239644
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6496129615136513  |0.5521814697055759  |65        
 [17, 0, 0, 0, 0]    |0.7094154180250263  |0.5970144252498298  |69        
 [20, 4, 0, 0, 0]    |0.9162104381668423  |0.6312778347550294  |149       
 [12, 7, 4, 9, 0]    |1.7603664502371763  |1.0309925693051174  |214       
 [12, 0, 0, 0, 0]    |0.7819172568738381  |0.6917668143334952  |49        
 [2, 1, 12, 8, 10]   |8.130097475465      |4.484257424323041   |238       
 [12, 11, 0, 0, 0]   |0.8993104211054253  |0.55787128898479    |191       
