/tmp/tmp.2f6Oz6P8Xe ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k76.mat
  Evaluating with: datasets/N1dataset100k76.mat
Gen 0 Train time: 8.592123969395955 minutes:
 Average MSE:        1.0926832617178552
 Average Error:      3.578616266292877
 Structure           |Error               |MSE                 |weights&biases
 [19, 2, 8, 14, 0]   |1.6009182646400602  |0.8315842854179106  |262       
 [6, 8, 20, 19, 11]  |11.650402744615802  |1.2748655853109776  |885       
 [12, 15, 9, 0, 0]   |1.4648541312717505  |0.5594817715878055  |385       
 [6, 6, 6, 0, 0]     |1.248930399191146   |0.9510273138732399  |109       
 [19, 3, 14, 7, 10]  |1.6396655490002987  |0.6518063877241665  |369       
 [15, 17, 19, 12, 0] |6.827945027817831   |0.6983909406676451  |912       
 [2, 0, 0, 0, 0]     |4.602011687698499   |4.499622621225401   |9         
 [11, 11, 7, 0, 0]   |1.2150580000302678  |0.6390911514849571  |257       
 [9, 3, 17, 0, 0]    |1.285812590712257   |0.8993265125305095  |143       
 [17, 0, 0, 0, 0]    |0.7585411603035424  |0.638356600858346   |69        
 [10, 0, 0, 0, 0]    |0.7696454709978311  |0.6946651851789414  |41        
 [18, 1, 7, 5, 6]    |2.741847471931432   |1.7925370325834273  |170       
 [14, 12, 11, 12, 19]|4.879678984067819   |0.7012291436577943  |776       
 [19, 20, 16, 11, 5] |14.645190254168734  |1.071556185929476   |1046      
 [19, 19, 13, 16, 11]|9.88102129210912    |0.6008655235742675  |1120      
 [5, 0, 0, 0, 0]     |1.025286277656866   |0.9728473148739353  |21        
 [9, 0, 0, 0, 0]     |1.0546782189517114  |0.9614965661287315  |37        
 [16, 5, 11, 0, 0]   |1.0395728369006876  |0.6134293962626387  |211       
 [3, 3, 16, 11, 0]   |7.355684017319061   |3.6163793654712775  |284       
 [6, 0, 0, 0, 0]     |1.2666311064375153  |1.189889807153288   |25        
 [14, 18, 8, 0, 0]   |1.857159145561057   |0.5692406376750514  |473       
 [15, 10, 20, 13, 0] |3.784489364879732   |0.6382092748510217  |712       
 [19, 18, 13, 4, 0]  |4.50075783545876    |0.7347285192806338  |725       
 [11, 3, 14, 0, 0]   |1.3203440024833006  |0.9304306928815173  |140       
 [15, 11, 0, 0, 0]   |1.049280823116858   |0.586023726763417   |233       
Gen 1 Train time: 8.466072197755178 minutes:
 Average MSE:        1.2553529295080208
 Average Error:      3.077811947874829
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.707264180267559   |0.5952040332838284  |69        
 [10, 0, 0, 0, 0]    |0.9518545006068407  |0.8591230739917173  |41        
 [5, 0, 0, 0, 0]     |1.8571754801413962  |1.7621889792910461  |21        
 [14, 8, 9, 14, 0]   |1.7292759834502125  |0.6393538731685277  |398       
 [11, 8, 5, 0, 0]    |1.0669511900368447  |0.6803181151738446  |180       
 [14, 2, 7, 1, 0]    |3.239117524035566   |2.503778331549515   |103       
 [12, 1, 4, 13, 3]   |9.549098663057556   |6.2742049086621785  |168       
 [18, 6, 13, 11, 10] |4.013433030056624   |1.030090839745397   |544       
 [8, 2, 9, 0, 0]     |1.0250863044606406  |0.8413704811307593  |79        
 [14, 2, 7, 4, 3]    |4.493125557673046   |3.134747331653184   |144       
 [8, 0, 0, 0, 0]     |1.1959346687265253  |1.101230321892873   |33        
 [8, 6, 4, 0, 0]     |1.1348236940971141  |0.8598281831498641  |111       
 [6, 2, 9, 14, 0]    |1.6703363435158765  |0.9782647006099937  |214       
 [14, 4, 13, 0, 0]   |0.8422011658922998  |0.5356703215321772  |181       
 [11, 6, 4, 0, 0]    |1.0036068319249953  |0.7107747852486191  |138       
 [8, 3, 4, 0, 0]     |0.7975650310690762  |0.666182312115305   |72        
 [13, 16, 12, 1, 11] |3.8770902978292274  |1.0725992936883173  |514       
 [14, 2, 12, 3, 15]  |2.0176006968676004  |1.1553565892691515  |223       
 [5, 19, 18, 13, 18] |19.486785383798896  |1.5718237402852542  |1007      
 [10, 7, 12, 0, 0]   |1.1692871568807408  |0.6814000471956028  |216       
 [9, 2, 9, 0, 0]     |0.8858088076381706  |0.7180226644131371  |84        
 [10, 7, 18, 18, 0]  |2.992679347888993   |0.6480218196579759  |612       
 [14, 20, 6, 17, 15] |9.567899825856259   |1.0788694933175118  |873       
 [8, 12, 0, 0, 0]    |0.9572314464371634  |0.6661702097078611  |145       
 [14, 0, 0, 0, 0]    |0.714065584661499   |0.6192287879668745  |57        
Gen 2 Train time: 8.222185329596202 minutes:
 Average MSE:        1.0148855933996344
 Average Error:      1.954651390456343
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.6298133535179246  |0.530024648057349   |69        
 [14, 0, 0, 0, 0]    |0.7111962203062346  |0.6167405109092594  |57        
 [8, 3, 4, 0, 0]     |0.8735547683785838  |0.7296542760629044  |72        
 [7, 2, 2, 0, 0]     |1.1944602934503465  |1.0647014658226577  |46        
 [5, 1, 18, 4, 19]   |4.0398870555495945  |2.173234770043632   |248       
 [8, 3, 7, 0, 0]     |0.9623553490200275  |0.7742414440288677  |87        
