/tmp/tmp.MIU8JLA9xY ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k77.mat
  Evaluating with: datasets/N1dataset100k77.mat
Gen 0 Train time: 8.51204080581665 minutes:
 Average MSE:        1.6793181891236781
 Average Error:      4.008313537940137
 Structure           |Error               |MSE                 |weights&biases
 [10, 13, 14, 11, 8] |4.605895251565393   |0.9322419074781012  |639       
 [12, 6, 10, 2, 0]   |1.9754074541204356  |1.1714879382898986  |209       
 [11, 17, 8, 10, 5]  |4.223025111013784   |1.1168941157613106  |532       
 [18, 18, 15, 0, 0]  |3.2252090505945947  |0.5646765272302728  |697       
 [15, 6, 4, 20, 8]   |3.980501813140493   |1.3052673622162827  |446       
 [4, 0, 0, 0, 0]     |1.8523883614350238  |1.7753113440412966  |17        
 [17, 16, 19, 0, 0]  |3.5857278798422243  |0.6517863128944625  |682       
 [1, 18, 0, 0, 0]    |5.495674466557681   |4.753880929251875   |58        
 [17, 9, 5, 0, 0]    |1.3176549122683865  |0.6725717881604839  |269       
 [5, 1, 20, 7, 11]   |4.8310402229308345  |2.2368347567541647  |308       
 [18, 18, 0, 0, 0]   |1.7374492081077508  |0.6156467518570476  |415       
 [4, 3, 19, 11, 13]  |12.700381493138417  |3.7029582670982295  |493       
 [3, 13, 15, 0, 0]   |4.677171285423318   |2.282322354259126   |287       
 [12, 0, 0, 0, 0]    |0.8391585763021483  |0.7424085476384774  |49        
 [15, 10, 0, 0, 0]   |0.8375603363820298  |0.4880868222843987  |216       
 [20, 14, 14, 0, 0]  |2.5060946947740987  |0.5893268315096705  |579       
 [14, 0, 0, 0, 0]    |0.799545804894597   |0.6933561710911781  |57        
 [20, 20, 17, 2, 0]  |13.179904782841712  |1.4750520903816267  |876       
 [16, 14, 0, 0, 0]   |1.088420876337382   |0.512849888573127   |301       
 [4, 12, 16, 10, 0]  |9.767360956332274   |3.084983511181888   |461       
 [7, 17, 0, 0, 0]    |1.737703992899815   |1.1219460223836297  |175       
 [8, 5, 14, 0, 0]    |1.299165712879141   |0.8536127000600008  |168       
 [20, 2, 13, 1, 4]   |4.250056560112679   |2.7924861468561555  |168       
 [10, 17, 0, 0, 0]   |1.2788460921651326  |0.7106737472253932  |235       
 [1, 1, 20, 0, 0]    |8.416493552444066   |7.13629189361386    |66        
Gen 1 Train time: 8.359260217348735 minutes:
 Average MSE:        1.6797522907754001
 Average Error:      3.0045338978742677
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.9356911289679235  |0.8114197017026525  |57        
 [15, 10, 0, 0, 0]   |1.0116501499644568  |0.5895373569056718  |216       
 [12, 0, 0, 0, 0]    |0.7294194118563685  |0.6453216608497321  |49        
 [8, 6, 14, 7, 8]    |2.0297119745719487  |0.8376908995800492  |354       
 [12, 4, 1, 2, 20]   |2.936248477283513   |1.8816193047062058  |178       
 [11, 14, 16, 0, 0]  |2.1573711353418714  |0.6865270948164548  |458       
 [12, 9, 12, 0, 0]   |1.4852331713345968  |0.7265643515951342  |286       
 [16, 10, 3, 0, 0]   |1.1639274551865364  |0.6152663740846133  |255       
