/tmp/tmp.v6Tp5gii31 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k78.mat
  Evaluating with: datasets/N1dataset100k78.mat
Gen 0 Train time: 9.561833155155181 minutes:
 Average MSE:        1.132335944473915
 Average Error:      3.5625185903744963
 Structure           |Error               |MSE                 |weights&biases
 [9, 18, 0, 0, 0]    |1.3466344456502077  |0.7653733511585112  |226       
 [7, 20, 15, 13, 13] |12.035060904192779  |1.2684860868567287  |900       
 [16, 14, 11, 0, 0]  |2.053952934160697   |0.6454975895164152  |463       
 [17, 5, 20, 0, 0]   |1.7517030919525691  |0.8655315172847591  |282       
 [20, 5, 8, 0, 0]    |1.0048920089937752  |0.5768806278612858  |222       
 [14, 1, 20, 14, 17] |9.31845965538006    |1.771802414991131   |664       
 [3, 1, 20, 10, 0]   |10.217458235966754  |5.150520867839672   |274       
 [16, 3, 0, 0, 0]    |0.9475943368377079  |0.7324730115742581  |103       
 [17, 0, 0, 0, 0]    |0.7015824424869526  |0.5904225197597041  |69        
 [8, 0, 0, 0, 0]     |0.7885220037283023  |0.7260800800347866  |33        
 [12, 7, 12, 0, 0]   |1.226729432148013   |0.6800095952265118  |236       
 [8, 11, 15, 16, 18] |8.40546417770765    |0.9220848713684291  |884       
 [6, 8, 3, 0, 0]     |1.2024599475688762  |0.9248436477724716  |105       
 [13, 10, 8, 11, 5]  |3.6921854217750654  |1.2538496490862845  |432       
 [17, 13, 19, 0, 0]  |2.5895408247385667  |0.621251412612087   |571       
 [19, 18, 0, 0, 0]   |1.5348658896846037  |0.5160472277398231  |436       
 [12, 4, 18, 16, 4]  |18.162552500346628  |4.535167053953296   |555       
 [16, 0, 0, 0, 0]    |0.7545375557489314  |0.6413690630659351  |65        
 [14, 17, 0, 0, 0]   |1.3418984738407904  |0.6105380769999381  |315       
 [15, 0, 0, 0, 0]    |0.7175680184116714  |0.6160744042260065  |61        
 [17, 4, 5, 0, 0]    |0.9638691371746955  |0.6558653676084885  |154       
 [19, 0, 0, 0, 0]    |0.7808242728974418  |0.6440975062285597  |77        
 [13, 11, 18, 8, 0]  |3.9398522392881836  |0.9475678073391466  |570       
 [17, 10, 0, 0, 0]   |0.9157988491920377  |0.5000943314898477  |242       
 [16, 14, 1, 12, 0]  |2.6689579594894277  |1.1464705302538036  |338       
Gen 1 Train time: 8.874332066377004 minutes:
 Average MSE:        0.829776373726387
 Average Error:      1.5000796442473436
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7125417677253288  |0.5996454307538437  |69        
 [15, 0, 0, 0, 0]    |0.9466604994351     |0.8127637913472077  |61        
 [16, 0, 0, 0, 0]    |0.6359468331527456  |0.5405650407077204  |65        
 [9, 0, 0, 0, 0]     |0.8793686518979789  |0.8016757376496748  |37        
 [16, 16, 0, 0, 0]   |1.226228158478501   |0.5280538140609089  |337       
 [12, 0, 0, 0, 0]    |0.7883778122667682  |0.697482505838835   |49        
 [10, 5, 12, 7, 9]   |2.588557794077313   |1.1343966053825567  |330       
 [17, 2, 0, 0, 0]    |0.9302722792225481  |0.7428375028214564  |90        
 [13, 11, 3, 0, 0]   |1.2906440952454685  |0.7208252032799362  |233       
 [16, 5, 0, 0, 0]    |0.8535580934794296  |0.6029978341444215  |139       
 [16, 2, 3, 0, 0]    |1.1419047568441085  |0.9005025410437663  |95        
 [17, 2, 3, 0, 0]    |1.1088922522543165  |0.8636061543974757  |100       
 [17, 7, 3, 0, 0]    |1.1709197510346008  |0.7013764987641246  |205       
 [17, 0, 0, 0, 0]    |0.6124061911370535  |0.5153755062710345  |69        
 [16, 6, 0, 0, 0]    |0.920408664326055   |0.6216130367771502  |157       
 [18, 3, 4, 0, 0]    |0.8315422992890366  |0.5978154943114423  |132       
 [18, 2, 0, 0, 0]    |0.9874565267467523  |0.7787051469714612  |95        
 [15, 12, 14, 6, 3]  |11.46998412994869   |3.0184200961469023  |534       
 [14, 4, 6, 0, 0]    |0.9040060054732935  |0.6386368631710281  |139       
 [15, 4, 2, 0, 0]    |1.915198400801588   |1.4117375078283156  |122       
 [11, 0, 0, 0, 0]    |0.6232835048741505  |0.5569644864520384  |45        
 [18, 5, 0, 0, 0]    |0.8670514999480952  |0.5885126225699098  |155       
 [12, 15, 5, 0, 0]   |1.6657687778415915  |0.7541128492763487  |317       
 [13, 2, 3, 0, 0]    |0.8630977431835748  |0.7066446652565948  |80        
 [19, 5, 7, 2, 0]    |1.5679146174995016  |0.909142407935524   |218       
Gen 2 Train time: 9.17214097181956 minutes:
 Average MSE:        1.1299989888836244
