/tmp/tmp.WPk4E2dQ4E ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k85.mat
  Evaluating with: datasets/N1dataset100k85.mat
Gen 0 Train time: 8.501985156536103 minutes:
 Average MSE:        1.9607739170943272
 Average Error:      5.740474271890846
 Structure           |Error               |MSE                 |weights&biases
 [11, 5, 0, 0, 0]    |0.9274741559458657  |0.7241256520511616  |99        
 [3, 3, 12, 0, 0]    |3.522216909152587   |2.8693645528600618  |82        
 [6, 0, 0, 0, 0]     |2.423003906954559   |2.276201521441201   |25        
 [4, 15, 19, 6, 3]   |18.324796636942562  |4.798268626998734   |536       
 [7, 6, 3, 0, 0]     |1.2513887662144845  |0.9893114801220401  |94        
 [14, 12, 17, 20, 18]|18.479663724403856  |0.9200482812620301  |1200      
 [13, 20, 0, 0, 0]   |1.5035384359396622  |0.6426347782794457  |340       
 [4, 10, 13, 0, 0]   |3.2517918422038927  |1.8808168562391725  |219       
 [15, 20, 14, 4, 1]  |34.30835016792053   |5.586699981662642   |726       
 [15, 6, 0, 0, 0]    |0.8028399753368278  |0.5545491329731941  |148       
 [5, 0, 0, 0, 0]     |1.1642977781027652  |1.1047489777484771  |21        
 [8, 19, 0, 0, 0]    |1.3710221165136995  |0.8009606430546059  |215       
 [9, 3, 13, 4, 15]   |2.6966843749467153  |1.4219412409446666  |256       
 [5, 6, 15, 15, 4]   |13.039311422531648  |4.07743759258946    |465       
 [15, 13, 0, 0, 0]   |1.0142806062275     |0.5203152499830889  |267       
 [14, 0, 0, 0, 0]    |0.8784523187904589  |0.7617829178942583  |57        
 [1, 1, 19, 3, 0]    |9.681461044670929   |7.409128523788222   |107       
 [5, 0, 0, 0, 0]     |1.3326116603958331  |1.2644543322559323  |21        
 [14, 5, 3, 18, 0]   |1.1790227999076264  |0.6701095715859848  |226       
 [3, 15, 7, 20, 12]  |11.402210687503535  |2.506299234471901   |606       
 [15, 9, 14, 11, 5]  |4.758039629829015   |1.17331812702968    |560       
 [16, 17, 4, 15, 0]  |2.8787887984457714  |0.8247867999020965  |500       
 [20, 0, 0, 0, 0]    |0.7287770390367542  |0.5951823566091929  |81        
 [3, 9, 5, 0, 0]     |3.808666829018813   |2.9587864887582715  |101       
 [3, 16, 7, 0, 0]    |2.7831651703352436  |1.688075006852659   |200       
Gen 1 Train time: 8.28841637770335 minutes:
 Average MSE:        1.1154773570028411
 Average Error:      2.2295562942440417
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.815375803687363   |0.6659063971090402  |81        
 [15, 6, 0, 0, 0]    |0.784509900434789   |0.5418879209552017  |148       
