/tmp/tmp.qmR8IN6Ops ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k86.mat
  Evaluating with: datasets/N1dataset100k86.mat
Gen 0 Train time: 9.234763737519582 minutes:
 Average MSE:        2.211316892842792
 Average Error:      4.450362432933887
 Structure           |Error               |MSE                 |weights&biases
 [1, 0, 0, 0, 0]     |6.850929007985648   |6.765825401046196   |5         
 [9, 18, 12, 0, 0]   |2.162953996402978   |0.705728185725446   |448       
 [2, 0, 0, 0, 0]     |4.577986471654167   |4.476131936514219   |9         
 [16, 0, 0, 0, 0]    |0.7013294720538521  |0.596141335795058   |65        
 [17, 19, 11, 0, 0]  |3.244235540671868   |0.680028711925122   |625       
 [9, 3, 17, 14, 14]  |5.607872511440286   |1.2450446791445497  |602       
 [16, 8, 4, 16, 1]   |17.011579379087603  |7.662928735532932   |319       
 [13, 12, 14, 18, 0] |3.6846074375036513  |0.6764910847954656  |678       
 [14, 0, 0, 0, 0]    |0.7975510185927136  |0.6916263172367121  |57        
 [1, 15, 5, 12, 0]   |10.699128991783745  |6.521877766801865   |198       
 [8, 0, 0, 0, 0]     |0.8799439906619254  |0.8102624912748622  |33        
 [7, 7, 6, 7, 10]    |2.257205564594296   |1.1637267517248067  |265       
 [4, 14, 12, 0, 0]   |2.8996687824523995  |1.4580450294736171  |275       
 [14, 2, 4, 14, 16]  |2.6678783501285084  |0.9548352476916872  |411       
 [8, 18, 12, 0, 0]   |3.189680089945997   |1.0968260791632878  |427       
 [2, 2, 13, 0, 0]    |4.116558479467573   |3.499140943901236   |65        
 [13, 16, 0, 0, 0]   |1.1695836489716704  |0.5807980516340622  |280       
 [14, 12, 10, 4, 4]  |3.2554780564157473  |1.1363701837654996  |421       
 [11, 18, 9, 0, 0]   |2.3209137756104727  |0.7921226618630086  |430       
 [5, 0, 0, 0, 0]     |2.054878612319006   |1.9497804505440375  |21        
 [7, 6, 15, 0, 0]    |1.2662232625444998  |0.7874453251248081  |190       
 [20, 11, 3, 2, 0]   |3.0554387761231827  |1.3124862088461284  |338       
 [3, 12, 13, 9, 10]  |21.333219408408112  |6.704409568362029   |463       
 [4, 6, 16, 3, 14]   |4.672260224664477   |2.3434939171408935  |276       
 [15, 0, 0, 0, 0]    |0.7819559738628216  |0.6713552560422595  |61        
Gen 1 Train time: 9.054674180348714 minutes:
 Average MSE:        0.8454749493651913
 Average Error:      1.9311137112940657
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6899119371736038  |0.5864362474361372  |65        
 [15, 0, 0, 0, 0]    |0.7640723209734253  |0.6560010867976394  |61        
 [14, 0, 0, 0, 0]    |0.9251639486220039  |0.802290661924881   |57        
 [16, 10, 6, 0, 0]   |1.108494656605816   |0.5355306950833206  |291       
 [15, 9, 0, 0, 0]    |0.9217424138568653  |0.5604644454826653  |199       
 [12, 9, 6, 0, 0]    |1.5508431296201592  |0.8947586495642315  |220       
 [15, 2, 9, 7, 7]    |1.8493333287110398  |1.0200230359287559  |238       
 [11, 15, 0, 0, 0]   |1.0162370813338428  |0.5732729459075021  |229       
 [9, 2, 8, 10, 11]   |2.631882401418397   |1.262001978860075   |294       
 [12, 0, 0, 0, 0]    |0.7697213302487806  |0.6809770060320495  |49        
 [12, 4, 0, 0, 0]    |0.934921637914814   |0.740971909788265   |93        
 [15, 8, 0, 0, 0]    |1.1119916021554708  |0.705500812363033   |182       
 [15, 12, 9, 9, 17]  |5.625694856475045   |1.158753050533155   |632       
 [8, 6, 3, 6, 0]     |1.796551369303109   |1.2980575065446165  |130       
 [14, 1, 0, 0, 0]    |1.2854243702544144  |1.1091444063954425  |59        
 [8, 10, 6, 13, 9]   |3.5671940600718495  |1.28953193207633    |407       
 [15, 5, 0, 0, 0]    |0.9212988148211615  |0.6640015140661626  |131       
 [8, 9, 5, 0, 0]     |1.3241418758840309  |0.8853826175286743  |161       
 [10, 10, 10, 13, 5] |3.670798718301487   |1.1364498911054663  |469       
 [11, 0, 0, 0, 0]    |0.821870768271733   |0.7344215381936582  |45        
 [15, 18, 3, 0, 0]   |2.0145398344177496  |0.7523081983980733  |394       
 [15, 5, 0, 0, 0]    |0.87084504109565    |0.6276383042094406  |131       
 [11, 8, 0, 0, 0]    |0.8504742161957373  |0.6023231500093952  |138       
 [12, 17, 5, 10, 0]  |2.314630338921685   |0.8140365550830392  |418       
 [17, 19, 9, 14, 9]  |8.940062729703767   |1.046595594817774   |858       
Gen 2 Train time: 8.94106891155243 minutes:
 Average MSE:        1.1463826618471114
 Average Error:      1.944287115005417
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.62908770171326    |0.5347346686191867  |65        
 [15, 0, 0, 0, 0]    |0.6841110593530313  |0.587349634461476   |61        
 [12, 0, 0, 0, 0]    |0.6751826210808947  |0.597338051785486   |49        
 [13, 5, 8, 0, 0]    |0.877414268877314   |0.5793919846050029  |166       
 [15, 3, 12, 0, 0]   |1.0256710624211265  |0.6979185269610908  |154       
 [12, 9, 3, 0, 0]    |1.0667916114776155  |0.668416130223198   |187       
 [12, 2, 9, 17, 0]   |1.9395392875879527  |0.9703974629893409  |277       
 [15, 3, 0, 0, 0]    |0.9716196974826371  |0.7623947530480306  |97        
 [13, 3, 2, 20, 0]   |1.4814167124175308  |0.9685054857649739  |170       
 [15, 5, 0, 0, 0]    |0.938192522650844   |0.6761772027750187  |131       
 [14, 7, 0, 0, 0]    |1.0311944431561906  |0.6999249135232416  |155       
