/tmp/tmp.zzNegwWBlE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k88.mat
  Evaluating with: datasets/N1dataset100k88.mat
Gen 0 Train time: 7.984678634007772 minutes:
 Average MSE:        1.2719136766107126
 Average Error:      2.5304409435030863
 Structure           |Error               |MSE                 |weights&biases
 [4, 0, 0, 0, 0]     |1.7853735843058935  |1.711085020591727   |17        
 [5, 0, 0, 0, 0]     |1.6966741628757251  |1.609896610868366   |21        
 [9, 10, 6, 7, 0]    |1.6128614685905063  |0.863302533680991   |250       
 [14, 11, 13, 16, 18]|7.300379057843405   |0.7467134806542353  |912       
 [15, 17, 6, 0, 0]   |1.5033484937409654  |0.5105304219594906  |432       
 [20, 0, 0, 0, 0]    |0.7753797005524865  |0.6332421203221867  |81        
 [4, 7, 7, 0, 0]     |3.186946867108273   |2.414671766895941   |111       
 [11, 2, 14, 14, 0]  |2.9316321073891793  |1.3041601901702358  |324       
 [17, 18, 7, 2, 0]   |4.348246458032435   |1.1644776888483765  |527       
 [4, 0, 0, 0, 0]     |2.0443065013590913  |1.959243859505038   |17        
 [20, 15, 0, 0, 0]   |1.061222033591613   |0.39928537426059807 |391       
 [15, 0, 0, 0, 0]    |0.7006946975426182  |0.6015876645233007  |61        
 [7, 16, 0, 0, 0]    |1.247524885090996   |0.8237909328074398  |166       
 [3, 0, 0, 0, 0]     |1.5050744187984995  |1.4569458260637524  |13        
 [4, 20, 18, 0, 0]   |4.345254687600077   |1.2172380188709773  |509       
 [16, 0, 0, 0, 0]    |0.6180362748482654  |0.5253407779639921  |65        
 [4, 5, 6, 13, 17]   |5.479021544409315   |1.9173164665821218  |420       
 [14, 0, 0, 0, 0]    |0.6744768739961169  |0.584897950787378   |57        
 [14, 0, 0, 0, 0]    |0.7330891560963154  |0.6357257923533369  |57        
 [3, 0, 0, 0, 0]     |2.4775186724589378  |2.398293694816506   |13        
 [12, 3, 0, 0, 0]    |0.9215264975918578  |0.7563706482856197  |79        
 [9, 3, 12, 0, 0]    |1.1469541313853833  |0.8539435801909425  |118       
 [8, 12, 8, 19, 15]  |6.225399628805632   |1.0213626199538943  |723       
 [20, 8, 0, 0, 0]    |1.0409095674275457  |0.5755638643684828  |237       
 [2, 17, 6, 1, 0]    |7.899172116136024   |5.112855009942878   |174       
Gen 1 Train time: 8.240189866224926 minutes:
 Average MSE:        0.9679606964507167
 Average Error:      2.038338362771716
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.6947258117670381  |0.5905281182968836  |65        
 [14, 0, 0, 0, 0]    |0.722841102577006   |0.6268388078856708  |57        
 [15, 0, 0, 0, 0]    |0.6679091554365904  |0.5734393457549887  |61        
 [11, 8, 6, 20, 6]   |3.610461052597221   |1.154694122147506   |456       
 [15, 8, 0, 0, 0]    |0.8258409675225851  |0.5239531236931028  |182       
 [6, 5, 3, 4, 0]     |1.7854118595682233  |1.4185697167349172  |92        
 [15, 10, 18, 12, 10]|6.520001033183377   |0.9463664040779326  |772       
 [11, 17, 3, 0, 0]   |1.5376217221971862  |0.7354570667452817  |295       
 [14, 2, 0, 0, 0]    |0.7790402802498984  |0.6458470765625852  |75        
 [19, 20, 1, 11, 18] |6.982897208687919   |1.111781744389495   |735       
 [9, 0, 0, 0, 0]     |0.8586679874032943  |0.7828039931966556  |37        
 [17, 8, 18, 2, 0]   |2.6723720269748568  |0.988038590916333   |398       
 [18, 20, 5, 7, 4]   |4.24283830038258    |0.9050477771508614  |618       
 [17, 0, 0, 0, 0]    |0.7384544904758431  |0.6214524973702203  |69        
 [10, 0, 0, 0, 0]    |0.8232563911193599  |0.7430532302687827  |41        
 [6, 3, 3, 15, 3]    |7.059342763505067   |4.696661579903725   |163       
 [12, 5, 3, 4, 0]    |1.2555645793183     |0.8847814049182927  |140       
 [9, 2, 6, 0, 0]     |1.0069333259372093  |0.8410614120326281  |72        
 [12, 5, 3, 4, 20]   |2.1739096249144425  |1.1462860757716509  |256       
 [15, 2, 6, 0, 0]    |0.8139185170070642  |0.6307188868247907  |102       
 [12, 2, 6, 0, 0]    |0.9664656217368403  |0.7775482718932925  |87        
 [20, 8, 10, 0, 0]   |1.2338883590618646  |0.5420865795752436  |329       
 [11, 8, 0, 0, 0]    |0.9805823010453125  |0.6944683438505799  |138       
