/tmp/tmp.enR8EGRetD ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k89.mat
  Evaluating with: datasets/N1dataset100k89.mat
Gen 0 Train time: 8.448007583618164 minutes:
 Average MSE:        1.7985059622891029
 Average Error:      5.040288779433736
 Structure           |Error               |MSE                 |weights&biases
 [7, 12, 17, 9, 0]   |3.1502084930843504  |0.8802658093218604  |510       
 [8, 8, 16, 18, 2]   |34.16584300342574   |7.875261593663458   |587       
 [2, 17, 20, 0, 0]   |10.472884665532098  |3.503594719625208   |438       
 [19, 1, 7, 0, 0]    |1.6307194318022695  |1.2731845564602893  |99        
 [20, 10, 14, 17, 7] |6.950804663901537   |0.9106081844503239  |813       
 [11, 0, 0, 0, 0]    |0.89120401113999    |0.7963775400871631  |45        
 [3, 8, 19, 19, 0]   |7.9924188871197845  |1.730643757191541   |612       
 [9, 7, 0, 0, 0]     |0.8015682704053577  |0.6165072896100761  |105       
 [13, 10, 14, 3, 7]  |3.0659155500292488  |1.0890940850584223  |414       
 [9, 3, 20, 0, 0]    |1.3561751769811212  |0.9136281464569818  |158       
 [11, 15, 13, 19, 18]|12.629298689788188  |0.8789910243878193  |1066      
 [7, 10, 2, 0, 0]    |1.3377322152585258  |0.9762620874469711  |126       
 [13, 5, 19, 12, 0]  |2.8311409690771567  |0.8612932843636862  |476       
 [3, 0, 0, 0, 0]     |4.345673113890697   |4.206709133874513   |13        
 [12, 5, 5, 0, 0]    |1.0639539648780418  |0.755399994406386   |137       
 [19, 0, 0, 0, 0]    |0.6739376292194819  |0.5559273211667574  |77        
 [13, 0, 0, 0, 0]    |0.719135688561166   |0.62989305963121    |53        
 [13, 1, 0, 0, 0]    |1.3574166831509735  |1.1830352666252817  |55        
 [4, 0, 0, 0, 0]     |2.682761298673754   |2.5711328499175194  |17        
 [11, 17, 3, 0, 0]   |1.270055339995965   |0.6074778740917317  |295       
 [13, 6, 17, 13, 0]  |2.481632728167074   |0.7289987232739745  |490       
 [6, 9, 11, 0, 0]    |2.9520996790440583  |1.7771601568708832  |203       
 [9, 15, 14, 10, 13] |7.005011216496382   |1.193184497261346   |708       
 [1, 3, 10, 13, 0]   |12.12422256245398   |7.244230190350104   |206       
 [7, 14, 5, 0, 0]    |2.0554055537664597  |1.2037879116340693  |214       
Gen 1 Train time: 7.918267222245534 minutes:
 Average MSE:        1.1078808020084598
 Average Error:      1.7392488399066037
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.6634270360854168  |0.5472571926095172  |77        
 [13, 0, 0, 0, 0]    |0.6958216710825926  |0.6094722433159243  |53        
 [9, 7, 0, 0, 0]     |0.7796418782342641  |0.5996431233158033  |105       
 [11, 2, 10, 6, 0]   |1.6830206964319956  |1.128162510711229   |160       
 [19, 1, 0, 0, 0]    |1.6912287735164462  |1.3881269905604832  |79        
 [9, 0, 0, 0, 0]     |0.8589484860734321  |0.7830597095879633  |37        
 [1, 1, 4, 0, 0]     |8.413885774586948   |8.043653612936463   |18        
 [16, 0, 0, 0, 0]    |0.6477720475988265  |0.550616663257255   |65        
 [12, 9, 2, 0, 0]    |1.4707810349602068  |0.9472365539527303  |176       
 [7, 12, 0, 0, 0]    |1.504456684389187   |1.0870111068408455  |130       
 [11, 4, 0, 0, 0]    |0.7716876030536735  |0.6223980307338992  |86        
 [11, 6, 3, 0, 0]    |1.1698771674432284  |0.8452682538790391  |130       
 [11, 4, 8, 0, 0]    |1.080239123076743   |0.7805023148972717  |130       
 [16, 3, 6, 0, 0]    |0.8098074681825824  |0.5851080469455479  |130       
 [10, 12, 10, 0, 0]  |1.4124368456939458  |0.6622027321731379  |303       
 [10, 4, 0, 0, 0]    |0.7924293717553198  |0.650410291186871   |79        
 [15, 0, 0, 0, 0]    |0.7648175647063549  |0.6566409224327113  |61        
 [7, 10, 0, 0, 0]    |1.1365675762768979  |0.8589992952158196  |112       
 [16, 5, 0, 0, 0]    |0.7754254009740911  |0.5478008361702859  |139       
 [18, 11, 17, 9, 7]  |5.583431205568282   |0.9534231059444813  |707       
 [20, 12, 12, 7, 4]  |5.009319073676408   |1.1289635420788133  |596       
 [14, 4, 16, 0, 0]   |1.265298409266825   |0.7693632848601367  |199       
 [11, 4, 20, 6, 0]   |1.7505009752147007  |0.7984379827903999  |314       
 [6, 2, 10, 0, 0]    |1.1565568220287574  |0.9636253839449118  |73        
 [8, 9, 1, 0, 0]     |1.5938423077879633  |1.189636319869952   |117       
Gen 2 Train time: 7.987951048215231 minutes:
 Average MSE:        1.2638140307108439
 Average Error:      1.8830006093662026
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7067661736662658  |0.600762619643364   |65        
 [19, 0, 0, 0, 0]    |0.7627838624229615  |0.6292160741301001  |77        
 [13, 0, 0, 0, 0]    |0.7313857953737333  |0.640622964131452   |53        
 [16, 7, 0, 0, 0]    |0.8312381992341699  |0.5366877184461163  |175       
 [14, 4, 3, 0, 0]    |1.0259206059842783  |0.758122999277902   |121       
 [12, 4, 0, 0, 0]    |0.7657875226736016  |0.6069247091478531  |93        
 [14, 4, 0, 0, 0]    |0.7467046700802948  |0.5714458638433568  |107       
 [13, 3, 3, 0, 0]    |0.9909319573722242  |0.7775483832672083  |97        
 [11, 4, 0, 0, 0]    |0.8788256335826591  |0.7088092921745097  |86        
 [14, 6, 8, 0, 0]    |1.1131285505257342  |0.6802292296094021  |197       
 [1, 7, 2, 2, 20]    |7.779535904356379   |5.7632219463948315  |120       
 [11, 1, 5, 0, 0]    |1.176163413060985   |1.0098055590296175  |61        
 [7, 6, 5, 0, 0]     |1.0394207124636947  |0.7895149974900582  |110       
 [13, 6, 5, 0, 0]    |1.1115024663021078  |0.7376488897885297  |164       
 [16, 12, 6, 0, 0]   |2.238076036428551   |0.963788491581225   |337       
 [13, 2, 9, 0, 0]    |0.9129868819902688  |0.7039599831764501  |104       
 [13, 9, 2, 0, 0]    |3.076874111410973   |1.9230532988521776  |188       
 [4, 13, 14, 3, 13]  |6.134519486539919   |2.3488638702718316  |384       
 [1, 5, 5, 0, 0]     |6.5972699947601585  |5.836643720870777   |49        
 [17, 0, 0, 0, 0]    |0.5834771996359723  |0.4910300736863342  |69        
 [15, 8, 9, 5, 4]    |2.4870747063077756  |1.0817793190369887  |333       
 [9, 11, 18, 0, 0]   |1.8001388207380746  |0.7102514509061658  |372       
 [15, 0, 0, 0, 0]    |0.7633067907692668  |0.6553438340322668  |61        
 [10, 2, 10, 3, 0]   |1.449666809092008   |1.0766277939177902  |119       
 [10, 6, 4, 0, 0]    |1.3715289293830086  |0.9934476850647831  |129       
Gen 3 Train time: 7.9505809307098385 minutes:
 Average MSE:        1.1867355149282053
 Average Error:      1.902574804404635
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.7095976271238619  |0.5971677648272519  |69        
 [16, 0, 0, 0, 0]    |0.6475847095084599  |0.5504574228661313  |65        
 [13, 0, 0, 0, 0]    |0.7070856549206416  |0.6193383998093962  |53        
 [15, 1, 5, 0, 0]    |1.1093370563154634  |0.9150858347273365  |77        
 [15, 1, 5, 5, 0]    |1.575468813160409   |1.2056910489094803  |107       
 [17, 4, 0, 0, 0]    |0.7331657039596791  |0.5323875699457756  |128       
 [13, 5, 10, 4, 2]   |10.433073811159993  |5.929743362443146   |226       
 [11, 4, 0, 0, 0]    |0.8098921531188278  |0.6532115835647756  |86        
 [15, 6, 2, 0, 0]    |1.2936141152544745  |0.8714820079375235  |158       
 [10, 6, 5, 0, 0]    |1.095598884503404   |0.777867669603902   |137       
 [13, 6, 9, 0, 0]    |0.9202784418929758  |0.5637868635025465  |196       
 [9, 3, 5, 13, 18]   |3.9376147995059796  |1.357405502733354   |426       
