/tmp/tmp.MwrTRxP0N7 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k90.mat
  Evaluating with: datasets/N1dataset100k90.mat
Gen 0 Train time: 8.245162598292033 minutes:
 Average MSE:        1.5168332035353527
 Average Error:      3.573388775442812
 Structure           |Error               |MSE                 |weights&biases
 [10, 0, 0, 0, 0]    |0.7148540796124553  |0.6452116725199405  |41        
 [8, 5, 20, 12, 13]  |5.560798031779702   |1.1685242511391318  |624       
 [3, 10, 0, 0, 0]    |2.017710389411922   |1.7366594262825508  |60        
 [8, 0, 0, 0, 0]     |1.01365044266503    |0.9333809215945725  |33        
 [3, 2, 6, 11, 15]   |7.880474364896344   |3.648762615438632   |308       
 [2, 8, 8, 15, 0]    |6.5453397210744955  |3.4772901692330804  |253       
 [15, 0, 0, 0, 0]    |0.7181732251800004  |0.6165940098796379  |61        
 [3, 13, 0, 0, 0]    |2.021454127895649   |1.6758443330914603  |75        
 [14, 1, 15, 0, 0]   |1.1828488458646371  |0.9143204245594738  |103       
 [20, 16, 7, 0, 0]   |2.2233446931772685  |0.6014046242119435  |523       
 [7, 3, 10, 0, 0]    |1.4658309390419164  |1.15306345626372    |96        
 [10, 6, 18, 18, 0]  |2.8982946762250106  |0.6747739867298312  |583       
 [16, 3, 7, 13, 15]  |3.1650026113931724  |1.009700629702016   |457       
 [4, 4, 7, 17, 14]   |7.5734021313913225  |2.338810318983343   |470       
 [4, 0, 0, 0, 0]     |2.7746221465816325  |2.6591714107071     |17        
 [11, 5, 16, 17, 8]  |5.771393200505254   |1.1917389074391262  |631       
 [8, 1, 17, 8, 19]   |4.3738536044033     |1.6010256453100322  |402       
 [2, 15, 18, 3, 10]  |13.92832752728317   |4.555907388161126   |447       
 [12, 17, 9, 17, 8]  |8.806706196915348   |1.3778350997811657  |742       
 [10, 3, 0, 0, 0]    |0.8357417504628354  |0.7068508306335142  |67        
 [3, 6, 15, 0, 0]    |3.4857446291381016  |2.3718771505437455  |154       
 [20, 0, 0, 0, 0]    |0.7123774146387699  |0.581789005043673   |81        
 [12, 0, 0, 0, 0]    |0.7736978576770498  |0.6844950633290089  |49        
 [14, 1, 0, 0, 0]    |1.0786145749132245  |0.9306960021185988  |59        
 [12, 11, 17, 0, 0]  |1.812462203942717   |0.6651027456873873  |401       
Gen 1 Train time: 7.823254227638245 minutes:
 Average MSE:        1.258579319847079
 Average Error:      2.248828333734278
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.6812795331043472  |0.5563917855570726  |81        
 [10, 0, 0, 0, 0]    |0.7452899194644537  |0.6726823965397335  |41        
 [15, 0, 0, 0, 0]    |0.6533806352971423  |0.560965755573241   |61        
 [14, 0, 0, 0, 0]    |0.7521906899672419  |0.6522904047940963  |57        
 [18, 5, 10, 0, 0]   |0.959875737993446   |0.5538001250241484  |220       
 [15, 0, 0, 0, 0]    |0.6928043518662252  |0.5948133380664432  |61        
 [7, 4, 4, 9, 7]     |2.6902823585936395  |1.6481379806831675  |196       
 [13, 17, 0, 0, 0]   |1.6065125593214933  |0.768408118532369   |295       
 [10, 2, 16, 0, 0]   |1.1677543813618827  |0.8716063176183269  |117       
 [12, 0, 0, 0, 0]    |0.7895660914707956  |0.6985337834673595  |49        
 [9, 7, 0, 0, 0]     |0.8072690635272147  |0.6208919198979073  |105       
 [12, 5, 0, 0, 0]    |0.7305593542074094  |0.5590900097209863  |107       
 [13, 16, 8, 0, 0]   |1.8584432588300053  |0.6701452357328664  |408       
 [15, 2, 0, 0, 0]    |0.7831576281953235  |0.6411952347111234  |80        
 [15, 9, 8, 0, 0]    |1.2217853029884496  |0.6097618256453126  |278       
 [11, 12, 0, 0, 0]   |1.0856504672814036  |0.675149802146571   |190       
 [12, 1, 0, 0, 0]    |1.4246721021745046  |1.254129471266915   |51        
 [12, 17, 0, 0, 0]   |1.3523245836854487  |0.6799915043434499  |275       
 [3, 0, 0, 0, 0]     |2.9315669228558896  |2.8378225945073816  |13        
