/tmp/tmp.RPQehqNmAM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k91.mat
  Evaluating with: datasets/N1dataset100k91.mat
Gen 0 Train time: 8.345731218655905 minutes:
 Average MSE:        1.41538167118435
 Average Error:      3.4533840209514994
 Structure           |Error               |MSE                 |weights&biases
 [13, 12, 18, 7, 0]  |3.4782528028407826  |0.8118254699232382  |582       
 [14, 20, 16, 0, 0]  |2.9749207151104833  |0.5234663070176715  |695       
 [5, 5, 14, 0, 0]    |2.0897770904091457  |1.4579880027440617  |144       
 [2, 20, 17, 4, 0]   |14.709487663628531  |4.2143387749853645  |500       
 [14, 12, 5, 0, 0]   |1.4145216676240826  |0.6799686599815553  |293       
 [6, 7, 17, 13, 0]   |4.977415397316025   |1.6118954099078935  |451       
 [20, 8, 3, 0, 0]    |1.1902455719660334  |0.6229180242162516  |259       
 [4, 7, 15, 19, 0]   |6.062019097564935   |1.7763184376999237  |491       
 [4, 14, 0, 0, 0]    |1.602069698173962   |1.2570860132514938  |97        
 [3, 16, 6, 0, 0]    |6.262873677973134   |3.973467478506501   |182       
 [5, 3, 20, 19, 10]  |10.672139822310434  |1.7509116425222175  |723       
 [14, 5, 0, 0, 0]    |0.9094638000358464  |0.6687131508212767  |123       
 [17, 17, 2, 15, 0]  |2.580028848798986   |0.8292783456848978  |454       
 [2, 11, 0, 0, 0]    |3.0708434910076132  |2.703243306191376   |51        
 [9, 0, 0, 0, 0]     |0.8436927040341569  |0.7691517879292122  |37        
 [15, 16, 7, 18, 3]  |7.123692262158334   |1.4932070167085505  |625       
 [5, 5, 0, 0, 0]     |1.1489301404435448  |1.0113956378859394  |51        
 [15, 8, 8, 0, 0]    |1.1264391641998992  |0.5969400885403073  |254       
 [17, 5, 6, 0, 0]    |1.0313453764587     |0.6510714690275611  |184       
 [15, 11, 2, 4, 2]   |7.587942779423738   |3.863449785346288   |270       
 [12, 0, 0, 0, 0]    |0.7376937873446253  |0.6526420497039125  |49        
 [16, 0, 0, 0, 0]    |0.6574015360277636  |0.5588018833624908  |65        
 [13, 0, 0, 0, 0]    |0.8072639422900769  |0.707084855650019   |53        
 [17, 5, 5, 0, 0]    |1.165320332840141   |0.7486348081229078  |177       
 [6, 9, 2, 12, 0]    |2.110819153806514   |1.4507433738778492  |150       
Gen 1 Train time: 8.157506227493286 minutes:
 Average MSE:        0.8784061149735191
 Average Error:      2.602669121381602
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.5966405190741584  |0.5071540412934682  |65        
 [12, 0, 0, 0, 0]    |0.721436794838739   |0.6382593924373329  |49        
 [13, 0, 0, 0, 0]    |0.7240648872284173  |0.6342105592066478  |53        
 [13, 6, 3, 5, 0]    |1.3037899778926494  |0.8523784937013257  |170       
 [13, 3, 0, 0, 0]    |0.7930877804921247  |0.641259306665391   |85        
 [14, 12, 5, 0, 0]   |1.3250700021488249  |0.6369687325159735  |293       
 [16, 17, 13, 2, 0]  |5.430182716945771   |1.2055944718293223  |602       
 [16, 5, 3, 0, 0]    |1.0327524057847948  |0.7009823832035094  |155       
 [9, 10, 0, 0, 0]    |0.9879523194923212  |0.6996879409201846  |138       
 [16, 5, 3, 19, 0]   |1.6018716981313739  |0.8638749597885992  |247       
 [15, 12, 0, 0, 0]   |1.0944653564545719  |0.5858250901604201  |250       
 [13, 9, 9, 4, 0]    |1.4285353536855327  |0.6747923204891013  |300       
 [9, 6, 0, 0, 0]     |0.9430146859270331  |0.7455199214657098  |94        
 [11, 8, 0, 0, 0]    |0.8354028661422745  |0.5916493131472949  |138       
 [13, 3, 3, 0, 0]    |0.836335581220947   |0.6562422113942573  |97        
 [17, 4, 2, 0, 0]    |1.5748370876987938  |1.1209223022098989  |136       
 [11, 10, 2, 0, 0]   |1.1835666586373847  |0.7584582471572927  |178       
 [9, 7, 0, 0, 0]     |0.7979770359416013  |0.6137451765033719  |105       
 [15, 11, 3, 0, 0]   |1.3343959557092315  |0.6948764088832926  |261       
 [14, 8, 3, 17, 0]   |1.7998196505447668  |0.9050061549465326  |275       
 [20, 19, 10, 17, 2] |32.29294435737512   |3.5337116074039643  |885       
 [13, 3, 5, 10, 0]   |1.5809774218957806  |1.028440191495427   |172       
 [16, 18, 3, 0, 0]   |2.415075154044033   |0.8557563393160553  |415       
 [9, 2, 3, 6, 5]     |1.6650120659713172  |1.2303914493237258  |121       
 [15, 3, 3, 0, 0]    |0.7675197012624855  |0.584445858879874   |109       
Gen 2 Train time: 7.986746656894684 minutes:
 Average MSE:        0.8504509073016945
 Average Error:      1.2707883621660114
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.7813612741467892  |0.6641696553037892  |65        
 [12, 0, 0, 0, 0]    |0.793849463226709   |0.7023233077528843  |49        
 [13, 0, 0, 0, 0]    |0.8005668768531226  |0.7012188763838895  |53        
 [11, 5, 9, 0, 0]    |1.063783459043574   |0.7184435480445729  |157       
 [14, 6, 0, 0, 0]    |0.78450289950953    |0.5542136532920894  |139       
 [15, 8, 2, 0, 0]    |1.1303031401528527  |0.6959244748859803  |194       
 [10, 7, 0, 0, 0]    |1.0772446967919218  |0.8080806384237395  |115       
 [12, 9, 3, 0, 0]    |1.204621089566467   |0.7547754954297048  |187       
 [12, 4, 0, 0, 0]    |0.8395047518025237  |0.6653492806165193  |93        
 [13, 3, 2, 0, 0]    |0.9042457397183771  |0.7184536251267343  |92        
 [13, 11, 0, 0, 0]   |1.121794588263944   |0.6719507122105567  |205       
 [15, 4, 3, 0, 0]    |1.1242492549175656  |0.8163725138892046  |128       
 [14, 7, 4, 5, 0]    |1.4538645518001492  |0.8600413746801335  |210       
 [16, 10, 2, 0, 0]   |1.9581172726852873  |1.0666079112676763  |243       
 [13, 7, 0, 0, 0]    |0.8254141952211107  |0.5744340614518123  |145       
 [14, 6, 8, 0, 0]    |0.9783097289748378  |0.597841887125823   |197       
 [13, 6, 6, 2, 0]    |1.4750087282541549  |0.9358162903467487  |182       
 [13, 5, 0, 0, 0]    |0.7699489231403295  |0.5775668417935013  |115       
 [11, 5, 0, 0, 0]    |0.7950040183147714  |0.6206995628448311  |99        
 [14, 8, 2, 9, 0]    |1.25177361310724    |0.7276474908843985  |217       
 [13, 3, 2, 9, 0]    |1.1766391025452994  |0.8586981260674873  |126       
 [14, 13, 2, 0, 0]   |1.511647554044017   |0.7735230199943696  |268       
 [14, 8, 3, 0, 0]    |1.1543304747467995  |0.7124970553806464  |193       
 [11, 5, 6, 0, 0]    |1.0660789249498175  |0.7588033405019476  |136       
 [2, 5, 13, 2, 11]   |5.727544732373095   |3.7258199388433217  |172       
Increasing Epochs
Gen 3 Train time: 9.792902437845866 minutes:
 Average MSE:        1.0104366530986792
 Average Error:      2.2535630861287403
 Structure           |Error               |MSE                 |weights&biases
 [13, 5, 0, 0, 0]    |0.7069664024025465  |0.5303213499206786  |115       
 [16, 0, 0, 0, 0]    |0.700967936475178   |0.595834024735996   |65        
 [14, 6, 0, 0, 0]    |0.8666525936536172  |0.6122484701638774  |139       
 [14, 5, 1, 10, 0]   |1.1233110641307722  |0.7643577282434363  |154       
 [15, 7, 5, 0, 0]    |0.945311455330035   |0.5690762633022513  |203       
 [14, 5, 7, 0, 0]    |0.9616063841178816  |0.6334019437252028  |167       
 [3, 15, 3, 5, 17]   |6.588192994080468   |3.4652303401871585  |257       
 [13, 2, 1, 0, 0]    |1.4946701889654501  |1.2484534847272974  |72        
 [14, 7, 4, 1, 0]    |2.0409528681612708  |1.281994144529579   |186       
 [20, 18, 11, 14, 17]|9.676240991906983   |0.6374199991125662  |1088      
 [13, 7, 6, 0, 0]    |0.9913872209449863  |0.6134539471696026  |192       
 [13, 6, 3, 1, 0]    |1.982074918572188   |1.3622588412951542  |150       
 [12, 3, 3, 0, 0]    |1.0236316903520595  |0.8153455927207933  |91        
 [7, 15, 1, 1, 17]   |3.175272789209081   |1.8736596426093315  |211       
 [14, 7, 0, 0, 0]    |0.7948753055328234  |0.5395229126564962  |155       
 [15, 8, 3, 0, 0]    |1.227056162505665   |0.7368418005389972  |204       
