/tmp/tmp.gDIUTjMckS ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k92.mat
  Evaluating with: datasets/N1dataset100k92.mat
Gen 0 Train time: 8.222897589206696 minutes:
 Average MSE:        1.8875266180763142
 Average Error:      5.219672797993602
 Structure           |Error               |MSE                 |weights&biases
 [3, 15, 17, 0, 0]   |3.925318660852065   |1.599910252391318   |359       
 [9, 0, 0, 0, 0]     |0.7431474478073367  |0.6774897844238119  |37        
 [20, 15, 0, 0, 0]   |1.46211493844103    |0.5501215503711455  |391       
 [18, 0, 0, 0, 0]    |0.7315192576304503  |0.6094906121955435  |73        
 [9, 18, 14, 9, 0]   |3.548380150700355   |0.7569116097561427  |618       
 [7, 8, 19, 5, 0]    |2.7911643508845305  |1.1291428881391716  |362       
 [18, 0, 0, 0, 0]    |0.7243421833626237  |0.6035107841272571  |73        
 [11, 4, 1, 7, 20]   |2.5896668664286713  |1.2827795466885639  |281       
 [17, 4, 16, 20, 15] |7.346523928785349   |0.8263203617467836  |874       
 [15, 1, 13, 9, 0]   |2.635834872732575   |1.5093815110021436  |223       
 [2, 13, 19, 20, 1]  |53.84129491255044   |8.593797620722134   |734       
 [2, 10, 0, 0, 0]    |2.971052120885343   |2.6416828031893633  |47        
 [8, 0, 0, 0, 0]     |0.8758023724804311  |0.8064488418821065  |33        
 [11, 8, 0, 0, 0]    |0.801460445082518   |0.5676105997068012  |138       
 [18, 12, 0, 0, 0]   |0.9816431270643503  |0.4695279498196556  |295       
 [6, 6, 5, 2, 4]     |4.537641785799224   |3.3281195562305887  |124       
 [13, 5, 0, 0, 0]    |0.7239083229133224  |0.5430301040071389  |115       
 [9, 14, 0, 0, 0]    |0.8980192839816331  |0.5697465099004699  |182       
 [1, 14, 19, 0, 0]   |16.380792217125002  |7.07176038223803    |336       
 [16, 10, 0, 0, 0]   |0.9011527628329016  |0.5083523407587528  |229       
 [3, 0, 0, 0, 0]     |2.4840545781112295  |2.4046205982179036  |13        
 [4, 13, 8, 0, 0]    |2.3866427046126857  |1.4548279588428723  |198       
 [10, 11, 17, 12, 17]|6.24343712516888    |0.8240952608526186  |810       
 [1, 7, 1, 15, 0]    |8.484866632463186   |7.104896402589965   |71        
 [11, 4, 20, 4, 0]   |1.4820389011439112  |0.7545896221075792  |270       
Gen 1 Train time: 8.21586350997289 minutes:
 Average MSE:        1.058160656388069
 Average Error:      2.312395673826721
