/tmp/tmp.YRKipmMwXh ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k98.mat
  Evaluating with: datasets/N1dataset100k98.mat
Gen 0 Train time: 8.740474224090576 minutes:
 Average MSE:        1.5892749531579642
 Average Error:      3.7377973762527192
 Structure           |Error               |MSE                 |weights&biases
 [13, 0, 0, 0, 0]    |0.7687617028555431  |0.6733606311596513  |53        
 [4, 2, 15, 20, 0]   |3.815368628710994   |1.3758026224082807  |408       
 [19, 9, 9, 1, 2]    |7.524330997462245   |3.184011572934108   |344       
 [9, 8, 9, 12, 11]   |3.6049765639376656  |1.1329391455777498  |463       
 [10, 3, 13, 15, 0]  |2.2392460155255134  |0.9546974537905293  |341       
 [20, 14, 0, 0, 0]   |1.2886185593366772  |0.5122567884820554  |369       
 [13, 0, 0, 0, 0]    |0.7407122540435332  |0.6487920366451501  |53        
 [5, 7, 4, 9, 0]     |2.2731527143988144  |1.5859248343801569  |144       
 [3, 13, 16, 0, 0]   |5.986520138757248   |2.8137280105140396  |302       
 [4, 17, 7, 11, 0]   |5.08661753263636    |2.268486973500105   |323       
 [2, 17, 11, 0, 0]   |5.238284223658443   |2.68718454102432    |267       
 [15, 4, 0, 0, 0]    |0.8594149615549956  |0.646292301464701   |114       
 [13, 0, 0, 0, 0]    |0.8288086271138322  |0.7259559083015397  |53        
 [5, 0, 0, 0, 0]     |1.1312160772116795  |1.073359262910095   |21        
 [19, 16, 20, 16, 0] |14.683311042383567  |1.0117803942629782  |1070      
 [6, 15, 12, 0, 0]   |2.2336860783813255  |0.9837860551485041  |328       
 [8, 16, 0, 0, 0]    |1.2045745998156823  |0.7585295484042683  |185       
 [17, 3, 20, 0, 0]   |1.342924911697354   |0.8023984332668131  |206       
 [1, 12, 15, 13, 0]  |17.323704619428266  |5.709182096352232   |444       
 [20, 0, 0, 0, 0]    |0.7482399371697227  |0.6110774424265724  |81        
 [13, 7, 0, 0, 0]    |0.8851583797650151  |0.6160120895186646  |145       
 [15, 3, 0, 0, 0]    |0.755612945154295   |0.5929020852637648  |97        
 [8, 10, 11, 20, 0]  |3.6388197898356007  |1.053017019102716   |496       
 [8, 10, 0, 0, 0]    |1.0491312670018347  |0.7675608317551345  |125       
 [1, 8, 7, 0, 0]     |8.19374183848178    |6.5428357503549766  |90        
Gen 1 Train time: 8.6332017660141 minutes:
 Average MSE:        1.7175327596570675
 Average Error:      3.7126116800931874
