/tmp/tmp.TWKNoxeAdm ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N1dataset10k99.mat
  Evaluating with: datasets/N1dataset100k99.mat
Gen 0 Train time: 8.322637379169464 minutes:
 Average MSE:        1.5977335744403487
 Average Error:      3.624093769155441
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.7448716924731668  |0.6589923847562572  |49        
 [3, 8, 13, 0, 0]    |2.960785567697387   |1.926017939312688   |172       
 [18, 0, 0, 0, 0]    |0.727044549747078   |0.6057623543010525  |73        
 [14, 2, 4, 0, 0]    |0.9618837636308173  |0.7700023875358591  |89        
 [15, 17, 13, 17, 0] |6.204464080224652   |0.8251162825003769  |807       
 [7, 12, 0, 0, 0]    |1.4662898901705277  |1.059434554017036   |130       
 [20, 19, 10, 19, 5] |13.81086229137053   |1.2098004215150333  |974       
 [11, 18, 0, 0, 0]   |1.2306042008828413  |0.6297107254519033  |268       
 [11, 15, 11, 2, 0]  |3.2079220179319905  |1.1338550565967198  |416       
 [2, 19, 10, 14, 0]  |9.012106155701145   |3.0604709271133217  |432       
 [3, 19, 8, 0, 0]    |6.878191060402845   |3.6449975383361157  |254       
 [14, 19, 7, 0, 0]   |2.0250110956001204  |0.6175934906067403  |475       
 [13, 0, 0, 0, 0]    |0.7748300862502633  |0.6786759459803681  |53        
 [18, 12, 11, 7, 15] |3.7220346188970135  |0.7421309709558985  |645       
 [9, 6, 0, 0, 0]     |1.0033581519053962  |0.7932257066337671  |94        
 [7, 11, 18, 1, 16]  |8.9050349111749     |3.3338134772755863  |393       
 [2, 7, 5, 0, 0]     |4.932060064205666   |4.109316708428336   |73        
 [7, 10, 0, 0, 0]    |1.2610480381827245  |0.9530796044531421  |112       
 [14, 13, 0, 0, 0]   |1.0924272365784131  |0.5832741535684702  |251       
 [1, 16, 0, 0, 0]    |6.932193325221175   |6.087127285134727   |52        
 [19, 20, 11, 0, 0]  |3.6182970710822424  |0.6287657506171568  |700       
 [18, 11, 1, 0, 0]   |3.414038156297385   |1.7081241852748783  |277       
 [11, 17, 5, 0, 0]   |1.5716399638154772  |0.6836013431826637  |333       
 [4, 0, 0, 0, 0]     |1.876912622882938   |1.7988151623869206  |17        
 [4, 17, 0, 0, 0]    |2.26843361655933    |1.7016350050736975  |115       
Gen 1 Train time: 8.250133327643077 minutes:
 Average MSE:        0.9953012622883608
 Average Error:      2.155705382242072
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.7571516360099665  |0.6308471162487168  |73        
 [12, 0, 0, 0, 0]    |0.8051674488022318  |0.7123363964236145  |49        
 [13, 0, 0, 0, 0]    |0.7525972221091755  |0.6592021150456047  |53        
 [3, 13, 5, 4, 13]   |6.798895652595337   |3.787704621910168   |234       
 [8, 1, 8, 8, 10]    |5.106978697385174   |2.9317748086899362  |222       
 [11, 13, 0, 0, 0]   |0.9934700263916455  |0.5980676602764359  |203       
 [13, 4, 0, 0, 0]    |0.7364615516343046  |0.5735568331147783  |100       
 [8, 3, 7, 0, 0]     |1.0977488197748584  |0.8831692287770346  |87        
 [16, 10, 4, 0, 0]   |1.3771779539016014  |0.7064777606472216  |267       
 [17, 16, 20, 7, 18] |12.747565147334843  |1.0755587398272621  |989       
