/tmp/tmp.WOFEjrd2Gg ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N2dataset10k4.mat
  Evaluating with: datasets/N2dataset100k4.mat
Gen 0 Train time: 8.38584113518397 minutes:
 Average MSE:        0.7298789287629975
 Average Error:      1.4769479980317561
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.5305591807875449  |0.4376552537024042  |77        
 [4, 11, 5, 0, 0]    |0.9407837246648799  |0.6746629801578278  |133       
 [5, 9, 0, 0, 0]     |0.8610260011499498  |0.7067130423079833  |79        
 [14, 11, 11, 0, 0]  |1.3200441369447504  |0.5489022925102954  |351       
 [15, 17, 9, 6, 15]  |2.621305302102504   |0.503421443735884   |660       
 [11, 0, 0, 0, 0]    |0.6143771355050831  |0.5490057784114712  |45        
 [9, 6, 15, 0, 0]    |0.807069600592459   |0.4798194611943146  |208       
 [8, 6, 8, 0, 0]     |1.089174165999343   |0.7617931348019567  |143       
 [5, 17, 7, 7, 12]   |2.046935024324947   |0.7381144126346328  |408       
 [10, 5, 0, 0, 0]    |0.531142662786367   |0.42306703992322287 |91        
 [15, 15, 13, 0, 0]  |1.7951760050346792  |0.505404121101732   |507       
 [20, 15, 0, 0, 0]   |1.2134228496956927  |0.4565510150946938  |391       
 [3, 0, 0, 0, 0]     |3.591298174797364   |3.476457257242042   |13        
 [3, 12, 16, 8, 0]   |2.94506701923312    |1.056679636884485   |410       
 [11, 5, 1, 0, 0]    |0.6685515461758731  |0.5193684222500561  |101       
 [19, 2, 0, 0, 0]    |0.49177249958777625 |0.3829928077719423  |100       
 [19, 2, 3, 0, 0]    |0.637282439111264   |0.4840619753697295  |110       
 [7, 14, 0, 0, 0]    |0.7015287362677907  |0.4845699820688017  |148       
 [5, 4, 8, 0, 0]     |0.8025232989980327  |0.6440400332487839  |88        
 [11, 13, 0, 0, 0]   |0.9728881005829723  |0.5856773677810649  |203       
 [20, 5, 12, 6, 0]   |1.1568507083650694  |0.5172139845416617  |322       
 [3, 16, 0, 0, 0]    |0.9528192965176555  |0.7608416618162479  |90        
 [9, 4, 15, 18, 16]  |4.389990811667736   |0.6715459302163623  |751       
 [7, 16, 10, 5, 5]   |3.8803360069622856  |1.3922508438855121  |410       
 [17, 6, 17, 7, 0]   |1.3617755229387691  |0.4861633404218312  |412       
