/tmp/tmp.aJsQ3UkogX ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k3.mat
  Evaluating with: datasets/N3dataset100k3.mat
Gen 0 Train time: 8.516661910216014 minutes:
 Average MSE:        0.6926152079494274
 Average Error:      1.8827748584072765
 Structure           |Error               |MSE                 |weights&biases
 [19, 7, 3, 9, 0]    |0.4992411336856781  |0.2561054344139163  |267       
 [9, 10, 0, 0, 0]    |0.7079412814383923  |0.5013784245747455  |138       
 [7, 7, 11, 17, 17]  |2.7288769406442457  |0.48257938053312044 |693       
 [17, 8, 3, 0, 0]    |0.5252846120168849  |0.29855083917539443 |226       
 [14, 10, 10, 0, 0]  |0.6286205428888259  |0.2874439268617451  |313       
 [19, 12, 9, 11, 3]  |3.918368578197805   |0.9566433692864775  |564       
 [9, 0, 0, 0, 0]     |0.7107624873190355  |0.6479660607475369  |37        
 [8, 18, 10, 0, 0]   |1.583382984665738   |0.6017360936832729  |387       
 [15, 1, 17, 20, 18] |3.708974816148838   |0.4407645301178665  |852       
 [8, 12, 0, 0, 0]    |0.6257870921465827  |0.43550671048198514 |145       
 [18, 5, 13, 0, 0]   |0.49594191013129535 |0.27149909422903973 |241       
 [8, 13, 1, 15, 18]  |1.394776966006971   |0.407682954684066   |492       
 [8, 17, 7, 0, 0]    |0.96457612874233    |0.44327429744207    |311       
 [4, 18, 5, 1, 0]    |0.9115831404698602  |0.5460348506635297  |205       
 [6, 4, 12, 0, 0]    |0.7064333541492437  |0.5246486839993405  |119       
 [20, 20, 0, 0, 0]   |1.0323299419093288  |0.2950289851023048  |501       
 [9, 3, 18, 0, 0]    |0.7196500771627272  |0.497087014342117   |148       
 [9, 0, 0, 0, 0]     |0.49591884900470806 |0.4521040273975461  |37        
 [8, 9, 18, 0, 0]    |0.8519927361810997  |0.39844839876821114 |304       
 [2, 17, 0, 0, 0]    |1.4556562114266467  |1.2067813853328553  |75        
 [18, 18, 9, 19, 3]  |13.443878326211049  |1.7263750431425042  |821       
 [18, 17, 8, 0, 0]   |0.9505815322911457  |0.25266738413827255 |530       
 [10, 8, 12, 0, 0]   |0.632755059481716   |0.34813258389236873 |239       
 [2, 0, 0, 0, 0]     |3.150592188941566   |3.0804954106292777  |9         
 [1, 12, 20, 0, 0]   |4.225464568920192   |1.956445315096119   |308       
Gen 1 Train time: 8.829302485783895 minutes:
 Average MSE:        0.6447202164586056
 Average Error:      1.3616116086350964
 Structure           |Error               |MSE                 |weights&biases
 [9, 0, 0, 0, 0]     |0.5006564089882761  |0.4564230202184628  |37        
 [18, 5, 13, 0, 0]   |0.5936906966925017  |0.32501081903231244 |241       
 [19, 7, 3, 9, 0]    |0.6381779474365988  |0.32737855403664284 |267       
 [13, 6, 8, 5, 0]    |0.6533125185446593  |0.3676221350376143  |230       
 [19, 7, 6, 12, 12]  |1.19971484017322    |0.34544698057743883 |498       
 [14, 12, 5, 5, 20]  |0.9592486026268434  |0.305255848462899   |458       
 [13, 12, 6, 0, 0]   |0.6823922545855516  |0.32885096225269955 |292       
 [12, 11, 10, 0, 0]  |1.2201725434010806  |0.5621381042160025  |310       
 [8, 9, 17, 1, 20]   |2.5447818333345307  |1.0502675305202052  |354       
