/tmp/tmp.sEUkXo6ICI ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k4.mat
  Evaluating with: datasets/N3dataset100k4.mat
Gen 0 Train time: 8.388859208424886 minutes:
 Average MSE:        1.074126848015176
 Average Error:      2.2828729419313247
 Structure           |Error               |MSE                 |weights&biases
 [8, 0, 0, 0, 0]     |0.5780755881272829  |0.5322986134934012  |33        
 [2, 0, 0, 0, 0]     |2.6228198931661773  |2.564465395478524   |9         
 [3, 17, 15, 0, 0]   |1.8925696274457444  |0.7637120161451292  |363       
 [14, 18, 3, 0, 0]   |0.8316777298594883  |0.3273222049024103  |373       
 [18, 0, 0, 0, 0]    |0.37517900293989204 |0.31259338397386    |73        
 [7, 6, 7, 3, 16]    |0.5996807051783152  |0.34340048318827676 |223       
 [5, 14, 0, 0, 0]    |0.8002813631621447  |0.6018229925640793  |114       
 [16, 20, 5, 0, 0]   |1.0125965067064773  |0.2908399482078815  |499       
 [17, 8, 17, 7, 0]   |1.0882882545083858  |0.32615128304039886 |482       
 [17, 2, 0, 0, 0]    |0.46639461068016164 |0.3724236609700744  |90        
 [20, 17, 10, 2, 0]  |1.3922103506566585  |0.2940200444615497  |622       
 [9, 20, 0, 0, 0]    |0.5699267439740098  |0.3065889217572627  |248       
 [4, 14, 20, 1, 0]   |9.89448016364703    |3.5947593272858818  |405       
 [19, 8, 9, 0, 0]    |0.5892026266440253  |0.2728085160194851  |308       
 [1, 13, 19, 0, 0]   |5.566164620392013   |2.5324981806354065  |315       
 [2, 20, 0, 0, 0]    |1.9032419074371394  |1.5312106533734464  |87        
 [3, 16, 3, 0, 0]    |1.7368042327925626  |1.2611787212278298  |128       
 [5, 10, 0, 0, 0]    |0.5542764162239214  |0.4470468989975691  |86        
 [4, 8, 7, 3, 10]    |1.1572808179721823  |0.7196956468305152  |190       
 [19, 1, 14, 0, 0]   |0.44132933712637495 |0.3269448142646031  |120       
 [17, 0, 0, 0, 0]    |0.42387030102712453 |0.3567115652105181  |69        
 [9, 13, 10, 15, 3]  |8.75096402615904    |2.4209593051793017  |514       
 [20, 4, 8, 2, 2]    |3.932319389754161   |2.3203764311121615  |211       
 [18, 7, 2, 8, 20]   |1.0992528662480678  |0.37705309592001357 |428       
 [14, 6, 8, 16, 1]   |8.792936466454748   |3.656289096139818   |351       
Gen 1 Train time: 8.220178321997325 minutes:
 Average MSE:        0.6651219402527895
 Average Error:      1.2001031141739769
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.4325911123279244  |0.3604282718915021  |73        
 [17, 0, 0, 0, 0]    |0.6274469175398177  |0.5280331542450307  |69        
 [19, 1, 14, 0, 0]   |0.4542391346411142  |0.3365086274888335  |120       
 [2, 1, 15, 9, 8]    |4.743588740425581   |2.4031826606936835  |272       
 [17, 3, 19, 17, 7]  |5.11668133851546    |0.9950185018456175  |655       
 [5, 11, 14, 2, 10]  |2.403490141309222   |1.079957735460427   |320       
 [19, 1, 14, 13, 0]  |0.8890601627213416  |0.4055178562899502  |314       
 [14, 1, 7, 0, 0]    |0.36106537170882763 |0.29635528656697324 |79        
 [18, 1, 0, 0, 0]    |0.4577019594356587  |0.37944825182038555 |75        
 [6, 8, 4, 2, 20]    |1.9499933895591832  |1.179777643017668   |201       
 [5, 10, 8, 6, 11]   |1.2568448859800327  |0.5848525714180514  |306       
 [19, 5, 12, 0, 0]   |0.4540739060069688  |0.2479581478748088  |242       
 [3, 17, 3, 0, 0]    |1.8936993947273721  |1.351252942608225   |135       
 [17, 1, 0, 0, 0]    |0.4649856574744782  |0.38936085481962157 |71        
 [11, 7, 0, 0, 0]    |0.4193361430154371  |0.30679287601229793 |125       
 [13, 3, 4, 2, 8]    |0.49839619212636543 |0.35121386055260934 |140       
 [13, 10, 0, 0, 0]   |0.6046273172920477  |0.3760086933544587  |190       
 [12, 5, 0, 0, 0]    |0.4973486929174827  |0.3806161456376505  |107       
 [20, 0, 0, 0, 0]    |0.3938058591117095  |0.32161592190446925 |81        
 [1, 10, 0, 0, 0]    |2.7152317635084917  |2.493973729779582   |34        
 [13, 0, 0, 0, 0]    |0.5130614106762637  |0.44939199498800697 |53        
 [8, 3, 4, 6, 8]     |0.584574440799308   |0.3898975962336984  |162       
 [7, 5, 0, 0, 0]     |0.5886003296656632  |0.49782439575972315 |67        
 [19, 13, 6, 0, 0]   |0.7112389921655199  |0.25646918182868617 |408       
 [18, 18, 6, 0, 0]   |0.9708946006981551  |0.26659160422777783 |517       
Gen 2 Train time: 8.156196796894074 minutes:
 Average MSE:        0.5862602874306608
 Average Error:      0.9447216168948113
 Structure           |Error               |MSE                 |weights&biases
 [14, 1, 7, 0, 0]    |0.4190601262162648  |0.34395622932725795 |79        
 [20, 0, 0, 0, 0]    |0.43556027090681626 |0.3557161856063681  |81        
