/tmp/tmp.S3glIcZW55 ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N3dataset10k7.mat
  Evaluating with: datasets/N3dataset100k7.mat
Gen 0 Train time: 8.262389532725017 minutes:
 Average MSE:        0.724122877240681
 Average Error:      1.7886711298684934
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.4024486990663992  |0.3286744124667232  |81        
 [9, 16, 17, 2, 0]   |6.10984725986816    |1.6860723560848558  |515       
 [11, 0, 0, 0, 0]    |0.7465588643904189  |0.6671230206796244  |45        
 [14, 0, 0, 0, 0]    |0.6915213907381221  |0.599678743574971   |57        
 [3, 15, 19, 13, 0]  |6.706301010297557   |1.330490317074116   |647       
 [5, 10, 11, 2, 11]  |2.9537271499217437  |1.5228259913835622  |265       
 [19, 11, 15, 1, 9]  |1.3537851580969804  |0.3868974879302647  |501       
 [20, 17, 11, 13, 6] |2.9532643300361103  |0.3422927585743909  |862       
 [9, 19, 14, 4, 0]   |2.149100682970851   |0.5273185086015314  |562       
 [20, 16, 1, 12, 14] |4.779303140722722   |0.9795076313273002  |634       
 [12, 2, 0, 0, 0]    |0.5363834955158517  |0.4559346017198167  |65        
 [19, 9, 0, 0, 0]    |0.5379692048462659  |0.2901219403190668  |247       
 [4, 19, 0, 0, 0]    |0.7489458321358359  |0.5452076114996792  |127       
 [20, 0, 0, 0, 0]    |0.45799042475276397 |0.3740345890549496  |81        
 [11, 0, 0, 0, 0]    |0.3780554918779569  |0.3378293846019472  |45        
 [11, 1, 0, 0, 0]    |0.4317323512027485  |0.383870723685909   |47        
 [7, 3, 5, 0, 0]     |0.484966819023899   |0.40609230022253373 |71        
 [13, 0, 0, 0, 0]    |0.4809467204189406  |0.4212626435637058  |53        
 [8, 2, 0, 0, 0]     |0.4674959989463172  |0.41775318444227444 |45        
 [8, 1, 2, 10, 0]    |0.6568524085841414  |0.5404809270106041  |78        
 [1, 7, 12, 16, 0]   |5.990623971366187   |2.573316607173986   |338       
 [10, 18, 0, 0, 0]   |0.6349048709496925  |0.3423984708020412  |247       
 [19, 5, 0, 0, 0]    |0.5062569954678358  |0.3368185764351109  |163       
 [10, 18, 17, 0, 0]  |1.4963113166182695  |0.3607763496280233  |569       
 [2, 4, 0, 0, 0]     |2.061484658896572   |1.9462927931600404  |23        
Gen 1 Train time: 7.986609768867493 minutes:
 Average MSE:        0.5433001797763567
 Average Error:      1.1367630868450305
 Structure           |Error               |MSE                 |weights&biases
 [11, 0, 0, 0, 0]    |0.574818116838902   |0.5136559442771557  |45        
 [20, 0, 0, 0, 0]    |0.4090134967749974  |0.3340357940163264  |81        
 [11, 1, 0, 0, 0]    |0.5890112565899337  |0.523713770108792   |47        
 [15, 3, 0, 0, 0]    |0.4972268260677534  |0.390155864738997   |97        
 [8, 10, 0, 0, 0]    |0.5750741760823058  |0.420733255025428   |125       
 [13, 1, 14, 0, 0]   |0.4359828778087433  |0.34295627863233225 |96        
 [5, 6, 9, 0, 0]     |0.8326456548364011  |0.6107014211531385  |124       
 [19, 9, 16, 0, 0]   |0.7383257955416672  |0.2622728002938022  |414       
 [10, 2, 0, 0, 0]    |0.33778632392926844 |0.29439238426362435 |55        
 [16, 6, 13, 0, 0]   |0.6978765365165749  |0.36890612406120005 |255       
 [10, 1, 0, 0, 0]    |0.44212204703176217 |0.3970594304971151  |43        
 [11, 10, 0, 0, 0]   |0.46663776322983797 |0.3096842682905345  |164       
 [10, 0, 0, 0, 0]    |0.47749325222742006 |0.4309749761149318  |41        
 [19, 7, 0, 0, 0]    |0.44799254829965574 |0.2683458407129948  |205       
 [12, 0, 0, 0, 0]    |0.47282978949940424 |0.41831530680330725 |49        
 [8, 11, 12, 0, 0]   |0.7847251291927296  |0.3896829666729247  |280       
 [20, 17, 0, 0, 0]   |0.7941164892818717  |0.26766338433040615 |435       
 [5, 1, 1, 9, 10]    |1.8840820705472647  |1.2884510198361858  |152       
 [20, 5, 0, 0, 0]    |0.5579977217737887  |0.3638911845973231  |171       
 [20, 6, 0, 0, 0]    |0.45416898433254227 |0.28033052151129867 |193       
 [11, 1, 12, 5, 0]   |0.5600239400442635  |0.3946422005065393  |140       
 [11, 9, 0, 0, 0]    |0.49854476246832186 |0.34178892893848845 |151       
 [10, 3, 3, 0, 0]    |0.43618933537547877 |0.3580155440297993  |79        
 [11, 10, 18, 17, 0] |2.08672610613512    |0.3699440064949054  |692       
 [14, 4, 16, 15, 3]  |12.36766617069975   |3.642191278501368   |489       
Gen 2 Train time: 8.069702859719595 minutes:
 Average MSE:        0.34396813774858725
 Average Error:      0.5252914507657805
 Structure           |Error               |MSE                 |weights&biases
 [10, 2, 0, 0, 0]    |0.3799706662281424  |0.3311574876091311  |55        
 [20, 0, 0, 0, 0]    |0.5710910102072073  |0.466402308369526   |81        
 [13, 1, 14, 0, 0]   |0.3917376442559076  |0.308151745200275   |96        
 [11, 1, 0, 0, 0]    |0.45790110093609465 |0.40713841921558114 |47        
 [17, 4, 7, 0, 0]    |0.3985581637951905  |0.2631840097577786  |166       
 [14, 6, 6, 0, 0]    |0.4855662767286164  |0.30883766742928254 |181       
 [16, 8, 0, 0, 0]    |0.44346453253658574 |0.2737233231821061  |193       
 [9, 7, 2, 10, 0]    |0.5013815592409944  |0.3411654009667828  |154       
 [20, 8, 8, 0, 0]    |0.4801795917615841  |0.2217742967574945  |309       
 [16, 3, 0, 0, 0]    |0.5023732629667499  |0.3883253018244495  |103       
 [12, 1, 7, 6, 0]    |0.48456683558610186 |0.3607753153322527  |118       
 [14, 8, 7, 0, 0]    |0.523262672779511   |0.29224239576547045 |233       
 [11, 5, 0, 0, 0]    |0.535193193474154   |0.4178522039814502  |99        
 [18, 2, 0, 0, 0]    |0.396461155369777   |0.3126480345193717  |95        
 [11, 1, 10, 17, 0]  |0.8232876666742656  |0.41918220149421004 |270       
 [11, 6, 0, 0, 0]    |0.49410683689450324 |0.37343791386698155 |112       
 [13, 3, 2, 0, 0]    |0.45334742878582496 |0.3601997657788252  |92        
 [16, 8, 0, 0, 0]    |0.5481224862493935  |0.33832222745940677 |193       
 [13, 6, 0, 0, 0]    |0.40257923867261364 |0.2908745119493637  |130       
 [11, 6, 2, 0, 0]    |0.5401424994733546  |0.3981516618641271  |122       
 [10, 6, 6, 3, 0]    |0.6371047314499417  |0.42387307357351184 |163       
 [13, 5, 8, 0, 0]    |0.4456652396267944  |0.29429070943561086 |166       
 [16, 18, 7, 0, 0]   |1.0642383873001986  |0.30874469111372943 |495       
 [9, 6, 5, 0, 0]     |0.5746935737665598  |0.41731318520302557 |128       
 [16, 14, 0, 0, 0]   |0.5972905143844466  |0.2814355920649374  |301       
Increasing Epochs
Gen 3 Train time: 9.62561956246694 minutes:
 Average MSE:        0.49558125235499056
 Average Error:      0.862905605884532
 Structure           |Error               |MSE                 |weights&biases
 [10, 2, 0, 0, 0]    |0.43453129220866055 |0.3787089473085     |55        
 [13, 1, 14, 0, 0]   |0.4160553084796523  |0.3272806973947339  |96        
 [18, 2, 0, 0, 0]    |0.44305173837635226 |0.34938922342735274 |95        
 [13, 5, 1, 0, 0]    |0.5106222242479654  |0.3811260001883271  |117       
 [16, 5, 9, 9, 0]    |0.6791209697526143  |0.3313911071298821  |287       
 [15, 7, 4, 19, 1]   |7.836602757807191   |3.6466371667745654  |306       
 [10, 6, 1, 5, 0]    |0.42829466744771777 |0.31808270705308245 |119       
 [12, 5, 4, 0, 0]    |0.5303006258982892  |0.3831567078650254  |130       
 [14, 5, 4, 3, 0]    |0.628044014613843   |0.4209904927883589  |160       
 [14, 7, 0, 0, 0]    |0.41495666134974113 |0.28165251203464753 |155       
 [13, 3, 11, 0, 0]   |0.4937122466745756  |0.35053229809533065 |137       
 [15, 2, 7, 0, 0]    |0.44830328527822916 |0.34394094785918083 |106       
 [14, 3, 4, 0, 0]    |0.6047583410760078  |0.461660116606597   |108       
 [19, 8, 8, 15, 0]   |1.0625819210221472  |0.35370279556862927 |440       
 [12, 1, 7, 6, 0]    |0.529015731528637   |0.3938689223894555  |118       
 [11, 4, 3, 2, 0]    |0.5740455219530124  |0.43931148728797337 |107       
 [15, 4, 0, 0, 0]    |0.5498500502381881  |0.41349507551734616 |114       
 [15, 7, 4, 0, 0]    |0.5815159176097995  |0.35803772034616455 |194       
 [12, 2, 1, 0, 0]    |0.43663125548213083 |0.3692925062642577  |67        
 [11, 2, 1, 20, 0]   |0.5470286371370564  |0.40423692501952113 |121       
 [14, 5, 4, 0, 0]    |0.4859821072917833  |0.3373671512685785  |146       
 [13, 19, 7, 0, 0]   |1.2954951481541488  |0.41744310303241444 |453       
 [11, 6, 1, 0, 0]    |0.4258291912058614  |0.3202296216921017  |114       
 [17, 7, 4, 0, 0]    |0.4809864476925328  |0.28169899138935167 |214       
 [13, 19, 0, 0, 0]   |0.7353240845871588  |0.32629808457338416 |325       
Increasing Epochs
Gen 4 Train time: 11.167687515417734 minutes:
 Average MSE:        0.41524923106389744
 Average Error:      0.6774585700348982
 Structure           |Error               |MSE                 |weights&biases
 [14, 7, 0, 0, 0]    |0.4699232200230706  |0.31896115356334614 |155       
 [13, 1, 14, 0, 0]   |0.45055819833668087 |0.3544216318435832  |96        
 [11, 6, 1, 0, 0]    |1.305997277849435   |0.9821285690450866  |114       
 [5, 12, 3, 7, 9]    |1.1902097511278753  |0.6597657396072485  |236       
 [13, 17, 1, 6, 0]   |0.8074331007298702  |0.3682861451167624  |314       
 [12, 5, 0, 0, 0]    |0.43784628063789893 |0.3350795248713522  |107       
 [12, 4, 5, 3, 0]    |0.47702451112160976 |0.34038178189422863 |135       
 [14, 3, 4, 3, 0]    |0.4811821010751663  |0.3546905740413798  |122       
 [15, 6, 2, 0, 0]    |0.3941255623666502  |0.2655145243241469  |158       
 [14, 2, 9, 12, 10]  |0.9124998169598059  |0.37099474009470723 |360       
 [14, 2, 11, 0, 0]   |0.3524122212804671  |0.2630388062562736  |117       
 [15, 4, 9, 0, 0]    |0.5041561625877976  |0.33458336340915873 |164       
 [14, 7, 3, 0, 0]    |0.6129024553258472  |0.39571956712517015 |175       
 [12, 4, 1, 15, 0]   |0.4833514568330426  |0.34146461011549134 |139       
 [15, 13, 4, 0, 0]   |0.6139559162586986  |0.28003738943344647 |314       
 [13, 6, 4, 1, 0]    |0.628090288667621   |0.4231318903214355  |158       
 [14, 5, 2, 9, 0]    |0.4647706685254977  |0.3069067937175697  |166       
 [14, 3, 9, 0, 0]    |0.5013584274062162  |0.35953850166956103 |133       
 [14, 4, 1, 3, 0]    |0.49613574277786    |0.37031335930174    |117       
 [15, 4, 6, 0, 0]    |0.49635799962223215 |0.34457006097424664 |146       
 [6, 1, 8, 11, 13]   |2.5030572607247596  |1.1531679440728109  |310       
 [14, 4, 14, 3, 0]   |0.5647818263106908  |0.32503715811291645 |221       
 [13, 3, 3, 0, 0]    |0.39634970469105446 |0.31100124463460277 |97        
 [13, 4, 14, 4, 6]   |0.9233090114363035  |0.4796055373056819  |262       
