/tmp/tmp.VxLkHCE38D ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k0.mat
  Evaluating with: datasets/N4dataset100k0.mat
Gen 0 Train time: 8.961187720298767 minutes:
 Average MSE:        0.7906972627825145
 Average Error:      2.1752421636838863
 Structure           |Error               |MSE                 |weights&biases
 [19, 12, 17, 0, 0]  |0.8109812577446031  |0.21235192964024924 |536       
 [2, 13, 0, 0, 0]    |2.1689724735430382  |1.8715248771732909  |59        
 [4, 12, 16, 0, 0]   |0.9142754678330224  |0.43512437648390756 |297       
 [6, 19, 20, 11, 18] |20.950889298983032  |1.6481955675987638  |1017      
 [6, 12, 2, 12, 11]  |3.9049274748233107  |1.7589889974460733  |319       
 [1, 7, 0, 0, 0]     |2.025361615897629   |1.9026511588952424  |25        
 [2, 0, 0, 0, 0]     |2.497912922384126   |2.4423374502623014  |9         
 [5, 10, 20, 1, 10]  |1.1370352622698625  |0.4775550812635404  |347       
 [11, 9, 14, 7, 15]  |1.3089813044459115  |0.354959778653894   |522       
 [5, 1, 0, 0, 0]     |0.5999250546406745  |0.5664023766775312  |23        
 [9, 7, 0, 0, 0]     |0.5678121275178412  |0.4367192772821803  |105       
 [16, 10, 17, 0, 0]  |0.7954006662983998  |0.27626097221345536 |423       
 [16, 11, 5, 8, 0]   |0.6427113868110637  |0.2665857003924001  |352       
 [10, 18, 11, 3, 0]  |1.012141514303695   |0.30714614490154146 |477       
 [20, 12, 15, 7, 0]  |1.277501351319951   |0.266443277849509   |627       
 [7, 11, 13, 0, 0]   |1.9597905499326664  |0.9756392373657844  |279       
 [12, 12, 1, 14, 0]  |0.5351611226184874  |0.28788694912953683 |248       
 [7, 3, 8, 17, 0]    |0.7898421088900608  |0.4248911690554554  |248       
 [2, 13, 0, 0, 0]    |2.9575186574139902  |2.5519317601171965  |59        
 [20, 0, 0, 0, 0]    |0.34257786774605564 |0.279778713825487   |81        
 [11, 20, 14, 17, 0] |2.701589562508839   |0.33082700843036833 |840       
