/tmp/tmp.AJO5gwLmBH ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k5.mat
  Evaluating with: datasets/N4dataset100k5.mat
Gen 0 Train time: 8.58271507024765 minutes:
 Average MSE:        0.754707557199896
 Average Error:      1.5802172205117992
 Structure           |Error               |MSE                 |weights&biases
 [10, 8, 0, 0, 0]    |0.370266824346169   |0.2695419111201257  |127       
 [18, 6, 6, 16, 0]   |0.5984296935991924  |0.25641803120479884 |339       
 [1, 7, 0, 0, 0]     |2.0528768145634064  |1.9284992959477818  |25        
 [3, 11, 3, 0, 0]    |2.3531139837709616  |1.8649598980220738  |93        
 [18, 11, 9, 0, 0]   |0.7752997993860562  |0.2990915735242835  |381       
 [8, 18, 5, 2, 0]    |2.249027564094176   |1.0730423472197066  |296       
 [15, 11, 13, 5, 10] |0.9770121008124496  |0.26760152783850893 |518       
 [11, 19, 0, 0, 0]   |0.5361503763562874  |0.2655796178477942  |281       
 [6, 19, 17, 12, 0]  |2.063222167178053   |0.3410483303886645  |720       
 [6, 4, 8, 18, 0]    |1.1381510382008144  |0.5838594747094483  |267       
 [9, 1, 19, 0, 0]    |0.39661396979058056 |0.31276854349651445 |95        
 [2, 0, 0, 0, 0]     |3.654899746694643   |3.5735827491482985  |9         
 [9, 16, 4, 8, 0]    |0.6999663541403711  |0.3273507638679802  |304       
 [3, 9, 16, 0, 0]    |1.3098337592259204  |0.7519392279502523  |222       
 [20, 2, 15, 3, 9]   |0.45613776020311325 |0.24970865782652366 |241       
 [2, 6, 18, 0, 0]    |1.0708162678775732  |0.7018196792018869  |169       
 [20, 14, 14, 13, 19]|3.6729529242866716  |0.26941453858168035 |1045      
 [7, 15, 18, 14, 0]  |5.467585335709603   |0.9266652231287816  |710       
 [12, 16, 3, 18, 0]  |0.7640428568951217  |0.29108749235788806 |386       
 [16, 7, 12, 1, 0]   |5.802845112319645   |2.896051721174171   |278       
 [8, 16, 19, 0, 0]   |1.0956642735160058  |0.3053980784332992  |511       
 [20, 0, 0, 0, 0]    |0.33087775986811124 |0.27022339387663014 |81        
 [18, 1, 20, 11, 0]  |0.7223357370788033  |0.2966313258500163  |356       
 [14, 4, 0, 0, 0]    |0.40011770435637467 |0.306206210254936   |107       
 [14, 18, 0, 0, 0]   |0.5471905885248739  |0.23919931702535574 |331       
Gen 1 Train time: 8.492395110925038 minutes:
 Average MSE:        0.3712981819547892
 Average Error:      0.700727277172393
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.3818421836478012  |0.3118453498709047  |81        
 [10, 8, 0, 0, 0]    |0.5057219904614133  |0.36814875879077313 |127       
 [9, 1, 19, 0, 0]    |0.4422374446776312  |0.3487470739481958  |95        
 [17, 9, 10, 11, 5]  |1.056169550469739   |0.30259764250725085 |500       
 [20, 9, 0, 0, 0]    |0.48267025785716394 |0.25260669768819227 |259       
 [11, 4, 2, 0, 0]    |0.4031542972598757  |0.3187220353162158  |94        
 [15, 4, 0, 0, 0]    |0.3224890404399251  |0.2425163552726035  |114       
 [11, 12, 2, 9, 0]   |0.5892612909542517  |0.32339345317548107 |240       
 [15, 15, 7, 19, 10] |1.9250808287218852  |0.28793168144389836 |760       
 [10, 5, 10, 0, 0]   |0.5829385689417811  |0.3946825655121552  |156       
 [14, 11, 0, 0, 0]   |0.4250295996285561  |0.2458345657328982  |219       
 [6, 5, 18, 13, 0]   |0.9798497291198146  |0.34117625557754844 |422       
 [20, 1, 8, 2, 5]    |2.2364179357312257  |1.5918159159475038  |136       
 [10, 12, 2, 4, 0]   |0.43333284898164026 |0.2595647363106482  |205       
 [14, 4, 0, 0, 0]    |0.37189810177673815 |0.2846100212667212  |107       
 [8, 3, 14, 9, 0]    |0.6858297663283756  |0.365267310432969   |252       
 [15, 1, 10, 0, 0]   |0.321141727715959   |0.2551578938363057  |92        
 [18, 14, 7, 3, 5]   |0.9731987528050998  |0.29680885013664915 |475       
 [12, 6, 9, 0, 0]    |0.4517655990760517  |0.28306129355865806 |187       
 [20, 1, 8, 2, 5]    |1.3086986664555782  |0.9314928722220838  |136       
 [16, 15, 0, 0, 0]   |0.49535461884768045 |0.22313431683557416 |319       
 [19, 1, 10, 6, 0]   |0.43181189458814656 |0.28230556954140484 |170       
 [20, 13, 0, 0, 0]   |0.5319507732960664  |0.2234194516205898  |347       
 [10, 5, 10, 18, 0]  |0.6896533117116442  |0.2789936507873684  |362       
 [20, 2, 15, 3, 9]   |0.49068314981578365 |0.2686202315371348  |241       
Gen 2 Train time: 8.819292775789897 minutes:
 Average MSE:        0.664687091530532
 Average Error:      1.400768667549894
 Structure           |Error               |MSE                 |weights&biases
 [15, 1, 10, 0, 0]   |0.3189534197392301  |0.2534192096161685  |92        
 [15, 4, 0, 0, 0]    |0.3530429729259492  |0.2654933480276057  |114       
 [14, 4, 0, 0, 0]    |0.32281763304435845 |0.2470492131233951  |107       
 [17, 3, 8, 2, 5]    |0.42492179809533703 |0.27366511408553407 |176       
 [5, 3, 8, 6, 10]    |1.800288132551191   |1.0919299487090988  |200       
 [12, 9, 7, 5, 0]    |0.6449728843319256  |0.3292140924692971  |269       
 [15, 5, 17, 3, 0]   |0.5139288516369708  |0.2520392514071527  |285       
 [20, 2, 13, 15, 5]  |7.312590407842614   |2.4524746498398082  |437       
 [11, 3, 14, 7, 0]   |0.6211640283244431  |0.3426108252874271  |238       
 [15, 7, 11, 0, 0]   |0.4521773150259782  |0.23783434282818589 |257       
 [19, 11, 5, 6, 3]   |0.6778720591681673  |0.25062519267582894 |398       
 [15, 3, 5, 10, 0]   |0.4082013061319185  |0.2576908086356462  |184       
 [20, 1, 20, 3, 0]   |0.481491177024323   |0.3009330777983093  |188       
 [5, 14, 18, 9, 12]  |6.1099792159964466  |1.1358978228057868  |673       
 [15, 3, 5, 0, 0]    |0.2832732024428499  |0.21037924101545497 |119       
 [16, 3, 5, 0, 0]    |0.3984187778792207  |0.29148940476225843 |125       
 [13, 7, 6, 2, 5]    |1.1945207952124177  |0.6891785462933525  |220       
 [3, 13, 0, 0, 0]    |2.995916690371445   |2.4837021719605827  |75        
 [13, 6, 20, 0, 0]   |0.5610463418209068  |0.2758351784629501  |284       
 [9, 2, 5, 20, 1]    |5.963964253706403   |3.572392013477433   |205       
 [16, 4, 10, 3, 0]   |0.453981737466238   |0.27329641390471987 |203       
 [15, 15, 6, 5, 0]   |0.7182180503124066  |0.2500780862734016  |422       
 [16, 3, 5, 19, 0]   |0.5174813201650976  |0.2749181530758577  |253       
