/tmp/tmp.cuR4Hq42KU ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N4dataset10k7.mat
  Evaluating with: datasets/N4dataset100k7.mat
Gen 0 Train time: 8.72429940700531 minutes:
 Average MSE:        1.1447965751733886
 Average Error:      2.3692167555525305
 Structure           |Error               |MSE                 |weights&biases
 [3, 5, 11, 14, 0]   |1.3383568885330157  |0.667939725351719   |278       
 [5, 0, 0, 0, 0]     |1.0973928101653911  |1.041265909821      |21        
 [4, 14, 12, 6, 20]  |1.7857728810488     |0.5103550128020222  |501       
 [11, 0, 0, 0, 0]    |0.8789227462792101  |0.7854030343884331  |45        
 [12, 1, 12, 6, 0]   |0.759172345515925   |0.5114392555238233  |158       
 [2, 9, 2, 12, 18]   |4.610689042689145   |1.9608485491629153  |342       
 [2, 12, 16, 17, 0]  |7.216752410347486   |1.793026630601641   |557       
 [9, 11, 17, 2, 0]   |2.758887586489398   |1.0669750087948284  |380       
 [13, 12, 18, 11, 0] |1.5011866186722573  |0.2868648369596171  |662       
 [17, 0, 0, 0, 0]    |0.3495662831975242  |0.2941804031140002  |69        
 [17, 14, 14, 0, 0]  |0.9010249152785837  |0.2406955628216992  |528       
 [7, 8, 2, 20, 0]    |0.49227083687108325 |0.3107625284767227  |184       
 [10, 3, 20, 6, 2]   |7.405146730634034   |3.622539367320564   |286       
 [7, 2, 7, 12, 12]   |3.7356590607904843  |1.6659978585904571  |323       
 [5, 14, 0, 0, 0]    |0.4026219645341757  |0.30277745643177306 |114       
 [8, 14, 4, 13, 2]   |7.342054058027094   |3.416506876247657   |306       
 [16, 7, 7, 2, 0]    |0.5839105973358347  |0.3188586446490162  |242       
 [2, 0, 0, 0, 0]     |3.148494510486394   |3.0784444029244993  |9         
 [1, 15, 6, 13, 0]   |4.548745654273328   |2.5341328678883235  |234       
 [18, 13, 11, 1, 0]  |3.0064900387549995  |0.9307852430366269  |469       
 [2, 3, 3, 5, 8]     |2.472403316964284   |1.9063504982913084  |104       
 [12, 14, 15, 0, 0]  |0.9364078008516921  |0.29724332107391765 |459       
 [11, 3, 1, 20, 0]   |0.46296364602734563 |0.3311755286000054  |134       
 [18, 7, 12, 11, 0]  |0.7038116054232636  |0.2354528578441671  |438       
 [6, 8, 5, 8, 0]     |0.7917145396225177  |0.5098929986179732  |176       
Gen 1 Train time: 8.649711175759633 minutes:
 Average MSE:        0.8162412341564549
 Average Error:      1.8459490895032846
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.42403452234934474 |0.35684976702543214 |69        
 [5, 14, 0, 0, 0]    |1.4632064611549263  |1.1003521158007246  |114       
 [11, 3, 1, 20, 0]   |0.41852202652565457 |0.29938474555125705 |134       
 [11, 11, 4, 1, 0]   |1.663093046165763   |0.9595212176304428  |220       
 [14, 5, 4, 11, 0]   |0.5120575173500129  |0.30442871580718694 |208       
 [9, 0, 0, 0, 0]     |0.7264149003475023  |0.6622355707346286  |37        
 [4, 4, 18, 17, 10]  |3.9963258505137764  |0.8149531937552725  |636       
 [9, 4, 18, 0, 0]    |0.44059077354357756 |0.2837565049552585  |176       
 [5, 14, 1, 0, 0]    |0.7481973404969514  |0.5598488112530434  |116       
 [10, 5, 4, 11, 9]   |1.0015393949978844  |0.4948692025237634  |282       
 [15, 16, 19, 10, 18]|3.807409919995293   |0.2820838665732322  |1041      
 [12, 4, 3, 4, 0]    |1.3022242836569748  |0.9551124371695637  |124       
 [9, 11, 6, 6, 0]    |0.6347966644575118  |0.333054031695064   |258       
 [11, 7, 0, 0, 0]    |0.37564979601228415 |0.274831261773205   |125       
 [15, 4, 6, 6, 0]    |0.5050389705865534  |0.31565050218775614 |188       
 [6, 4, 19, 4, 0]    |2.963383763649172   |1.684269230806556   |226       
 [14, 2, 1, 10, 0]   |0.34780542687066207 |0.2668383929290643  |106       
 [2, 19, 9, 1, 17]   |5.508427240468542   |2.569674263407341   |305       
 [3, 9, 20, 9, 2]    |11.51142848462881   |3.6723813585048424  |457       
 [17, 10, 0, 0, 0]   |0.42875300197073646 |0.23413104972122412 |242       
 [3, 15, 4, 7, 13]   |3.8586569765624383  |1.8876245550622273  |286       
 [11, 11, 4, 1, 3]   |1.5390869077853409  |0.8703927987220188  |228       
 [4, 10, 6, 7, 0]    |0.8532553097310266  |0.5373011890362406  |185       
 [15, 5, 7, 16, 0]   |0.6941316724741574  |0.31819413129950236 |312       
 [14, 0, 0, 0, 0]    |0.42469698528722616 |0.36829193998652343 |57        
Gen 2 Train time: 8.80903338988622 minutes:
 Average MSE:        0.5906360034217968
 Average Error:      0.9695998017652616
 Structure           |Error               |MSE                 |weights&biases
 [14, 2, 1, 10, 0]   |0.3713417841377572  |0.28489562626513715 |106       
 [11, 7, 0, 0, 0]    |0.3222705858378978  |0.23577819734879632 |125       
 [11, 3, 1, 20, 0]   |0.6047927286316279  |0.43263127313929184 |134       
 [15, 3, 4, 8, 15]   |0.5518473309407081  |0.2606742213557922  |300       
 [13, 5, 1, 5, 0]    |0.48385294620435043 |0.3487240878817667  |131       
 [10, 6, 2, 1, 2]    |3.8944247292573877  |2.8850607985073387  |120       
 [13, 2, 2, 2, 0]    |1.2334926709379221  |1.0048614941927263  |82        
 [13, 2, 1, 10, 0]   |0.36122087902592975 |0.28061668407857154 |101       
 [7, 6, 9, 3, 4]     |2.088863911565263   |1.321966413389679   |183       
 [16, 5, 0, 0, 0]    |0.42112989423678493 |0.2975080619095207  |139       
 [14, 3, 2, 6, 5]    |1.3052775674347208  |0.8881769511845323  |154       
 [16, 18, 2, 6, 0]   |0.7984454978588784  |0.28150964494357394 |417       
