/tmp/tmp.fw97toXHBo ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k5.mat
  Evaluating with: datasets/N5dataset100k5.mat
Gen 0 Train time: 7.8415074944496155 minutes:
 Average MSE:        0.6776985311772539
 Average Error:      1.1945873636477105
 Structure           |Error               |MSE                 |weights&biases
 [6, 0, 0, 0, 0]     |1.5869473607647884  |1.490799080699812   |25        
 [20, 0, 0, 0, 0]    |0.2828750455796819  |0.2310202259892507  |81        
 [7, 4, 0, 0, 0]     |0.46937855134062906 |0.4060229108176688  |58        
 [15, 19, 8, 12, 0]  |1.0848283545557784  |0.22456766275571344 |630       
 [16, 0, 0, 0, 0]    |0.3167004171510839  |0.26920045035951695 |65        
 [14, 12, 13, 15, 20]|2.7785111529401436  |0.2636626662480487  |942       
 [12, 17, 0, 0, 0]   |0.4195977285382383  |0.2109869879539049  |275       
 [5, 15, 1, 0, 0]    |2.412583994846296   |1.7739316779305132  |123       
 [13, 0, 0, 0, 0]    |0.31606523935343034 |0.276842470518649   |53        
 [15, 0, 0, 0, 0]    |0.30271451397314303 |0.25989823830132924 |61        
 [4, 2, 4, 3, 0]     |1.0969300541000004  |0.9608042528954666  |53        
 [6, 0, 0, 0, 0]     |1.8949202983551254  |1.7801128812652138  |25        
 [14, 13, 2, 1, 5]   |1.8927991961068502  |0.9305837417247123  |284       
 [6, 10, 17, 11, 5]  |3.833517839676732   |0.9962897775797493  |539       
 [19, 0, 0, 0, 0]    |0.28871611565383765 |0.2381602833766651  |77        
 [8, 0, 0, 0, 0]     |0.5769302516554821  |0.5312439745699725  |33        
 [5, 18, 5, 0, 0]    |3.0412763847032953  |1.7372046366118774  |224       
 [14, 1, 3, 10, 9]   |1.6580663818470451  |0.9759461124117802  |212       
 [11, 1, 0, 0, 0]    |0.3267918276108097  |0.2905638528364324  |47        
 [14, 0, 0, 0, 0]    |0.4023500411686089  |0.34891294817039403 |57        
 [11, 0, 0, 0, 0]    |0.5659754682585569  |0.5057541769643463  |45        
 [16, 16, 0, 0, 0]   |0.6967524809679633  |0.30004432901626643 |337       
 [2, 20, 0, 0, 0]    |1.557510539533607   |1.2530602240083617  |87        
 [7, 16, 0, 0, 0]    |0.4061549329309694  |0.2682004624213498  |166       
 [8, 17, 15, 6, 0]   |1.6557899195806676  |0.41864925400434966 |550       
Gen 1 Train time: 7.565164450804392 minutes:
 Average MSE:        0.5140030556775063
 Average Error:      0.8322143599737142
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.2901744674031302  |0.2369815651232426  |81        
 [19, 0, 0, 0, 0]    |0.29260635730237955 |0.24136932160898636 |77        
 [15, 0, 0, 0, 0]    |0.3443724254386112  |0.295664008693655   |61        
 [9, 3, 0, 0, 0]     |0.37772904801766966 |0.32430263368125234 |61        
 [11, 1, 0, 0, 0]    |0.3493412026920144  |0.3106134157356973  |47        
 [2, 13, 7, 16, 8]   |6.734941862486075   |2.38049673401589    |416       
 [18, 0, 0, 0, 0]    |0.31014806826807284 |0.2584106078249938  |73        
 [7, 0, 0, 0, 0]     |0.6041576590584216  |0.5619063442726968  |29        
 [15, 3, 0, 0, 0]    |0.3441476140552565  |0.2700401565648734  |97        
 [6, 0, 0, 0, 0]     |2.55068906604518    |2.396150627818347   |25        
 [13, 0, 0, 0, 0]    |0.3791163120876349  |0.3320690901250824  |53        
 [16, 8, 16, 12, 0]  |1.0070404951592928  |0.257822433460689   |545       
 [17, 6, 0, 0, 0]    |0.3924781736800692  |0.2591691473784759  |166       
 [14, 9, 0, 0, 0]    |0.35343384573208064 |0.22144988853720204 |187       
 [12, 2, 0, 0, 0]    |0.33066310593877124 |0.281068960491861   |65        
 [16, 0, 0, 0, 0]    |0.31381172236749283 |0.26674501331371436 |65        
 [13, 9, 0, 0, 0]    |0.4201549568559031  |0.2712724287653884  |175       
 [12, 0, 0, 0, 0]    |0.4946408644663373  |0.43761169361971797 |49        
