/tmp/tmp.G7DmG1mlMq ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k6.mat
  Evaluating with: datasets/N5dataset100k6.mat
Gen 0 Train time: 8.703288273016613 minutes:
 Average MSE:        1.0577679923782735
 Average Error:      2.184788924317789
 Structure           |Error               |MSE                 |weights&biases
 [14, 15, 3, 16, 13] |1.2380603599451936  |0.2667471505618513  |614       
 [12, 0, 0, 0, 0]    |0.5271684435870474  |0.4663890349413265  |49        
 [15, 10, 1, 19, 0]  |0.46629459270157164 |0.235054548284435   |274       
 [11, 12, 0, 0, 0]   |0.41976163278734663 |0.2610434867078081  |190       
 [16, 5, 0, 0, 0]    |0.29409810056922076 |0.20776619543998526 |139       
 [1, 16, 19, 0, 0]   |6.456629947840512   |2.509560157598058   |378       
 [18, 19, 0, 0, 0]   |0.6411844984378926  |0.21611642013286952 |435       
 [18, 13, 1, 2, 15]  |0.5965305733899683  |0.23070284447473677 |380       
 [1, 0, 0, 0, 0]     |3.60197731739208    |3.5572328365389216  |5         
 [3, 0, 0, 0, 0]     |2.550779757588182   |2.4692120699206166  |13        
 [2, 12, 12, 2, 18]  |3.8031246414526114  |1.809993045339898   |297       
 [3, 0, 0, 0, 0]     |2.0027600791662716  |1.9387167182588747  |13        
 [18, 16, 19, 1, 0]  |5.5106466397108544  |0.9504516120484265  |703       
 [17, 10, 18, 15, 0] |1.270268579996181   |0.20478970787906117 |730       
 [7, 7, 0, 0, 0]     |0.37598304058757415 |0.3040049662289904  |85        
 [15, 0, 0, 0, 0]    |0.27720256978103824 |0.23799473171307853 |61        
 [5, 17, 11, 2, 10]  |2.813945729085642   |1.0882682512120037  |380       
 [18, 3, 1, 0, 0]    |2.1201905800931997  |1.582500167551432   |117       
 [8, 0, 0, 0, 0]     |1.2851156483490267  |1.183349187968547   |33        
 [16, 13, 15, 20, 0] |1.7046240510066468  |0.21944461285979297 |820       
 [9, 0, 0, 0, 0]     |0.5600312701090793  |0.5105520655103675  |37        
 [2, 17, 1, 11, 4]   |4.26231945416945    |2.929446463632852   |150       
 [3, 12, 10, 20, 7]  |9.317743503351496   |2.2862672962007338  |562       
 [11, 20, 19, 4, 0]  |1.9673083810038579  |0.296462751559686   |757       
 [14, 0, 0, 0, 0]    |0.5559737158427804  |0.4821334868924779  |57        
Gen 1 Train time: 8.6056547164917 minutes:
 Average MSE:        0.49214764785011655
 Average Error:      0.9505631241888218
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.29253880438034535 |0.2511617923281154  |61        
 [16, 5, 0, 0, 0]    |0.2961415754989634  |0.20920981241951653 |139       
 [7, 7, 0, 0, 0]     |0.39951628403928685 |0.323033012998377   |85        
 [12, 6, 0, 0, 0]    |0.32130514717237657 |0.23743437887578872 |121       
