/tmp/tmp.PcwGsdebXV ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N5dataset10k7.mat
  Evaluating with: datasets/N5dataset100k7.mat
Gen 0 Train time: 8.325994837284089 minutes:
 Average MSE:        0.7817791666583119
 Average Error:      1.4926571483570112
 Structure           |Error               |MSE                 |weights&biases
 [4, 5, 0, 0, 0]     |2.0177909119757733  |1.8121306452600359  |43        
 [8, 4, 14, 3, 11]   |0.6562207444621776  |0.3683366143733295  |231       
 [20, 16, 8, 8, 20]  |1.6795041941671254  |0.224472657371739   |805       
 [8, 8, 15, 15, 20]  |3.71175151768599    |0.4874848199489995  |812       
 [20, 14, 20, 9, 0]  |1.4488929512541808  |0.171752598737611   |853       
 [7, 0, 0, 0, 0]     |1.2464490138060322  |1.1592795326994751  |29        
 [3, 7, 0, 0, 0]     |1.906051890845787   |1.7032429131109652  |45        
 [13, 12, 11, 0, 0]  |0.6288886670027906  |0.25441180686923354 |362       
 [20, 18, 11, 0, 0]  |1.4113790972418818  |0.2717337124750799  |659       
 [19, 16, 11, 0, 0]  |0.8287679451061178  |0.19635813170158026 |576       
 [3, 0, 0, 0, 0]     |3.69288851339761    |3.5747989856930444  |13        
 [12, 20, 0, 0, 0]   |0.5038686077005379  |0.2281071637723381  |317       
 [8, 0, 0, 0, 0]     |0.6884376690368859  |0.6339212799006418  |33        
 [9, 16, 3, 18, 0]   |2.3975898712130213  |1.0533378347926785  |329       
 [19, 18, 0, 0, 0]   |0.548726019178371   |0.1844907381738056  |436       
 [18, 4, 0, 0, 0]    |0.3142216629231152  |0.22421348807434988 |135       
 [18, 4, 0, 0, 0]    |0.3373699005670147  |0.24073095875612976 |135       
 [4, 11, 5, 0, 0]    |0.6924746092051688  |0.4965933947214114  |133       
 [14, 5, 19, 0, 0]   |0.44396095851351997 |0.23704183090992798 |251       
 [13, 0, 0, 0, 0]    |0.37176823389808794 |0.3256328868788164  |53        
 [1, 1, 13, 15, 1]   |6.8306528600975245  |3.5748394146014633  |259       
 [20, 11, 8, 19, 0]  |0.7308492921370089  |0.17229485317492996 |578       
 [4, 0, 0, 0, 0]     |1.3575403773903825  |1.3010537542506506  |17        
 [8, 20, 15, 15, 0]  |2.5379227778165108  |0.36562244188917115 |775       
 [16, 0, 0, 0, 0]    |0.3324604223026586  |0.28259670832039063 |65        
Gen 1 Train time: 8.325436433156332 minutes:
 Average MSE:        0.3706348260420614
 Average Error:      0.8252613945639411
 Structure           |Error               |MSE                 |weights&biases
 [18, 4, 0, 0, 0]    |0.31074898598464157 |0.22173555258738425 |135       
 [16, 0, 0, 0, 0]    |0.2916328954349189  |0.24789265355870213 |65        
