/tmp/tmp.1GMpnLZwsF ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k2.mat
  Evaluating with: datasets/N6dataset100k2.mat
Gen 0 Train time: 8.342764600118 minutes:
 Average MSE:        0.7668304450664195
 Average Error:      1.6269459674296554
 Structure           |Error               |MSE                 |weights&biases
 [18, 11, 4, 17, 0]  |0.5201523989760736  |0.1847718542177021  |414       
 [14, 4, 7, 12, 0]   |0.38451374875858796 |0.2078838573875846  |246       
 [18, 0, 0, 0, 0]    |0.26267056259009514 |0.2188530791620827  |73        
 [13, 0, 0, 0, 0]    |0.3961290133270243  |0.3469705650577358  |53        
 [1, 17, 8, 0, 0]    |3.0186145067952768  |1.8772312530045092  |190       
 [13, 14, 5, 9, 18]  |0.9786775900417212  |0.2395356511839303  |563       
 [17, 0, 0, 0, 0]    |0.30639026690376686 |0.2578452687241165  |69        
 [18, 1, 0, 0, 0]    |0.30192879839956166 |0.25030776549045647 |75        
 [16, 11, 0, 0, 0]   |0.5017405288482111  |0.2705841420937017  |247       
 [20, 3, 13, 6, 0]   |0.44951647517278326 |0.23117442344935787 |266       
 [17, 15, 6, 1, 3]   |0.5890889606428663  |0.19905421185208486 |434       
 [3, 5, 11, 0, 0]    |2.3518642372848477  |1.799858959731721   |107       
 [14, 6, 20, 0, 0]   |0.4859778754547941  |0.23361234565513808 |293       
 [13, 20, 18, 0, 0]  |1.2338905652312637  |0.20601057812157256 |716       
 [1, 0, 0, 0, 0]     |3.5535074166447824  |3.509365038568749   |5         
 [6, 8, 3, 11, 18]   |5.9177018323266255  |2.288618063132576   |380       
 [10, 11, 4, 1, 0]   |1.5389801435875827  |0.9195415508992412  |206       
 [8, 4, 14, 5, 0]    |0.9634511385167005  |0.5685116321342587  |211       
 [3, 9, 0, 0, 0]     |1.239645668552426   |1.0803937819686307  |55        
 [18, 13, 20, 11, 0] |1.6083155658010448  |0.20498620370497794 |824       
 [19, 15, 18, 18, 5] |10.165221268417362  |0.669631454747042   |1088      
