/tmp/tmp.6mtWGyngXN ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k3.mat
  Evaluating with: datasets/N6dataset100k3.mat
Gen 0 Train time: 8.154192094008128 minutes:
 Average MSE:        0.8743151910798197
 Average Error:      1.6207977055957152
 Structure           |Error               |MSE                 |weights&biases
 [2, 9, 15, 0, 0]    |3.199396750851358   |1.9453896217510938  |199       
 [19, 2, 16, 0, 0]   |0.31750383698074147 |0.21176769662474387 |162       
 [13, 0, 0, 0, 0]    |0.417923538679612   |0.3660604537615194  |53        
 [9, 19, 12, 1, 0]   |5.697149988862064   |1.750613062198984   |472       
 [20, 12, 12, 1, 17] |0.7421070661993101  |0.19578038118282887 |533       
 [5, 19, 0, 0, 0]    |0.6135735919070305  |0.42275812676498054 |149       
 [4, 5, 3, 0, 0]     |1.27672559478038    |1.101638559779507   |59        
 [10, 14, 17, 16, 0] |5.861001785334756   |0.9123975645145898  |744       
 [2, 0, 0, 0, 0]     |3.0911464040504986  |3.0223722209061075  |9         
 [4, 20, 1, 0, 0]    |0.8110820494495953  |0.5787491980337558  |135       
 [13, 0, 0, 0, 0]    |0.5636044544472754  |0.4936627953256944  |53        
 [2, 3, 15, 0, 0]    |1.534096935859222   |1.22194260616247    |91        
 [12, 0, 0, 0, 0]    |0.3013090105027813  |0.26656986080448875 |49        
 [4, 10, 7, 1, 0]    |2.578171774926784   |1.7763852362986667  |149       
 [18, 11, 15, 0, 0]  |0.661060415744116   |0.2098399791496469  |459       
 [4, 8, 19, 3, 0]    |2.231811855492535   |1.089058701819626   |287       
 [3, 12, 18, 0, 0]   |1.0297977763119117  |0.47443172921122495 |310       
 [1, 0, 0, 0, 0]     |2.4975154198095497  |2.466490784995068   |5         
 [9, 7, 8, 0, 0]     |0.3756255729968645  |0.24557265014743584 |170       
 [7, 16, 13, 0, 0]   |1.2947729686609177  |0.495759358653142   |384       
 [15, 18, 0, 0, 0]   |0.5175431871108851  |0.2146680700708184  |352       
 [20, 8, 5, 11, 6]   |2.229682209325529   |0.7841609928326031  |418       
 [4, 19, 0, 0, 0]    |1.4914454766364607  |1.0857226131829054  |127       
 [19, 7, 11, 7, 10]  |0.7661092400024853  |0.24257835474582862 |460       
 [7, 15, 0, 0, 0]    |0.4197857349702071  |0.28350915807776317 |157       
Gen 1 Train time: 8.286345624923706 minutes:
 Average MSE:        0.6122607131967426
 Average Error:      1.6294091548483767
 Structure           |Error               |MSE                 |weights&biases
 [12, 0, 0, 0, 0]    |0.38529951793434225 |0.34087675868839024 |49        
 [19, 2, 16, 0, 0]   |0.28676248005109867 |0.19126392441834866 |162       
 [9, 7, 8, 0, 0]     |0.3074400349922233  |0.20099500561717853 |170       
 [16, 1, 8, 0, 0]    |0.22494755935584018 |0.179624274515976   |90        
 [14, 6, 13, 1, 9]   |1.819335171270623   |0.9379779327019329  |265       
 [16, 13, 8, 0, 0]   |0.5799893813605984  |0.2187675597970435  |390       
 [10, 10, 0, 0, 0]   |1.3547199751079588  |0.9287597105849574  |151       
 [12, 14, 16, 0, 0]  |0.7063718633355065  |0.21543124661965277 |475       
 [9, 10, 0, 0, 0]    |0.4837812273037987  |0.3426237118021824  |138       
 [4, 16, 20, 0, 0]   |3.8256297947153435  |1.2327199950031842  |453       
 [16, 4, 6, 4, 5]    |0.3882742376167598  |0.23257479865663777 |205       
 [11, 4, 4, 0, 0]    |0.2764112307337793  |0.21206434085910458 |106       
 [11, 4, 4, 18, 0]   |0.35390729180343433 |0.20935575695485334 |210       
 [10, 8, 0, 0, 0]    |0.4724811481349393  |0.3439505331362276  |127       
 [14, 14, 6, 1, 9]   |0.5944430802879913  |0.2316262237019751  |377       
 [14, 9, 11, 0, 0]   |0.48933118320947866 |0.23172226629807274 |299       
 [16, 1, 4, 0, 0]    |0.2977536341129612  |0.24500200971027525 |78        
 [11, 4, 4, 9, 0]    |0.3605181572360925  |0.24409129673810667 |156       
 [18, 11, 15, 0, 0]  |0.7311930662771251  |0.23210214093555637 |459       
 [8, 3, 2, 0, 0]     |1.565134037554264   |1.3404045445576798  |62        
 [10, 12, 12, 18, 3] |16.540259900769943  |3.572613507697459   |613       
 [11, 14, 19, 7, 15] |1.759301334342102   |0.26182387374544935 |762       
 [7, 18, 11, 1, 4]   |5.24674789578831    |1.935002147392736   |399       
 [13, 0, 0, 0, 0]    |0.36683328196844134 |0.3213103480039659  |53        
 [8, 6, 9, 0, 0]     |1.318362385946455   |0.9038339217816189  |151       
Gen 2 Train time: 8.218669708569845 minutes:
 Average MSE:        0.6457206509147235
 Average Error:      2.156995860857801
 Structure           |Error               |MSE                 |weights&biases
 [16, 1, 8, 0, 0]    |0.24891573493391136 |0.19876325144913826 |90        
 [11, 4, 4, 0, 0]    |0.3403597618781612  |0.2611260344452907  |106       
 [19, 2, 16, 0, 0]   |0.34655803682032255 |0.23114617417579245 |162       
 [18, 8, 12, 0, 0]   |0.5145493755994559  |0.2271911011923608  |327       
 [13, 5, 2, 0, 0]    |0.2723701718871171  |0.1997690735368925  |124       
 [14, 8, 12, 0, 0]   |0.41456156434807895 |0.20432696702964473 |283       
 [14, 3, 6, 0, 0]    |0.2788251041617566  |0.20759409742690016 |118       
 [10, 7, 2, 0, 0]    |0.34480437940527103 |0.2516343998892135  |126       
 [13, 4, 8, 0, 0]    |0.29860866603890085 |0.20833219705499184 |144       
 [7, 5, 6, 19, 1]    |6.767624448866685   |3.6043812937602175  |252       
 [9, 1, 4, 15, 2]    |5.019675875804855   |3.4071132041149452  |155       
 [13, 4, 2, 0, 0]    |0.2821373633640851  |0.21537787777840833 |108       
 [15, 3, 10, 0, 0]   |0.3042068130198127  |0.21223789167344007 |144       
 [12, 7, 2, 5, 0]    |0.3296979698603993  |0.21880414016729066 |164       
 [12, 3, 6, 8, 0]    |0.3712034334815921  |0.24634925148151918 |164       
