/tmp/tmp.WReJuuNa2M ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N6dataset10k5.mat
  Evaluating with: datasets/N6dataset100k5.mat
Gen 0 Train time: 8.36795384089152 minutes:
 Average MSE:        0.43602407432177614
 Average Error:      1.2099413241406936
 Structure           |Error               |MSE                 |weights&biases
 [10, 0, 0, 0, 0]    |0.39734622745457066 |0.3586360227872515  |41        
 [7, 7, 12, 17, 0]   |1.6656821993398736  |0.5946601392604609  |412       
 [9, 13, 18, 9, 8]   |2.6127390772439867  |0.4906123991308576  |669       
 [13, 0, 0, 0, 0]    |0.5120567724303954  |0.44851202940073565 |53        
 [19, 0, 0, 0, 0]    |0.30043000141715137 |0.2478230011869087  |77        
 [19, 7, 4, 0, 0]    |0.32262130730436894 |0.17973422144477066 |234       
 [10, 10, 0, 0, 0]   |0.37571140083494853 |0.2575776679421354  |151       
 [20, 17, 0, 0, 0]   |0.47507519774738444 |0.1601279370933278  |435       
 [20, 6, 20, 0, 0]   |0.47029516081680833 |0.1975240796783806  |347       
 [9, 6, 2, 1, 0]     |1.1778594513084615  |0.9036607792791482  |106       
 [5, 8, 0, 0, 0]     |0.5608010297822319  |0.46842039470586394 |72        
 [14, 5, 10, 7, 0]   |0.4693361108704433  |0.24379291747712656 |262       
 [3, 1, 7, 0, 0]     |0.6054129467067445  |0.5546907669144863  |35        
 [8, 11, 3, 6, 0]    |0.3906650289932784  |0.24294874361439361 |190       
 [13, 13, 20, 0, 0]  |0.8150291872934069  |0.22101353085450817 |522       
 [18, 7, 14, 19, 0]  |0.8646336757365879  |0.19100620624990577 |604       
 [8, 8, 13, 0, 0]    |0.5458425869267365  |0.3094605535576806  |227       
 [17, 18, 12, 0, 0]  |0.9401838661555847  |0.20155765277030868 |616       
 [10, 7, 13, 0, 0]   |0.532500516219369   |0.3034096483021468  |225       
 [7, 6, 10, 0, 0]    |0.37070974211560953 |0.2547848312994246  |150       
 [16, 0, 0, 0, 0]    |0.28311156792888986 |0.24064938806849717 |65        
 [6, 18, 18, 14, 15] |4.6699006901839955  |0.39009608670767937 |993       
 [18, 20, 2, 9, 17]  |1.2376040865255147  |0.21995711625307704 |691       
 [4, 16, 17, 17, 11] |7.018785078068533   |0.7453436716502807  |897       
 [6, 0, 0, 0, 0]     |2.634200194112468   |2.4746020724150464  |25        
Gen 1 Train time: 8.259435188770293 minutes:
 Average MSE:        0.36016635192246127
 Average Error:      0.6717073316908987
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.2943677764835865  |0.25021734645492205 |65        
 [19, 0, 0, 0, 0]    |0.3335507515562826  |0.27514411979131925 |77        
 [19, 7, 4, 0, 0]    |0.3591285310665217  |0.20007260980115465 |234       
 [9, 9, 8, 3, 0]     |0.4516338124421745  |0.25541040991290515 |228       
 [10, 5, 15, 0, 0]   |0.3419361062920362  |0.21211400634399658 |191       
 [15, 3, 5, 4, 0]    |0.30931775170184    |0.2168853930063134  |142       
 [13, 7, 10, 0, 0]   |0.4840379701454404  |0.2737357854137336  |228       
 [9, 8, 5, 0, 0]     |0.7027561778790357  |0.4734328094959329  |158       
 [18, 9, 0, 0, 0]    |0.388876317789262   |0.21610433942259083 |235       
 [12, 7, 10, 0, 0]   |0.3533551351317294  |0.20489007170707435 |218       
 [12, 4, 0, 0, 0]    |1.1005007883874145  |0.872201623992377   |93        
 [12, 13, 5, 4, 0]   |1.7927735416993789  |0.8384199966844491  |304       
 [15, 9, 2, 0, 0]    |0.4150945326038916  |0.24432670477696466 |212       
 [20, 12, 2, 0, 0]   |0.4375458684227591  |0.1865466874133262  |341       
 [9, 4, 7, 0, 0]     |1.178001541914263   |0.8947771323541035  |110       
 [18, 16, 0, 0, 0]   |0.5212965074616588  |0.20414264548894953 |375       
 [12, 12, 10, 0, 0]  |0.49556717781196946 |0.2155521596479832  |333       
 [14, 5, 10, 7, 4]   |2.63217201712016    |1.2716424941762137  |291       
 [17, 19, 6, 0, 0]   |0.76129816620411    |0.2074779542691118  |520       
 [10, 12, 7, 0, 0]   |0.6426349585635293  |0.33464720146888216 |261       
 [20, 12, 10, 0, 0]  |0.5208809583672762  |0.16784174288969322 |453       
 [15, 7, 5, 4, 0]    |0.39140600336638914 |0.22245957351510331 |226       
 [7, 8, 7, 0, 0]     |0.5323789462832655  |0.36045082541917406 |156       
 [18, 19, 4, 6, 0]   |0.8067778808212237  |0.213374404396873   |532       
 [13, 13, 13, 0, 0]  |0.5453940727572737  |0.192290760218384   |417       
Increasing Epochs
Gen 2 Train time: 9.728380819161734 minutes:
 Average MSE:        0.3803213402160043
 Average Error:      0.6866308232201029
 Structure           |Error               |MSE                 |weights&biases
 [16, 0, 0, 0, 0]    |0.28446923381505274 |0.24180342591688575 |65        
 [15, 3, 5, 4, 0]    |0.299475384870272   |0.20998418676570102 |142       
 [19, 0, 0, 0, 0]    |0.2493423377435366  |0.20568107769224722 |77        
 [20, 12, 2, 0, 0]   |0.5650866161928536  |0.24092339560278955 |341       
 [15, 5, 5, 4, 0]    |0.41588941677668584 |0.2625441871505355  |184       
 [9, 9, 8, 3, 0]     |1.562249387424097   |0.8834917701810955  |228       
 [18, 0, 0, 0, 0]    |0.38527125941821033 |0.32100209709418104 |73        
 [13, 5, 4, 2, 0]    |1.276973559461798   |0.8864707682381117  |146       
 [7, 8, 7, 0, 0]     |1.4274259711536266  |0.9664485666067817  |156       
 [14, 12, 10, 3, 0]  |0.6277438460444927  |0.23737286972618016 |389       
 [18, 8, 8, 2, 0]    |0.45361872010204535 |0.2148106670166549  |299       
 [15, 12, 5, 0, 0]   |0.3967487711197518  |0.18369986586486542 |308       
 [15, 8, 4, 2, 0]    |0.44075569145523574 |0.25302561642890586 |222       
 [17, 10, 1, 3, 0]   |0.5349254478499019  |0.2848969076748003  |252       
 [14, 8, 8, 2, 16]   |0.6529080195491312  |0.29557903442970856 |317       
 [17, 12, 3, 1, 0]   |1.8919731976843843  |0.8672918870468879  |312       
 [14, 15, 8, 1, 10]  |0.667938033267714   |0.2251339153895504  |435       
 [19, 14, 1, 6, 0]   |0.547351705332118   |0.21650022076919395 |371       
 [17, 8, 0, 0, 0]    |0.38302079012561513 |0.23000229106361267 |204       
 [11, 6, 6, 2, 0]    |0.5405378267672357  |0.35872806394221846 |164       
 [9, 12, 5, 13, 9]   |0.7626451130024241  |0.26290501375402986 |426       
 [11, 6, 12, 0, 0]   |0.631174470746846   |0.38091731216293306 |202       
 [14, 10, 8, 13, 0]  |0.5492965690647909  |0.19659356865125038 |411       
 [17, 5, 5, 2, 0]    |0.28400233880309933 |0.17839183895818883 |186       
 [15, 3, 5, 4, 3]    |1.3349468727316547  |0.9038349572727933  |156       
Gen 3 Train time: 9.783102973302205 minutes:
 Average MSE:        0.5124619862675502
 Average Error:      0.8652531286598684
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.2804476901606928  |0.2313397061668801  |77        
 [17, 5, 5, 2, 0]    |0.3719837223682036  |0.23365603457858572 |186       
 [16, 0, 0, 0, 0]    |0.4320532518393095  |0.36725221589761914 |65        
 [15, 12, 6, 2, 5]   |2.091415930900979   |0.8718318689431899  |350       
 [13, 6, 3, 2, 0]    |0.33716408715684554 |0.22885067516859525 |155       
 [17, 3, 3, 2, 0]    |0.2793837449456558  |0.20287423736632962 |128       
 [15, 3, 3, 1, 0]    |1.987374601752696   |1.5057851734605854  |111       
 [18, 10, 3, 4, 0]   |0.38384543912151964 |0.18222459582648287 |298       
 [18, 5, 1, 2, 0]    |0.32613577718603226 |0.21752500057438978 |162       
 [17, 4, 4, 1, 0]    |0.3625627466680523  |0.24918548867395965 |150       
 [17, 8, 7, 1, 0]    |1.703722651561401   |0.8718094949732016  |268       
 [15, 8, 6, 2, 5]    |0.5070537182199077  |0.2633850292345808  |262       
 [17, 2, 3, 2, 2]    |3.6622127752870233  |2.760929913429412   |113       
 [16, 5, 5, 3, 0]    |0.3254176212447     |0.20491788663259505 |185       
 [17, 7, 3, 2, 0]    |0.3531616421169706  |0.2078726976498176  |212       
 [17, 9, 3, 5, 2]    |4.341652438651874   |2.1668077941635033  |278       
 [15, 5, 5, 4, 0]    |0.3558606604144062  |0.22464901499890857 |184       
 [18, 5, 13, 20, 0]  |0.7314114172583497  |0.19538580981057982 |528       
 [17, 0, 0, 0, 0]    |0.324700117074253   |0.2732540749019908  |69        
 [17, 11, 3, 4, 0]   |0.42706526800347466 |0.19872795994265552 |306       
 [17, 4, 2, 1, 0]    |0.29356392238995327 |0.2079079448804065  |138       
 [16, 8, 3, 4, 0]    |0.48685484698051607 |0.2725892335788397  |232       
 [17, 2, 11, 5, 0]   |0.3057233387416047  |0.19203556153938606 |186       
 [15, 10, 5, 1, 0]   |0.5066473891147226  |0.2592558149231597  |268       
 [16, 6, 17, 0, 0]   |0.45391341733756096 |0.22149642937310215 |287       
Increasing Epochs
Gen 4 Train time: 11.223455385367076 minutes:
 Average MSE:        0.3284000139650322
 Average Error:      0.7715267481417647
 Structure           |Error               |MSE                 |weights&biases
 [17, 3, 3, 2, 0]    |0.35870228492686973 |0.26047131879577917 |128       
 [19, 0, 0, 0, 0]    |0.3136105424517225  |0.25869555459717586 |77        
 [17, 4, 2, 1, 0]    |0.35490504714785825 |0.25135097793856237 |138       
 [7, 13, 12, 20, 6]  |6.913885376173243   |1.2442485368801122  |686       
 [17, 4, 3, 2, 0]    |0.355240512806612   |0.24476414194812665 |149       
 [16, 4, 4, 3, 0]    |0.3026897826994925  |0.20545118467848603 |155       
 [5, 14, 19, 3, 11]  |1.7096075335676952  |0.4898107591154631  |500       
 [17, 9, 3, 4, 0]    |0.47117427273538964 |0.24352705164144198 |264       
 [19, 8, 18, 11, 9]  |1.222586135787815   |0.20929059178655765 |706       
 [16, 6, 11, 2, 0]   |0.4498580985382231  |0.2383957711224661  |254       
 [18, 3, 3, 1, 0]    |0.27702593348062315 |0.20065983766236783 |129       
 [17, 4, 3, 1, 3]    |0.41635801433593095 |0.284731178420628   |152       
 [16, 9, 4, 3, 0]    |0.4526874400536277  |0.23632356627275194 |260       
 [16, 5, 5, 3, 0]    |0.3611776917950809  |0.2274362679513077  |185       
 [18, 2, 2, 1, 0]    |1.1646924814117974  |0.9002858884367775  |103       
 [17, 4, 3, 1, 0]    |0.27788341599247124 |0.19387268074569536 |144       
 [14, 6, 4, 3, 0]    |0.3168227142208898  |0.20252075118815052 |179       
 [17, 3, 7, 3, 0]    |0.3621587627265948  |0.24215613080716528 |161       
 [17, 2, 2, 1, 0]    |0.9962178412944881  |0.779744225458713   |98        
 [17, 10, 4, 3, 0]   |0.41865137878306347 |0.2007456215338451  |294       
 [17, 6, 4, 2, 0]    |0.3779887364735524  |0.2292617576972485  |200       
 [16, 3, 3, 6, 0]    |0.33312334616979683 |0.23357724364703764 |142       
 [18, 5, 3, 2, 0]    |0.33404881244197926 |0.2140665883925872  |178       
 [16, 3, 3, 2, 0]    |0.27321647598686705 |0.20139425071882858 |122       
 [16, 9, 8, 3, 0]    |0.47385607154243387 |0.21721847168852976 |312       
Result:  [16, 3, 3, 2]
Fold 0
Fold 0 Train time: 19.91762730280558 minutes, MSE: 0.009579616210681683
Fold 1
Fold 1 Train time: 19.896190937360128 minutes, MSE: 0.01088990944812898
Fold 2
Fold 2 Train time: 19.937458356221516 minutes, MSE: 0.008281118277786555
Fold 3
Fold 3 Train time: 19.942989401022594 minutes, MSE: 0.00870365357355261
Fold 4
Fold 4 Train time: 19.865393475691477 minutes, MSE: 0.023763806460586623
Total Time: 146.9275999546051 minutes
CellsPerSensor: 6
 Resulting Network Architecture: [16, 3, 3, 2]
 MSE after 5-Fold CV: 0.01224362079414729
 Weights and Biases: 122
 Objective Function Value: 0.016610002096667135
~/workspace/SolarCellResearch
