/tmp/tmp.g0Z2jQJdqE ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k4.mat
  Evaluating with: datasets/N7dataset100k4.mat
Gen 0 Train time: 8.363264560699463 minutes:
 Average MSE:        0.9578567116415371
 Average Error:      1.8738690586351199
 Structure           |Error               |MSE                 |weights&biases
 [4, 18, 6, 19, 1]   |8.911662996925287   |3.524931022338349   |371       
 [5, 17, 0, 0, 0]    |0.8125739747691385  |0.5798137642916306  |135       
 [3, 5, 0, 0, 0]     |0.9739273029488592  |0.8923305745777862  |35        
 [16, 18, 16, 0, 0]  |0.9044680694329887  |0.16730976965517116 |675       
 [10, 10, 2, 12, 0]  |0.5651543272007375  |0.3334853176459875  |211       
 [8, 18, 7, 9, 0]    |0.616950642116454   |0.22639675747865629 |401       
 [4, 17, 0, 0, 0]    |1.42264626425833    |1.0671789844003066  |115       
 [16, 2, 0, 0, 0]    |0.23036705014869496 |0.1862656549382687  |85        
 [3, 9, 9, 0, 0]     |4.118682013102462   |2.8663321400490296  |145       
 [15, 10, 4, 10, 12] |1.1442537624838165  |0.3770990811705427  |444       
 [1, 0, 0, 0, 0]     |3.569932055452334   |3.525585647236217   |5         
 [9, 0, 0, 0, 0]     |0.5251967531627284  |0.4787952056218985  |37        
 [9, 3, 0, 0, 0]     |0.47445967805228395 |0.40735157641547604 |61        
 [1, 12, 11, 14, 0]  |5.832138371530547   |2.4130312100378255  |353       
 [17, 13, 9, 14, 20] |1.4245934895609733  |0.16103822860039213 |872       
 [5, 0, 0, 0, 0]     |1.254845437940636   |1.1906655160471318  |21        
 [16, 0, 0, 0, 0]    |0.4472899688714532  |0.3802036705371527  |65        
 [16, 14, 9, 8, 0]   |0.633538183395114   |0.1770301879913282  |510       
 [15, 18, 9, 17, 0]  |1.106654743306218   |0.19619263320740943 |692       
 [12, 16, 0, 0, 0]   |0.8679482967747554  |0.4519773857068202  |261       
 [15, 15, 0, 0, 0]   |0.43035048847593604 |0.20277560350088483 |301       
 [20, 9, 0, 0, 0]    |0.3330884313570328  |0.17432267125135298 |259       
 [1, 14, 6, 16, 16]  |6.964504603795983   |1.8885823687481078  |522       
 [3, 11, 0, 0, 0]    |1.981318986866506   |1.6841530187056144  |65        
 [8, 14, 19, 2, 0]   |1.3001805739487324  |0.3935698008850893  |478       
Gen 1 Train time: 8.211969741185506 minutes:
 Average MSE:        0.5111788448006622
 Average Error:      1.1629334411721992
 Structure           |Error               |MSE                 |weights&biases
 [16, 2, 0, 0, 0]    |0.2968469928655826  |0.2400186984504674  |85        
 [20, 9, 0, 0, 0]    |0.3274727265083796  |0.1713836779450166  |259       
 [15, 15, 0, 0, 0]   |0.40156073605396764 |0.18921024322284685 |301       
 [15, 1, 7, 11, 4]   |4.838624795501023   |2.8197001434716737  |216       
 [13, 3, 0, 0, 0]    |0.2380009894362624  |0.192438155303403   |85        
 [15, 6, 0, 0, 0]    |0.24240135178392372 |0.16743493547005847 |148       
 [18, 12, 0, 0, 0]   |0.3810561415112345  |0.18226227430025074 |295       
 [10, 7, 0, 0, 0]    |0.2939917475280149  |0.22053396014966636 |115       
 [12, 11, 5, 7, 0]   |0.40953111145735466 |0.19884246432600322 |289       
 [10, 5, 1, 6, 0]    |0.2616402046227931  |0.19873460574635018 |110       
 [18, 6, 0, 0, 0]    |0.27953043669589933 |0.18047841454445254 |175       
 [16, 8, 0, 0, 0]    |0.27778286701862415 |0.171458242778678   |193       
 [13, 6, 1, 6, 0]    |0.30883771059606857 |0.21279216336573087 |149       
 [13, 1, 16, 0, 0]   |0.3724241138362031  |0.28859759005020946 |102       
 [16, 2, 3, 15, 0]   |0.26130992471871667 |0.1721226241476694  |167       
 [2, 3, 0, 0, 0]     |1.3282818424857026  |1.2666634762662676  |19        
 [20, 12, 0, 0, 0]   |0.48265815714442684 |0.21417825892153056 |325       
 [18, 6, 3, 0, 0]    |0.2501372295903771  |0.15439429472162994 |193       
 [16, 8, 0, 0, 0]    |0.27312711154487723 |0.1685845318802937  |193       
 [7, 3, 0, 0, 0]     |0.42591678641726716 |0.37681109595790874 |49        
 [9, 7, 10, 1, 0]    |1.4045391821337159  |0.873461928588559   |190       
 [13, 1, 0, 0, 0]    |0.20294158248955846 |0.1768705601824319  |55        
 [1, 19, 15, 11, 3]  |14.190231108782502  |3.5256110817876563  |557       
 [14, 11, 17, 4, 19] |0.8782488484805453  |0.19694607887796162 |598       
 [16, 13, 0, 0, 0]   |0.4462423301019666  |0.21994161955983774 |283       
Gen 2 Train time: 8.316394094626109 minutes:
 Average MSE:        0.24573373334835885
 Average Error:      0.4447644009699919
 Structure           |Error               |MSE                 |weights&biases
 [13, 1, 0, 0, 0]    |1.091865973814129   |0.9515987017721106  |55        
 [13, 3, 0, 0, 0]    |0.3064579873160637  |0.24778976716351214 |85        
 [15, 6, 0, 0, 0]    |0.3120781668695944  |0.21556310369920192 |148       
 [15, 4, 2, 11, 0]   |0.31615487294378747 |0.2098162605109608  |164       
 [8, 4, 0, 0, 0]     |0.2329202852889385  |0.19798599023548782 |65        
 [13, 4, 1, 3, 16]   |0.36817593361098494 |0.23068679031390324 |187       
 [13, 2, 6, 13, 0]   |0.3582014476180243  |0.22276012747778698 |190       
 [13, 20, 1, 10, 7]  |1.096427969495431   |0.3604354466041913  |445       
 [18, 9, 2, 0, 0]    |0.30141451038563327 |0.16214425927227366 |248       
 [17, 4, 7, 0, 0]    |0.2447365857281311  |0.16160942571849318 |166       
 [16, 7, 0, 0, 0]    |0.35092093468440355 |0.2265715843716837  |175       
 [14, 4, 0, 0, 0]    |0.22239446364530377 |0.1701963326118005  |107       
 [13, 3, 2, 0, 0]    |0.25270018074455985 |0.20077878496021878 |92        
 [9, 16, 18, 7, 7]   |1.8228900403490056  |0.3247898815354042  |690       
 [18, 6, 1, 0, 0]    |0.26548570276764    |0.1705555395797701  |177       
 [16, 5, 0, 0, 0]    |0.2453148699890678  |0.17330318395064595 |139       
 [13, 1, 20, 0, 0]   |0.2999879619422399  |0.2255952235047849  |114       
 [14, 8, 0, 0, 0]    |0.25058867216878206 |0.16341824563781177 |171       
 [16, 5, 15, 0, 0]   |0.34254662767902266 |0.18846414708274845 |239       
 [17, 8, 12, 0, 0]   |0.37951180300262655 |0.17223945654096479 |316       
 [14, 4, 20, 0, 0]   |0.3471128450899298  |0.19877030842487353 |223       
 [15, 5, 0, 0, 0]    |0.38658153008140556 |0.27861831270660514 |131       
 [17, 4, 3, 8, 0]    |0.2619026201761415  |0.16741449711600187 |179       
 [19, 7, 0, 0, 0]    |0.29878935151143526 |0.17897369059316612 |205       
