/tmp/tmp.mj27xdmSZw ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k6.mat
  Evaluating with: datasets/N7dataset100k6.mat
Gen 0 Train time: 8.903330187002817 minutes:
 Average MSE:        1.2507410403862655
 Average Error:      3.5423711029275013
 Structure           |Error               |MSE                 |weights&biases
 [6, 4, 18, 19, 0]   |1.2908210434043665  |0.3544381156149095  |517       
 [2, 5, 11, 3, 0]    |3.2368332586864157  |2.356306763545849   |127       
 [15, 5, 0, 0, 0]    |0.2694248116507287  |0.19418073700420585 |131       
 [10, 20, 0, 0, 0]   |0.43154184575188786 |0.21917368183194902 |271       
 [17, 12, 1, 14, 13] |0.8345137032578294  |0.22914366476195322 |517       
 [19, 14, 14, 12, 5] |1.5617057915916246  |0.21241331144790862 |798       
 [9, 10, 16, 11, 0]  |0.782175782941095   |0.22297942478255872 |502       
 [9, 20, 3, 0, 0]    |0.4600645533797085  |0.2206034648264168  |294       
 [2, 8, 14, 12, 6]   |9.87154187691046    |3.445799867889197   |421       
 [15, 0, 0, 0, 0]    |0.2759778807830836  |0.23694326408155403 |61        
 [7, 14, 6, 20, 4]   |10.144886886862025  |3.2771358470984517  |452       
 [17, 8, 3, 14, 1]   |7.227902545467316   |3.4571650023349774  |295       
 [7, 4, 20, 12, 7]   |7.586738906001235   |2.1520090386897133  |504       
 [19, 4, 11, 0, 0]   |0.271941944412528   |0.16329993531333403 |204       
 [2, 1, 9, 14, 20]   |8.022794819687167   |2.368571053813359   |488       
 [1, 14, 0, 0, 0]    |3.2656799367180653  |2.910916532426287   |46        
 [6, 15, 5, 16, 18]  |10.569610121508559  |2.221056345057646   |624       
 [3, 8, 15, 15, 0]   |1.5029231676462653  |0.5103859831207904  |432       
 [10, 17, 16, 0, 0]  |0.906063390231563   |0.24569950644110355 |522       
 [11, 19, 15, 3, 0]  |4.4090470461836695  |0.952332135514758   |613       
 [13, 18, 0, 0, 0]   |0.4682497052833845  |0.21572440967570664 |310       
 [19, 6, 8, 0, 0]    |0.31322525533586393 |0.17104430171660848 |242       
 [6, 9, 4, 0, 0]     |0.6015874480694627  |0.43903182650100786 |126       
 [16, 13, 1, 20, 9]  |3.812841163577085   |1.0339378040534128  |522       
 [1, 9, 20, 10, 0]   |10.441184687846125  |3.458233992112978   |442       
Gen 1 Train time: 8.775445799032846 minutes:
 Average MSE:        0.4249183415765785
 Average Error:      1.4912463268896665
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.24294337715763614 |0.17509495037864659 |131       
 [19, 4, 11, 0, 0]   |0.3211912659746991  |0.19287393517092138 |204       
 [15, 0, 0, 0, 0]    |0.2523197014642994  |0.2166313238125966  |61        
 [20, 11, 16, 20, 4] |8.337637666391167   |0.8528086545884053  |912       
 [13, 10, 0, 0, 0]   |0.3070357022127113  |0.19094091500732904 |190       
 [18, 9, 5, 7, 7]    |0.4642279560103635  |0.1790877154193143  |381       
 [2, 5, 1, 20, 3]    |4.834300875166568   |3.4581595368941587  |134       
 [4, 13, 19, 15, 12] |13.339029682124663  |1.6011054555080821  |848       
 [12, 13, 2, 0, 0]   |0.3958339008844597  |0.21942153148315052 |236       
 [13, 13, 0, 0, 0]   |0.5187013475295745  |0.28825003461957194 |235       
 [18, 18, 4, 0, 0]   |0.6581447816815978  |0.1997217085000576  |477       
 [14, 12, 0, 0, 0]   |0.6339189214347305  |0.3522781498830486  |235       
 [14, 9, 6, 0, 0]    |0.3799004898457583  |0.20641926131952096 |244       
 [15, 13, 4, 14, 0]  |0.5502833101097295  |0.20549737392352424 |394       
 [17, 5, 6, 20, 0]   |0.5037231684992818  |0.21637799353009451 |338       
 [15, 3, 0, 0, 0]    |0.2644312872235804  |0.20748964480992016 |97        
 [14, 7, 14, 6, 0]   |0.5137078146336757  |0.21095706931315447 |356       
 [19, 4, 11, 12, 0]  |0.45272691898184186 |0.18919705971045647 |349       
 [13, 10, 14, 0, 0]  |0.5013992907661319  |0.2100620096581384  |348       
 [13, 7, 7, 0, 0]    |0.3973503192821484  |0.24040339092687119 |201       
 [19, 4, 11, 17, 0]  |0.6017382727398501  |0.2137533088894084  |414       
 [17, 3, 4, 17, 0]   |0.29362593923152336 |0.16772179787016744 |224       
 [19, 4, 11, 19, 0]  |0.5307760789479813  |0.17668000860043193 |440       
 [6, 2, 6, 10, 19]   |0.6164975572161331  |0.25763770664728136 |349       
 [17, 10, 13, 12, 17]|1.3697125467315459  |0.1943880029502097  |781       
Gen 2 Train time: 8.56401940981547 minutes:
 Average MSE:        0.43244119673623793
 Average Error:      0.7638586484618998
 Structure           |Error               |MSE                 |weights&biases
 [15, 5, 0, 0, 0]    |0.22931927300707436 |0.16527574119457294 |131       
 [15, 0, 0, 0, 0]    |1.0532983843829256  |0.9043186959018621  |61        
 [15, 3, 0, 0, 0]    |0.24144057715505368 |0.1894496680880541  |97        
 [14, 6, 4, 1, 0]    |1.2874407932382652  |0.8480262967641314  |167       
 [15, 8, 20, 0, 0]   |0.46297062318462995 |0.1817557228186044  |374       
 [19, 18, 11, 8, 15] |1.5868905740399615  |0.17893663820958874 |873       
 [15, 11, 4, 4, 4]   |1.8358201463830752  |0.8373537377003168  |314       
 [9, 8, 4, 8, 10]    |0.5773225712473972  |0.2838372922170274  |284       
 [16, 2, 2, 9, 0]    |0.2575961754901076  |0.1884613879454446  |125       
 [15, 3, 0, 0, 0]    |0.2327553791565946  |0.18263470807812    |97        
 [15, 5, 6, 9, 0]    |0.3259729414736294  |0.18160143648711563 |234       
 [1, 4, 7, 3, 0]     |4.160473440325565   |3.4577872991075687  |74        
 [14, 9, 0, 0, 0]    |0.312675465947991   |0.1959120438481971  |187       
 [13, 10, 14, 0, 0]  |0.5167881260542976  |0.21650918604323213 |348       
 [13, 2, 17, 0, 0]   |0.26878739746493924 |0.19131489264814167 |136       
 [15, 3, 2, 0, 0]    |0.27129788738729516 |0.20918466629513127 |104       
 [16, 8, 4, 16, 0]   |0.5091077280162826  |0.2304789743150517  |317       
 [17, 2, 6, 0, 0]    |0.20236782716495985 |0.15294631356499896 |112       
 [17, 5, 6, 10, 0]   |0.3728373815203801  |0.19561380838084824 |258       
 [17, 7, 9, 10, 0]   |0.37317852253007505 |0.1517230649275521  |360       
 [16, 13, 20, 0, 0]  |0.8294410315247269  |0.19948758781395415 |570       
 [13, 19, 7, 0, 0]   |0.6128134569552622  |0.19746484687026142 |453       
 [16, 1, 16, 6, 15]  |0.49944314167419435 |0.22441426948391646 |320       
 [10, 6, 10, 5, 10]  |1.7691956974893732  |0.8525913118490352  |292       
 [17, 5, 6, 0, 0]    |0.3072316687334353  |0.19395032785321928 |184       
Gen 3 Train time: 8.755553193887074 minutes:
 Average MSE:        0.5275982408554195
 Average Error:      1.1170163821281156
 Structure           |Error               |MSE                 |weights&biases
 [17, 2, 6, 0, 0]    |0.22356949435238052 |0.16897018891700685 |112       
 [15, 5, 0, 0, 0]    |0.2472128576134047  |0.17817206438476468 |131       
 [15, 3, 0, 0, 0]    |0.24491225701184674 |0.1921737694148789  |97        
 [15, 4, 12, 2, 0]   |0.3636016367834852  |0.2216409796285322  |198       
 [8, 6, 2, 7, 2]     |2.9720293742818744  |2.1366624536280767  |132       
 [16, 5, 3, 5, 0]    |0.2938410393724382  |0.18877181143238317 |177       
 [17, 13, 15, 3, 4]  |5.978830859110406   |1.4596913953622996  |564       
 [16, 4, 3, 0, 0]    |0.2881027010352122  |0.20557625124195278 |135       
 [16, 4, 3, 19, 0]   |0.35326254057591705 |0.20027902544820866 |227       
 [16, 5, 3, 0, 0]    |0.2920876197844903  |0.19825494927332857 |155       
 [16, 5, 11, 0, 0]   |0.33277963829892393 |0.19636605090491582 |211       
 [17, 4, 11, 3, 18]  |0.5154275966410162  |0.24044631469538302 |305       
 [17, 5, 6, 5, 0]    |0.31006968199526497 |0.17979135736775348 |218       
