/tmp/tmp.9K9WRY6bRt ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N7dataset10k7.mat
  Evaluating with: datasets/N7dataset100k7.mat
Gen 0 Train time: 8.28863971233368 minutes:
 Average MSE:        0.7980647346574676
 Average Error:      1.8277583461888052
 Structure           |Error               |MSE                 |weights&biases
 [12, 7, 0, 0, 0]    |0.5175314159866796  |0.36928556384994765 |135       
 [4, 15, 18, 1, 0]   |7.845830412041352   |2.915327702826459   |396       
 [10, 3, 10, 1, 0]   |1.2676402541367466  |0.948529018966561   |116       
 [17, 0, 0, 0, 0]    |0.3363720627647178  |0.28307669754436227 |69        
 [10, 16, 0, 0, 0]   |0.4015760012271367  |0.22995802877668003 |223       
 [7, 10, 13, 0, 0]   |0.3822141440125596  |0.20053344442672488 |258       
 [5, 9, 15, 15, 7]   |4.26677163590031    |1.0033631267820564  |579       
 [19, 20, 20, 17, 19]|9.943160919545102   |0.18394563445894338 |1596      
 [7, 9, 11, 19, 0]   |1.5251881246254269  |0.49391974369979685 |451       
 [2, 0, 0, 0, 0]     |3.0553526141802876  |2.9873747985766705  |9         
 [1, 0, 0, 0, 0]     |2.9711092719515015  |2.934201559820841   |5         
 [5, 20, 4, 18, 0]   |0.7864135721658223  |0.3463614307149661  |328       
 [12, 13, 0, 0, 0]   |0.6544207995703524  |0.37851305699544213 |219       
 [11, 18, 18, 11, 0] |1.642760968890702   |0.21575286797166368 |812       
 [11, 0, 0, 0, 0]    |0.47965873799400516 |0.42862177578886157 |45        
 [16, 4, 13, 0, 0]   |0.25173936932294566 |0.15460821990402213 |195       
 [19, 14, 0, 0, 0]   |0.35601384363445027 |0.14766845866164852 |352       
 [4, 0, 0, 0, 0]     |1.8616771046155636  |1.7842135869421987  |17        
 [6, 7, 20, 6, 0]    |1.120476017419039   |0.4555515531495602  |360       
 [19, 5, 3, 19, 0]   |0.34362727670132864 |0.17452318043756393 |271       
 [9, 7, 8, 0, 0]     |0.3041261851800998  |0.198828510737554   |170       
 [20, 14, 9, 14, 20] |1.8741408707105824  |0.17432225579797295 |950       
 [3, 0, 0, 0, 0]     |2.4289586265211383  |2.3512864801838766  |13        
 [13, 12, 0, 0, 0]   |0.3173605913485574  |0.18310113300078928 |220       
 [9, 20, 0, 0, 0]    |0.7598378342737172  |0.40875053642153025 |248       
Gen 1 Train time: 8.507267288366954 minutes:
 Average MSE:        0.26005912155499866
 Average Error:      0.6122150434270525
 Structure           |Error               |MSE                 |weights&biases
 [16, 4, 13, 0, 0]   |0.399365698025883   |0.24527438766758297 |195       
 [9, 7, 8, 0, 0]     |0.30322592535894866 |0.19823994806771897 |170       
 [13, 12, 0, 0, 0]   |0.3510001321898468  |0.2025094597104579  |220       
 [16, 11, 0, 0, 0]   |0.33119623717141317 |0.17861114370292414 |247       
 [17, 2, 7, 0, 0]    |0.21918487832100292 |0.16400805901174736 |116       
 [18, 6, 8, 8, 0]    |0.40386573017347427 |0.18840284665550303 |305       
 [11, 6, 17, 3, 0]   |0.5034098413773296  |0.24873911898946277 |282       
 [14, 6, 6, 10, 0]   |0.3160019893661403  |0.1670425397514746  |255       
 [9, 16, 2, 9, 0]    |0.4801105559877378  |0.2518960247967362  |258       
 [8, 0, 0, 0, 0]     |0.9363466887027322  |0.8621987407568206  |33        
 [13, 6, 11, 0, 0]   |0.28626110489653495 |0.1684947089677174  |212       
 [19, 5, 3, 19, 19]  |0.882445345022014   |0.1733299242461369  |651       
 [10, 4, 4, 0, 0]    |0.2516871316804352  |0.19650478363476837 |99        
 [14, 6, 7, 0, 0]    |0.29760096432542676 |0.18553685532206177 |189       
