/tmp/tmp.N9eYSf3rwa ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k1.mat
  Evaluating with: datasets/N8dataset100k1.mat
Gen 0 Train time: 8.016688962777456 minutes:
 Average MSE:        1.0310101855634
 Average Error:      1.478469411390802
 Structure           |Error               |MSE                 |weights&biases
 [6, 9, 18, 0, 0]    |0.4754854909114509  |0.23611910695267033 |280       
 [2, 2, 0, 0, 0]     |3.0605099871484827  |2.9478661350002424  |15        
 [19, 7, 0, 0, 0]    |0.24270210893186006 |0.14537764458656482 |205       
 [8, 0, 0, 0, 0]     |1.8393888496853341  |1.6937302914565262  |33        
 [15, 2, 13, 17, 3]  |7.960515325113594   |2.841959380782922   |412       
 [10, 11, 19, 17, 0] |1.1672608815903431  |0.18491849422176485 |737       
 [5, 0, 0, 0, 0]     |2.3135906888820914  |2.19526052230024    |21        
 [7, 3, 3, 0, 0]     |1.8133929191989377  |1.5569046190157978  |61        
 [7, 11, 0, 0, 0]    |1.2236439048869283  |0.9042342865615648  |121       
 [5, 0, 0, 0, 0]     |2.5199524683895143  |2.391067788486623   |21        
 [17, 4, 0, 0, 0]    |0.2520494975530756  |0.18302549994307343 |128       
 [16, 7, 13, 0, 0]   |0.3561340811658394  |0.17465407309145753 |285       
 [4, 5, 0, 0, 0]     |0.8432367378120605  |0.7572911170970145  |43        
 [18, 18, 0, 0, 0]   |0.38423078279508127 |0.13614811430885437 |415       
 [18, 20, 9, 5, 18]  |1.2129326289907951  |0.1641525808913985  |800       
 [12, 0, 0, 0, 0]    |0.5092398721318304  |0.45052752190769485 |49        
 [11, 6, 0, 0, 0]    |0.2716146669438917  |0.20528194921710524 |112       
 [14, 5, 0, 0, 0]    |1.1855704434526464  |0.8717296353417796  |123       
 [11, 3, 11, 8, 20]  |0.6336197306715895  |0.22734051977643732 |410       
 [2, 5, 5, 0, 0]     |3.2961350627869344  |2.85836730371515    |57        
 [19, 6, 2, 0, 0]    |0.3748041829689826  |0.2307658847895308  |194       
 [3, 0, 0, 0, 0]     |3.623732244643506   |3.507854164992504   |13        
