/tmp/tmp.dga0O7kuGJ ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k2.mat
  Evaluating with: datasets/N8dataset100k2.mat
Gen 0 Train time: 8.420170017083485 minutes:
 Average MSE:        0.46543307793803657
 Average Error:      1.033493568340267
 Structure           |Error               |MSE                 |weights&biases
 [6, 8, 0, 0, 0]     |0.38176580730677806 |0.31022795027368466 |83        
 [5, 0, 0, 0, 0]     |1.85824001767542    |1.7631990703301306  |21        
 [4, 9, 0, 0, 0]     |1.3895418247036435  |1.1752419840792157  |67        
 [17, 4, 8, 20, 0]   |0.6802985905273465  |0.2738366622631964  |364       
 [17, 13, 7, 1, 3]   |4.1532400385084856  |1.5240766660412455  |401       
 [13, 13, 19, 17, 0] |1.7052458952404614  |0.2062243387724568  |845       
 [5, 0, 0, 0, 0]     |0.6338351402542063  |0.6014172116672134  |21        
 [15, 15, 4, 2, 0]   |0.4357491620097745  |0.1762787874314949  |362       
 [9, 0, 0, 0, 0]     |0.5071655695895451  |0.4623570913446506  |37        
 [8, 5, 0, 0, 0]     |0.28722347470978704 |0.23811662395936528 |75        
 [8, 14, 10, 0, 0]   |0.4219139504359146  |0.19389201576483192 |311       
 [13, 13, 10, 7, 0]  |0.6273206164775598  |0.20570801491170082 |446       
 [18, 18, 12, 1, 6]  |0.9188966272090416  |0.17824760660696778 |656       
 [15, 13, 8, 4, 0]   |0.538800325939883   |0.19526254731515139 |406       
 [15, 12, 3, 20, 0]  |0.5288792527483891  |0.20607911534453865 |377       
 [13, 15, 6, 12, 14] |1.2729640623515353  |0.2661615266380736  |626       
 [15, 0, 0, 0, 0]    |0.2737252529734208  |0.2350092504407945  |61        
 [13, 15, 4, 14, 12] |0.8385249741140729  |0.1986698427158315  |576       
 [12, 15, 1, 0, 0]   |0.38603931209975795 |0.20714917980644798 |249       
 [17, 19, 0, 0, 0]   |0.5449369599234938  |0.1940605294955024  |413       
 [7, 15, 0, 0, 0]    |0.351123645079685   |0.23713709329546856 |157       
 [2, 10, 16, 20, 0]  |5.395181903053791   |1.2878914099872059  |573       
 [7, 5, 16, 0, 0]    |0.38187056478618586 |0.24717132398323166 |174       
 [5, 2, 0, 0, 0]     |0.9446021517950004  |0.8763484934997466  |30        
 [12, 9, 14, 0, 0]   |0.3802540889934944  |0.1760626124827686  |308       
Gen 1 Train time: 8.353735363483429 minutes:
 Average MSE:        0.38805980694941417
 Average Error:      0.7133259437330725
 Structure           |Error               |MSE                 |weights&biases
 [15, 0, 0, 0, 0]    |0.2855973264818952  |0.2452021247411993  |61        
 [8, 5, 0, 0, 0]     |0.4812792395161357  |0.3989945035345957  |75        
 [7, 15, 0, 0, 0]    |0.629639600384221   |0.42523739643039277 |157       
 [10, 10, 1, 6, 0]   |2.4483034854720223  |1.6006268436297     |170       
