/tmp/tmp.re7J2ABEJM ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N8dataset10k3.mat
  Evaluating with: datasets/N8dataset100k3.mat
Gen 0 Train time: 8.302601102987925 minutes:
 Average MSE:        0.7515468477325534
 Average Error:      1.2670830559960535
 Structure           |Error               |MSE                 |weights&biases
 [19, 6, 19, 9, 0]   |0.6408747666944958  |0.18361369484462825 |500       
 [9, 16, 5, 0, 0]    |0.3946234655492305  |0.19694648823096353 |278       
 [17, 0, 0, 0, 0]    |0.23917411636467079 |0.20127896009592025 |69        
 [7, 7, 9, 0, 0]     |1.3505680097274342  |0.9075789239424845  |159       
 [4, 9, 0, 0, 0]     |2.3887173651818867  |2.020321292782657   |67        
 [6, 14, 9, 0, 0]    |2.0680939622887804  |1.0769439907247356  |261       
 [20, 5, 7, 7, 17]   |0.4684323574167455  |0.16515620285929203 |417       
 [14, 9, 20, 5, 4]   |3.521263252572538   |0.9814931973117151  |511       
 [4, 0, 0, 0, 0]     |3.606221310962585   |3.4561681209849917  |17        
 [12, 11, 10, 0, 0]  |0.4075563505476367  |0.18776275166743617 |310       
 [5, 10, 0, 0, 0]    |0.7160890742107577  |0.5775555132091933  |86        
 [16, 1, 2, 15, 7]   |2.266145485021357   |1.26248293342459    |234       
 [20, 10, 4, 9, 0]   |0.3951039243453052  |0.15706328760775157 |369       
 [13, 0, 0, 0, 0]    |0.3774663390358515  |0.33062387388782916 |53        
 [18, 14, 4, 0, 0]   |0.41808542638966223 |0.15968223049516564 |385       
 [3, 15, 0, 0, 0]    |1.4385145113080504  |1.1631257482962367  |85        
 [2, 11, 6, 10, 0]   |2.775497794301346   |1.7174319391082495  |192       
 [4, 20, 4, 0, 0]    |1.6526758869930886  |0.9998957294258372  |201       
 [3, 17, 16, 4, 0]   |3.4135270968672358  |1.1419600132943868  |438       
 [7, 3, 5, 11, 14]   |0.7125138019536226  |0.3249915828652383  |314       
 [17, 10, 12, 0, 0]  |0.4156601606741542  |0.1623684288089199  |376       
 [15, 19, 9, 0, 0]   |0.6073715945872799  |0.15784930087364518 |539       
 [13, 0, 0, 0, 0]    |0.3177599068117227  |0.2783268347177016  |53        
 [8, 0, 0, 0, 0]     |0.8436666383238366  |0.7768578903067886  |33        
 [18, 0, 0, 0, 0]    |0.24147380177205807 |0.20119226354747247 |73        
Gen 1 Train time: 8.617447304725648 minutes:
 Average MSE:        0.35908064526102246
 Average Error:      0.7271204529324219
 Structure           |Error               |MSE                 |weights&biases
 [17, 0, 0, 0, 0]    |0.2679126092297234  |0.22546407697446327 |69        
 [18, 0, 0, 0, 0]    |0.2157721853788669  |0.17977807144452893 |73        
 [13, 0, 0, 0, 0]    |0.374347308795702   |0.3278919061489162  |53        
 [19, 10, 6, 4, 9]   |0.43807285506358756 |0.15875866711870049 |406       
 [18, 5, 6, 0, 0]    |0.22658020963460188 |0.14020407063384538 |192       
 [14, 3, 4, 4, 9]    |0.2979633053272117  |0.1909421194205072  |178       
 [14, 8, 3, 0, 0]    |0.23723565460062612 |0.14643094766368583 |193       
 [15, 0, 0, 0, 0]    |0.3699971786704104  |0.31766436848625407 |61        
 [15, 8, 0, 0, 0]    |0.3037444451236156  |0.19271004598424002 |182       
 [18, 15, 1, 5, 0]   |0.5048803227569374  |0.1997010336755497  |371       
 [19, 5, 2, 5, 10]   |0.33378818949237865 |0.17644454398434162 |255       
 [18, 7, 2, 0, 0]    |0.2481066476051046  |0.1482438694727875  |206       
 [17, 5, 2, 5, 1]    |5.361310359269171   |3.452879136099688   |176       
 [19, 5, 2, 5, 0]    |0.2789003168000206  |0.17344393926129278 |190       
 [18, 5, 11, 0, 0]   |0.29312395084781595 |0.16618399198403827 |227       
 [11, 20, 18, 4, 9]  |1.3810986054990266  |0.19551450135046794 |782       
 [14, 15, 5, 0, 0]   |0.4421157710103443  |0.18292418422471743 |353       
 [20, 5, 7, 7, 17]   |0.4768754505242503  |0.16813300233939793 |417       
 [12, 19, 9, 18, 15] |2.0920954533746006  |0.19753611965559914 |944       
 [6, 3, 6, 13, 20]   |1.4526664823240276  |0.46575330239125134 |455       
 [18, 2, 2, 9, 0]    |0.22889787728498415 |0.16333053234282713 |135       
 [15, 5, 0, 0, 0]    |0.2547458829902431  |0.1836012912276218  |131       
 [12, 2, 3, 6, 7]    |1.2609709762493106  |0.8623293887937337  |152       
 [17, 18, 4, 0, 0]   |0.48306584520351287 |0.15449364608585353 |456       
 [16, 8, 3, 0, 0]    |0.3537434402544696  |0.20665937476125124 |215       
Gen 2 Train time: 8.481820237636565 minutes:
 Average MSE:        0.2570781275969329
 Average Error:      0.45225848105293376
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.24121376702243752 |0.20097560658720087 |73        
 [18, 5, 6, 0, 0]    |0.25624858256580846 |0.15856236706558688 |192       
 [18, 2, 2, 9, 0]    |0.20299421362209794 |0.1448469219840416  |135       
 [16, 4, 15, 0, 0]   |0.3217648540012949  |0.19177465515960224 |207       
 [17, 7, 3, 3, 5]    |0.3565590149835127  |0.19617355773970696 |239       
 [18, 3, 3, 19, 0]   |0.2867747285004596  |0.16586877927017604 |219       
 [19, 4, 5, 8, 9]    |0.4084196863636316  |0.19244209220563813 |301       
 [18, 3, 12, 0, 0]   |0.3223431748114577  |0.2096871668368411  |172       
 [17, 0, 0, 0, 0]    |0.39389373905842473 |0.33148454101567904 |69        
 [16, 13, 2, 0, 0]   |0.3916744423550624  |0.1850139061320201  |300       
 [14, 4, 2, 0, 0]    |0.27149930450960363 |0.2036615561655434  |115       
 [15, 7, 2, 8, 0]    |0.26809291542365227 |0.1601856763785691  |206       
 [16, 5, 3, 5, 0]    |0.2931003281692794  |0.18829595756300135 |177       
 [17, 10, 4, 3, 0]   |0.3932575815483401  |0.1885691571356937  |294       
 [17, 4, 1, 16, 0]   |0.2973743066923202  |0.19104168249489184 |177       
 [18, 3, 1, 3, 0]    |0.2337502028456923  |0.17101530167135628 |125       
 [18, 10, 3, 5, 0]   |0.432269287412852   |0.2026638600033747  |303       
 [18, 1, 1, 5, 0]    |0.24226029305674732 |0.1929657552582524  |91        
 [16, 7, 2, 0, 0]    |0.327013015602984   |0.20540835495416204 |186       
 [15, 7, 2, 7, 0]    |0.3153123425174872  |0.1902927567102642  |202       
 [17, 7, 6, 0, 0]    |0.3171490842210187  |0.17757125421306147 |232       
 [19, 5, 7, 3, 0]    |0.4122199607865008  |0.23370440546010007 |227       
 [2, 8, 10, 7, 13]   |3.7751823454850575  |1.7176355845606448  |315       
 [19, 3, 1, 3, 0]    |0.2867686389730512  |0.20668083731526482 |131       
 [16, 0, 0, 0, 0]    |0.259326215794572   |0.22043145604265    |65        
Gen 3 Train time: 8.863777736822763 minutes:
 Average MSE:        0.4377203501047701
 Average Error:      2.160115908255511
 Structure           |Error               |MSE                 |weights&biases
 [18, 2, 2, 9, 0]    |0.28448236567587687 |0.20299295379719928 |135       
 [18, 3, 1, 3, 0]    |0.2512043480801068  |0.18378502711475847 |125       
 [18, 0, 0, 0, 0]    |0.22775002005836906 |0.18975781936700234 |73        
 [17, 15, 4, 0, 0]   |0.3932914125409635  |0.14834651353250453 |390       
 [17, 6, 3, 4, 3]    |0.2822582513210762  |0.16489723087799563 |215       
 [16, 9, 3, 5, 0]    |0.409120055114857   |0.21518726440419292 |257       
 [17, 6, 5, 5, 0]    |0.32200933874732923 |0.18119622271443042 |230       
 [17, 2, 1, 2, 0]    |1.088604724292699   |0.8541886625954112  |97        
 [19, 2, 1, 2, 11]   |0.2658922131340198  |0.18320230112342475 |149       
 [3, 19, 20, 16, 18] |32.86718748029569   |1.8728752541308367  |1146      
 [18, 3, 1, 11, 0]   |0.30660745980449716 |0.21125549904494356 |149       
 [4, 19, 17, 7, 6]   |7.7804606487525705  |1.6186873544913503  |628       
 [18, 12, 0, 0, 0]   |0.3376166682396692  |0.16148481835509568 |295       
 [18, 2, 1, 4, 0]    |0.2530557584625148  |0.19317757693414345 |108       
 [9, 15, 9, 9, 9]    |0.9090835323925371  |0.2533918195918807  |511       
 [18, 3, 4, 2, 0]    |0.24514828812821457 |0.17275307885888427 |140       
 [15, 12, 3, 3, 0]   |0.3864989775247336  |0.18625733192984023 |292       
 [7, 8, 3, 6, 3]     |2.9223647163496493  |1.9540284685941773  |161       
 [17, 5, 5, 2, 0]    |0.33274217840747805 |0.20900704323501146 |186       
 [18, 4, 3, 0, 0]    |0.2752782912083391  |0.1896693995069066  |149       
 [15, 1, 18, 19, 19] |1.7282320077489124  |0.2023207287039946  |858       
 [18, 1, 9, 5, 0]    |0.2915149648718434  |0.2018634223896615  |147       
 [17, 5, 4, 11, 0]   |0.29859934772697905 |0.16718528704983004 |232       
 [17, 4, 2, 2, 3]    |1.225676781300757   |0.8381930508992002  |152       
 [18, 2, 1, 8, 10]   |0.3182178762080962  |0.18730462337657708 |212       
Increasing Epochs
Gen 4 Train time: 10.224114004770914 minutes:
 Average MSE:        0.4618071560772045
 Average Error:      0.7443288355652287
 Structure           |Error               |MSE                 |weights&biases
 [18, 0, 0, 0, 0]    |0.602589073616254   |0.5020679627360611  |73        
 [18, 3, 4, 2, 0]    |0.29349331557328046 |0.20682124389654652 |140       
 [18, 3, 1, 3, 0]    |0.2062922511054517  |0.15092663503933362 |125       
 [18, 3, 2, 10, 0]   |0.24242243798478338 |0.1625006197900319  |160       
 [15, 3, 7, 8, 0]    |0.3565366411247795  |0.2195186104842807  |194       
 [11, 17, 9, 19, 13] |1.612395892078769   |0.1864152073713171  |863       
 [18, 4, 2, 3, 7]    |0.3203874791960674  |0.2017503689237355  |185       
 [18, 9, 3, 3, 0]    |0.3169434214290013  |0.16097084741800005 |271       
 [18, 2, 1, 6, 0]    |0.29684781579934344 |0.2232337888446807  |114       
 [17, 8, 2, 3, 6]    |0.31726928508465    |0.16855311000470904 |253       
 [18, 2, 2, 9, 5]    |1.4446659286651045  |0.9188596428677698  |181       
 [18, 14, 4, 6, 0]   |0.4391900296306327  |0.15484617251349228 |417       
 [18, 3, 2, 4, 5]    |0.3092692965170124  |0.20627544908736078 |162       
 [19, 8, 2, 3, 0]    |0.3157891628463477  |0.1698770236058716  |248       
 [18, 4, 2, 2, 0]    |0.25477394502253814 |0.17554170708600572 |149       
 [17, 7, 3, 19, 0]   |0.3871674919223303  |0.18426176731705754 |297       
 [18, 5, 4, 3, 2]    |1.3808950277937115  |0.8396516796745294  |199       
 [18, 2, 2, 1, 0]    |0.2213239286616784  |0.17107933031899353 |103       
 [19, 2, 4, 3, 6]    |0.309957833434791   |0.21038438599289208 |155       
 [18, 7, 5, 3, 0]    |0.36913317190139705 |0.19807732373890247 |249       
 [10, 3, 1, 3, 6]    |1.135814698322634   |0.8757717243206662  |104       
 [10, 2, 2, 17, 1]   |4.771167612346856   |3.4559281382962377  |129       
 [18, 3, 6, 3, 0]    |0.2658308300887818  |0.1781917342628044  |160       
 [18, 4, 3, 2, 2]    |2.1905378313415826  |1.4610379368130473  |162       
 [18, 3, 1, 6, 5]    |0.24752648764294083 |0.16263649152578524 |168       
Increasing Epochs
Gen 5 Train time: 11.69562566280365 minutes:
 Average MSE:        0.4351359101075154
 Average Error:      0.9356028470399517
 Structure           |Error               |MSE                 |weights&biases
 [18, 3, 1, 3, 0]    |0.23046786871799013 |0.16861389472410443 |125       
 [18, 2, 2, 1, 0]    |0.31886197116313947 |0.24647444503920654 |103       
 [18, 3, 2, 10, 0]   |0.2409179800699073  |0.1614921514912735  |160       
 [18, 4, 2, 3, 0]    |0.2775405955761748  |0.18932539717620953 |153       
 [18, 4, 2, 3, 1]    |5.073419912741845   |3.443592057017196   |155       
 [17, 19, 19, 12, 19]|4.3792125154749595  |0.1785063538204045  |1280      
 [17, 3, 4, 7, 3]    |1.335491088986504   |0.8430736831974146  |184       
 [19, 11, 3, 5, 0]   |0.32629556480791005 |0.1398126918062661  |339       
 [18, 3, 6, 3, 0]    |0.2553844567192378  |0.17118932078482624 |160       
 [18, 5, 2, 2, 0]    |0.49318267406289573 |0.32242793085186283 |170       
 [18, 3, 5, 8, 0]    |0.349781293806216   |0.21861410203174278 |188       
 [15, 6, 3, 3, 3]    |0.3161653696493343  |0.19661851875666017 |190       
 [18, 3, 3, 3, 0]    |0.2752361604189669  |0.19444113983421957 |139       
 [18, 5, 3, 5, 0]    |0.2752903072722067  |0.1699197392751018  |193       
 [19, 6, 4, 3, 0]    |0.3875999856181251  |0.22140062493274332 |224       
 [18, 5, 3, 10, 0]   |0.3359269891489178  |0.19478450446009368 |218       
 [18, 5, 2, 5, 3]    |0.336321553439364   |0.2050118344733373  |198       
 [18, 6, 4, 3, 4]    |0.3198150834822307  |0.17906394284467866 |232       
 [16, 6, 5, 6, 3]    |0.3979396072953614  |0.215142425567202   |246       
 [18, 7, 8, 3, 4]    |0.49031273557672383 |0.23218707938751554 |299       
 [18, 3, 2, 7, 0]    |0.22491588473593807 |0.1553571230927866  |148       
 [17, 2, 4, 4, 0]    |0.21808921578086943 |0.1599568714998209  |124       
 [18, 3, 2, 8, 0]    |0.266999300679803   |0.1825905180216036  |152       
 [17, 5, 13, 9, 17]  |0.8023694960424506  |0.21167862824590808 |533       
 [5, 1, 19, 9, 10]   |5.462533564731719   |2.277122774355706   |350       
Result:  [17, 2, 4, 4]
Fold 0
Fold 0 Train time: 20.099258391062417 minutes, MSE: 0.027972014893137862
Fold 1
Fold 1 Train time: 20.197763510545094 minutes, MSE: 0.009711600752446032
Fold 2
Fold 2 Train time: 20.117431644598643 minutes, MSE: 0.01420911226560286
Fold 3
Fold 3 Train time: 20.25848468939463 minutes, MSE: 0.013110507790546054
Fold 4
Fold 4 Train time: 20.093144234021505 minutes, MSE: 0.007535690795987132
Total Time: 156.9575267235438 minutes
CellsPerSensor: 8
 Resulting Network Architecture: [17, 2, 4, 4]
 MSE after 5-Fold CV: 0.01450778529954399
 Weights and Biases: 124
 Objective Function Value: 0.0197802788278359
~/workspace/SolarCellResearch
