/tmp/tmp.WEm8i4NaTd ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k0.mat
  Evaluating with: datasets/N9dataset100k0.mat
Gen 0 Train time: 8.402952961126964 minutes:
 Average MSE:        0.9828125250005312
 Average Error:      2.481135293686366
 Structure           |Error               |MSE                 |weights&biases
 [19, 0, 0, 0, 0]    |0.21647847435656078 |0.17857186351011145 |77        
 [3, 14, 0, 0, 0]    |2.946286992711504   |2.412215768326552   |80        
 [14, 0, 0, 0, 0]    |0.2653935942656333  |0.23014602193604555 |57        
 [10, 4, 0, 0, 0]    |0.2224961109730959  |0.1826203892536195  |79        
 [7, 19, 3, 4, 0]    |0.626421614855666   |0.3319630443612172  |254       
 [4, 20, 7, 11, 1]   |8.798536798522763   |3.568286236606312   |361       
 [3, 16, 14, 15, 0]  |4.7983367003810455  |1.2071586041753897  |552       
 [10, 9, 15, 9, 13]  |1.0559075941050349  |0.25586653345984894 |567       
 [11, 5, 3, 6, 0]    |0.23298995271052464 |0.163366367375041   |142       
 [7, 14, 14, 19, 3]  |19.695126209718477  |3.4916388293722163  |692       
 [6, 4, 18, 12, 0]   |1.7250330971315007  |0.672163433807514   |377       
 [8, 7, 19, 13, 0]   |0.7891071036259538  |0.2188533908962249  |513       
 [3, 20, 8, 15, 7]   |6.200528072423627   |1.7239780866409127  |512       
 [16, 6, 0, 0, 0]    |0.21609330382456204 |0.14594214507525347 |157       
 [8, 6, 0, 0, 0]     |0.42206772407144333 |0.3412672124842817  |85        
 [3, 19, 3, 14, 0]   |2.7228001832020388  |1.5867070483245669  |216       
 [8, 10, 0, 0, 0]    |0.3163126690030579  |0.23141929227646313 |125       
 [18, 7, 17, 8, 11]  |3.2498663324493036  |0.7661432372059169  |578       
 [16, 0, 0, 0, 0]    |0.253933248266964   |0.21584734687012008 |65        
 [1, 2, 0, 0, 0]     |3.067086804094737   |2.991360161084898   |10        
 [2, 3, 0, 0, 0]     |2.8445475974035994  |2.712590380208322   |19        
 [20, 0, 0, 0, 0]    |0.20317719125099132 |0.16593206566693577 |81        
 [11, 2, 1, 18, 0]   |0.3824925511401961  |0.28692164912778084 |115       
 [6, 8, 5, 0, 0]     |0.4099719411778405  |0.29994187959530144 |125       
 [16, 12, 0, 0, 0]   |0.3673904804930185  |0.18941213737243362 |265       
Gen 1 Train time: 8.203687206904094 minutes:
 Average MSE:        0.2863967211323193
 Average Error:      0.45968717838082607
 Structure           |Error               |MSE                 |weights&biases
 [20, 0, 0, 0, 0]    |0.19532477314313404 |0.1595191019425401  |81        
 [16, 6, 0, 0, 0]    |0.2646411006251561  |0.1787296932239384  |157       
 [19, 0, 0, 0, 0]    |0.2564787997791116  |0.21156790467746878 |77        
 [14, 9, 2, 3, 0]    |0.2825464205883925  |0.1671418507817059  |210       
 [16, 3, 2, 3, 0]    |0.22668710906253106 |0.16793394078718676 |120       
 [12, 7, 10, 7, 0]   |0.34384000639533796 |0.16569959023458608 |292       
 [14, 6, 2, 3, 0]    |0.24772727192463603 |0.16647221707105522 |159       
 [14, 8, 16, 3, 0]   |0.4597349372807649  |0.18644757494921732 |361       
 [14, 3, 0, 0, 0]    |0.3144416853998823  |0.2504598526744668  |91        
 [15, 2, 15, 0, 0]   |0.23751399108721222 |0.16821224272133334 |138       
 [20, 0, 0, 0, 0]    |0.19749736487035746 |0.16129342823836795 |81        
 [20, 2, 19, 8, 20]  |0.6116294047848457  |0.1666884583583399  |520       
 [13, 5, 0, 0, 0]    |0.3682609372027884  |0.2762459951091638  |115       
 [7, 20, 8, 1, 6]    |1.4880701065479731  |0.5798302155633079  |377       
 [15, 3, 2, 3, 0]    |0.25420452627263695 |0.191165427269529   |114       
 [12, 6, 0, 0, 0]    |0.23401037083922024 |0.1729262899759735  |121       
 [9, 7, 15, 0, 0]    |0.4250186496469575  |0.2373730726062513  |233       
 [16, 3, 0, 0, 0]    |0.19298544644809384 |0.14917420425028122 |103       
 [14, 3, 2, 3, 0]    |0.26311390966247333 |0.20085576331113136 |108       
 [7, 1, 1, 9, 0]     |0.49093688922344764 |0.42361100129725504 |59        
 [6, 4, 0, 0, 0]     |1.5032459343862035  |1.3232974984197363  |51        
 [12, 3, 9, 0, 0]    |0.20669121758256592 |0.15273829659338925 |121       
 [10, 13, 2, 3, 15]  |1.9880263568638699  |0.9725268118210041  |286       
 [18, 0, 0, 0, 0]    |0.2171553087551151  |0.18093046860227724 |73        
 [13, 8, 0, 0, 0]    |0.22239694114794578 |0.14907712782847637 |160       
Gen 2 Train time: 8.348592901229859 minutes:
 Average MSE:        0.5229930337710386
 Average Error:      0.8819055837272264
 Structure           |Error               |MSE                 |weights&biases
 [16, 3, 0, 0, 0]    |0.2196877613226421  |0.16981460302834422 |103       
 [20, 0, 0, 0, 0]    |0.23107033235429691 |0.18871201696320722 |81        
 [20, 0, 0, 0, 0]    |0.24639144164940752 |0.2012245598229323  |81        
 [16, 3, 1, 2, 0]    |0.27623332850228066 |0.20981913583597755 |110       
 [14, 9, 1, 2, 0]    |0.23720700979740542 |0.14604769098510084 |194       
 [17, 2, 1, 1, 0]    |1.9192247844287045  |1.5172831684543278  |94        
 [18, 1, 3, 0, 0]    |0.19645339496965855 |0.159640630143625   |83        
 [14, 4, 5, 0, 0]    |0.2900941577013977  |0.20803483715762247 |133       
 [15, 6, 9, 3, 0]    |0.40450360654127676 |0.22310904712669766 |238       
 [4, 10, 16, 7, 13]  |3.5975042689204697  |1.0971768123852201  |475       
 [17, 2, 1, 2, 0]    |1.0195612091156516  |0.8000127192305808  |97        
 [12, 5, 5, 0, 0]    |1.1784285349694892  |0.8366761515159327  |137       
 [14, 1, 1, 6, 0]    |0.2219370778458072  |0.18261751955920671 |78        
 [13, 8, 0, 0, 0]    |0.26969188760071716 |0.18077987851195118 |160       
