/tmp/tmp.sY3Xdw5sXH ~/workspace/SolarCellResearch
Using TensorFlow backend.
Genetically searching for best layer structure...
  Training on:     datasets/N9dataset10k3.mat
  Evaluating with: datasets/N9dataset100k3.mat
Gen 0 Train time: 8.173013746738434 minutes:
 Average MSE:        0.9847394334971491
 Average Error:      1.788927073986959
 Structure           |Error               |MSE                 |weights&biases
 [3, 0, 0, 0, 0]     |1.9932680615892364  |1.9295282321501113  |13        
 [3, 10, 0, 0, 0]    |0.6296039388108919  |0.5419051321231687  |60        
 [3, 16, 7, 5, 7]    |5.982331706244656   |2.9559213900998587  |282       
 [5, 2, 0, 0, 0]     |0.38653300555658315 |0.35860347815611837 |30        
 [14, 19, 7, 7, 19]  |1.0100263990060383  |0.17772399324545107 |695       
 [6, 9, 0, 0, 0]     |1.0392114444323663  |0.8277552161671746  |91        
 [1, 4, 13, 0, 0]    |3.1176838807773897  |2.4895211437654217  |90        
 [13, 0, 0, 0, 0]    |0.864954020652163   |0.757615764556187   |53        
 [11, 16, 3, 2, 19]  |0.47277022838130295 |0.19173409597985233 |361       
 [3, 11, 18, 16, 13] |9.434936417634468   |1.251595878482678   |808       
 [11, 7, 7, 1, 8]    |0.5567928558248025  |0.3326840624345061  |206       
 [17, 6, 4, 14, 0]   |0.3176824702348311  |0.16094333759764107 |272       
 [9, 1, 0, 0, 0]     |0.26976054533091137 |0.2447004223290397  |39        
 [10, 0, 0, 0, 0]    |0.6272517433943628  |0.5661437179821809  |41        
 [1, 7, 17, 0, 0]    |4.537478796771956   |2.9590596341394315  |171       
 [19, 17, 13, 17, 0] |1.3671054341431905  |0.14885176751645948 |887       
 [15, 14, 12, 20, 0] |1.6303045280003228  |0.2628338552183197  |730       
 [15, 2, 10, 15, 14] |0.8539101762679641  |0.2380131699923192  |511       
 [2, 0, 0, 0, 0]     |3.595387858141362   |3.515394926487616   |9         
 [16, 19, 11, 18, 0] |1.1586525177402407  |0.14693833166212095 |826       
 [2, 0, 0, 0, 0]     |3.5956926747389923  |3.515692961293066   |9         
 [6, 8, 0, 0, 0]     |0.42456039863372735 |0.34500340186223183 |83        
 [14, 2, 11, 0, 0]   |0.254207205516192   |0.18973904945114486 |117       
 [14, 0, 0, 0, 0]    |0.23861957623108623 |0.20692792671808996 |57        
 [18, 0, 0, 0, 0]    |0.36445096561892176 |0.30365494801853754 |73        
Gen 1 Train time: 8.047423124313354 minutes:
 Average MSE:        0.6003626487834485
 Average Error:      0.8863846373378703
 Structure           |Error               |MSE                 |weights&biases
 [14, 0, 0, 0, 0]    |0.45011393041122827 |0.3903331984661873  |57        
 [14, 2, 11, 0, 0]   |0.30136331576610914 |0.2249361459160708  |117       
 [9, 1, 0, 0, 0]     |0.4066030792729228  |0.3688306052922675  |39        
 [16, 0, 0, 0, 0]    |0.23844675103349666 |0.20268357504044174 |65        
 [5, 2, 5, 14, 0]    |1.4260225832393019  |1.0023920149541883  |141       
